order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Stainless Steel Water Bottle,1,0.0,US
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,2,0.0,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,2,68.46,US
ORD-000004,2026/01/05,CUST-1004,Running Shoes Elite,2,44.09,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,2,84.76,US
ORD-000006,2026/01/07,CUST-1006,Yoga Mat Premium,1,0.0,US
ORD-000007,2026/01/08,CUST-1007,Standing Desk Converter,2,59.49,US
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,2,31.07,US
ORD-000009,2026/01/10,CUST-1009,Standing Desk Converter,1,35.15,US
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,2,0.0,US
ORD-000011,2026/01/12,CUST-1011,LED Desk Lamp,1,99.08,US
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,2,91.98,US
ORD-000013,2026/01/14,CUST-1013,Smart Watch Series 5,1,47.6,US
ORD-000014,2026/01/15,CUST-1014,Organic Cotton T-Shirt,1,62.65,US
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,1,75.18,US
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,1,0.0,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,0.0,US
ORD-000018,2026/01/19,CUST-1018,Running Shoes Elite,1,0.0,US
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,2,48.63,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,1,0.0,US
ORD-000021,2026/01/22,CUST-1021,Air Purifier Small,2,60.73,US
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,1,0.0,US
ORD-000023,2026/01/24,CUST-1023,Monitor Arm Dual,1,0.0,US
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,1,53.44,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,2,0.0,US
ORD-000026,2026/01/27,CUST-1026,LED Desk Lamp,1,73.38,US
ORD-000027,2026/01/28,CUST-1027,Smart Watch Series 5,1,0.0,US
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,2,0.0,US
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones Pro,1,0.0,US
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,2,45.91,US
ORD-000031,2026/02/01,CUST-1031,Organic Cotton T-Shirt,2,97.53,US
ORD-000032,2026/02/02,CUST-1032,Portable Power Bank,1,44.78,US
ORD-000033,2026/02/03,CUST-1033,Organic Cotton T-Shirt,1,0.0,US
ORD-000034,2026/02/04,CUST-1034,Mechanical Keyboard RGB,2,85.66,US
ORD-000035,2026/02/05,CUST-1035,Organic Cotton T-Shirt,1,0.0,US
ORD-000036,2026/02/06,CUST-1036,Organic Cotton T-Shirt,2,73.27,US
ORD-000037,2026/02/07,CUST-1037,Stainless Steel Water Bottle,1,93.63,US
ORD-000038,2026/02/08,CUST-1038,Air Purifier Small,1,98.89,US
ORD-000039,2026/02/09,CUST-1039,Air Purifier Small,1,0.0,US
ORD-000040,2026/02/10,CUST-1040,Ergonomic Office Chair,2,56.42,US
ORD-000041,2026/02/11,CUST-1041,LED Desk Lamp,1,88.53,US
ORD-000042,2026/02/12,CUST-1042,Wireless Headphones Pro,1,51.05,US
ORD-000043,2026/02/13,CUST-1043,Portable Power Bank,1,74.72,US
ORD-000044,2026/02/14,CUST-1044,Bluetooth Speaker Mini,1,0.0,US
ORD-000045,2026/02/15,CUST-1045,Stainless Steel Water Bottle,2,0.0,US
ORD-000046,2026/02/16,CUST-1046,Leather Wallet Classic,2,40.32,US
ORD-000047,2026/02/17,CUST-1047,Portable Power Bank,1,31.57,US
ORD-000048,2026/02/18,CUST-1048,Ergonomic Office Chair,1,96.15,US
ORD-000049,2026/02/19,CUST-1049,Wireless Charger Pad,2,67.18,US
ORD-000050,2026/02/20,CUST-1050,Noise Cancelling Earbuds,2,75.02,US
ORD-000051,2026/02/21,CUST-1051,Yoga Mat Premium,2,56.7,US
ORD-000052,2026/02/22,CUST-1052,Wireless Charger Pad,2,94.33,US
ORD-000053,2026/02/23,CUST-1053,Bluetooth Speaker Mini,2,32.41,US
ORD-000054,2026/02/24,CUST-1054,Wireless Headphones Pro,1,89.74,US
ORD-000055,2026/02/25,CUST-1055,Wireless Mouse Silent,1,37.44,US
ORD-000056,2026/02/26,CUST-1056,LED Desk Lamp,2,91.02,US
ORD-000057,2026/02/27,CUST-1057,Wireless Mouse Silent,1,0.0,US
ORD-000058,2026/02/28,CUST-1058,Leather Wallet Classic,1,98.5,US
ORD-000059,2026/03/01,CUST-1059,Wireless Mouse Silent,1,0.0,US
ORD-000060,2026/03/02,CUST-1060,Monitor Arm Dual,1,91.16,US
ORD-000061,2026/03/03,CUST-1061,Bluetooth Speaker Mini,1,86.46,US
ORD-000062,2026/03/04,CUST-1062,Stainless Steel Water Bottle,1,61.06,US
ORD-000063,2026/03/05,CUST-1063,Smart Watch Series 5,1,60.79,US
ORD-000064,2026/03/06,CUST-1064,Bluetooth Speaker Mini,2,46.74,US
ORD-000065,2026/03/07,CUST-1065,Noise Cancelling Earbuds,2,0.0,US
ORD-000066,2026/03/08,CUST-1066,Wireless Charger Pad,1,30.0,US
ORD-000067,2026/03/09,CUST-1067,Yoga Mat Premium,2,86.96,US
