ORD-000001,2026/01/02,CUST-1001,Item & amp,1,22.71,US
ORD-000002,2026/01/03,CUST-1002,Product = equal,1,22.15,US
ORD-000003,2026/01/04,CUST-1003,Product @ at,1,29.99,US
ORD-000004,2026/01/05,CUST-1004,Product % percent,2,26.44,US
ORD-000005,2026/01/06,CUST-1005,Product % percent,1,35.14,US
ORD-000006,2026/01/07,CUST-1006,Product % percent,1,49.64,US
ORD-000007,2026/01/08,CUST-1007,Product | pipe,2,53.85,US
ORD-000008,2026/01/09,CUST-1008,Item # hash,2,42.61,US
ORD-000009,2026/01/10,CUST-1009,Item # hash,1,66.94,US
ORD-000010,2026/01/11,CUST-1010,Product | pipe,1,46.7,US
ORD-000011,2026/01/12,CUST-1011,Item # hash,2,66.3,US
ORD-000012,2026/01/13,CUST-1012,Product | pipe,2,56.68,US
ORD-000013,2026/01/14,CUST-1013,Item & amp,2,27.29,US
ORD-000014,2026/01/15,CUST-1014,Item $ dollar,2,48.33,US
ORD-000015,2026/01/16,CUST-1015,Item $ dollar,1,61.61,US
ORD-000016,2026/01/17,CUST-1016,Product @ at,1,41.87,US
ORD-000017,2026/01/18,CUST-1017,Product % percent,1,52.68,US
ORD-000018,2026/01/19,CUST-1018,Item $ dollar,1,67.3,US
ORD-000019,2026/01/20,CUST-1019,Product % percent,1,48.35,US
ORD-000020,2026/01/21,CUST-1020,Product = equal,2,24.99,US
ORD-000021,2026/01/22,CUST-1021,Item $ dollar,1,20.41,US
ORD-000022,2026/01/23,CUST-1022,Item & amp,1,24.84,US
ORD-000023,2026/01/24,CUST-1023,Product | pipe,1,42.94,US
ORD-000024,2026/01/25,CUST-1024,Item $ dollar,1,35.81,US
ORD-000025,2026/01/26,CUST-1025,Product % percent,2,68.18,US
ORD-000026,2026/01/27,CUST-1026,Item & amp,2,68.98,US
ORD-000027,2026/01/28,CUST-1027,Item # hash,2,44.23,US
