order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Monitor Arm Dual,2,243.93,BR
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,1,137.89,CN
ORD-000003,2026/01/04,CUST-1003,4K Webcam Pro,5,235.77,JP
ORD-000004,2026/01/05,CUST-1004,Running Shoes Elite,5,225.76,UK
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,2,239.08,AU
ORD-000006,2026/01/07,CUST-1006,Wireless Mouse Silent,3,222.03,CA
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,1,163.39,DE
ORD-000008,2026/01/09,CUST-1008,External SSD 1TB,5,267.37,US
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,5,62.69,BR
ORD-000010,2026/01/11,CUST-1010,Standing Desk Converter,5,125.66,IN
ORD-000011,2026/01/12,CUST-1011,Noise Cancelling Earbuds,2,151.04,DE
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,1,67.75,BR
ORD-000013,2026/01/14,CUST-1013,Wireless Headphones Pro,2,154.79,JP
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,5,103.72,AU
ORD-000015,2026/01/16,CUST-1015,Bluetooth Speaker Mini,1,141.15,JP
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,5,66.52,JP
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,1,93.39,FR
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,5,162.69,IN
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,5,49.77,CN
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,3,107.79,AU
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,4,32.57,CA
ORD-000022,2026/01/23,CUST-1022,Air Purifier Small,3,240.75,CN
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,4,142.78,FR
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,5,241.17,BR
ORD-000025,2026/01/26,CUST-1025,Portable Power Bank,3,225.18,FR
ORD-000026,2026/01/27,CUST-1026,Running Shoes Elite,1,283.68,BR
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,2,249.31,CA
ORD-000028,2026/01/29,CUST-1028,Noise Cancelling Earbuds,2,167.69,BR
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,2,296.52,IN
ORD-000030,2026/01/31,CUST-1030,Running Shoes Elite,4,51.87,CN
ORD-000031,2026/02/01,CUST-1031,LED Desk Lamp,2,238.82,AU
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,3,263.69,UK
ORD-000033,2026/02/03,CUST-1033,Wireless Charger Pad,2,215.86,JP
ORD-000034,2026/02/04,CUST-1034,LED Desk Lamp,5,118.95,IN
ORD-000035,2026/02/05,CUST-1035,Wireless Headphones Pro,1,276.56,US
ORD-000036,2026/02/06,CUST-1036,Stainless Steel Water Bottle,1,77.72,UK
ORD-000037,2026/02/07,CUST-1037,LED Desk Lamp,3,107.54,IN
ORD-000038,2026/02/08,CUST-1038,Bluetooth Speaker Mini,4,183.71,CN
ORD-000039,2026/02/09,CUST-1039,Leather Wallet Classic,2,85.28,IN
ORD-000040,2026/02/10,CUST-1040,Air Purifier Small,1,156.46,CN
ORD-000041,2026/02/11,CUST-1041,Noise Cancelling Earbuds,3,32.28,FR
ORD-000042,2026/02/12,CUST-1042,Yoga Mat Premium,5,114.11,US
ORD-000043,2026/02/13,CUST-1043,Standing Desk Converter,3,94.66,DE
ORD-000044,2026/02/14,CUST-1044,Stainless Steel Water Bottle,5,71.06,JP
ORD-000045,2026/02/15,CUST-1045,Bluetooth Speaker Mini,4,218.73,BR
ORD-000046,2026/02/16,CUST-1046,Monitor Arm Dual,2,192.14,BR
ORD-000047,2026/02/17,CUST-1047,Monitor Arm Dual,1,273.19,BR
ORD-000048,2026/02/18,CUST-1048,Running Shoes Elite,2,42.82,UK
ORD-000049,2026/02/19,CUST-1049,Wireless Charger Pad,5,54.42,IN
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,5,226.98,JP
ORD-000051,2026/02/21,CUST-1051,Standing Desk Converter,2,297.3,AU
ORD-000052,2026/02/22,CUST-1052,LED Desk Lamp,4,266.85,CN
ORD-000053,2026/02/23,CUST-1053,Portable Power Bank,1,95.84,UK
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,1,58.93,US
ORD-000055,2026/02/25,CUST-1055,Ergonomic Office Chair,1,149.01,CN
ORD-000056,2026/02/26,CUST-1056,External SSD 1TB,5,166.26,DE
ORD-000057,2026/02/27,CUST-1057,Portable Power Bank,3,274.4,JP
ORD-000058,2026/02/28,CUST-1058,LED Desk Lamp,2,178.24,JP
ORD-000059,2026/03/01,CUST-1059,Wireless Headphones Pro,5,240.02,JP
ORD-000060,2026/03/02,CUST-1060,LED Desk Lamp,2,219.55,AU
ORD-000061,2026/03/03,CUST-1061,Bluetooth Speaker Mini,3,164.01,US
ORD-000062,2026/03/04,CUST-1062,4K Webcam Pro,1,212.83,CN
ORD-000063,2026/03/05,CUST-1063,Running Shoes Elite,5,186.01,DE
ORD-000064,2026/03/06,CUST-1064,Bluetooth Speaker Mini,2,261.46,DE
ORD-000065,2026/03/07,CUST-1065,Portable Power Bank,3,193.61,FR
ORD-000066,2026/03/08,CUST-1066,Leather Wallet Classic,1,165.8,IN
ORD-000067,2026/03/09,CUST-1067,Wireless Headphones Pro,4,249.15,CA
ORD-000068,2026/03/10,CUST-1068,Noise Cancelling Earbuds,5,279.41,UK
ORD-000069,2026/03/11,CUST-1069,Mechanical Keyboard RGB,5,147.89,JP
ORD-000070,2026/03/12,CUST-1070,Air Purifier Small,1,55.27,JP
ORD-000071,2026/03/13,CUST-1071,Running Shoes Elite,4,57.14,UK
ORD-000072,2026/03/14,CUST-1072,Portable Power Bank,4,257.5,IN
ORD-000073,2026/03/15,CUST-1073,Ergonomic Office Chair,2,156.77,JP
ORD-000074,2026/03/16,CUST-1074,Standing Desk Converter,4,230.89,JP
ORD-000075,2026/03/17,CUST-1075,Air Purifier Small,2,132.8,FR
