order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,1,111.88,US
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,3,42.75,AU
ORD-000003,2026/01/04,CUST-1003,Wireless Mouse Silent,1,77.16,UK
ORD-000004,2026/01/05,CUST-1004,Stainless Steel Water Bottle,1,125.58,DE
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,3,63.98,FR
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,1,57.55,US
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,2,83.54,US
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,41.05,US
ORD-000009,2026/01/10,CUST-1009,Portable Power Bank,2,90.15,US
ORD-000010,2026/01/11,CUST-1010,Monitor Arm Dual,3,104.45,CN
ORD-000011,2026/01/12,CUST-1011,Mechanical Keyboard RGB,2,75.51,IN
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,3,132.41,JP
ORD-000013,2026/01/14,CUST-1013,Wireless Headphones Pro,1,130.68,US
ORD-000014,2026/01/15,CUST-1014,Standing Desk Converter,3,21.66,CN
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,1,77.29,UK
ORD-000016,2026/01/17,CUST-1016,Air Purifier Small,3,87.97,BR
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,3,103.4,BR
ORD-000018,2026/01/19,CUST-1018,Wireless Mouse Silent,2,82.92,AU
ORD-000019,2026/01/20,CUST-1019,LED Desk Lamp,1,58.82,CN
ORD-000020,2026/01/21,CUST-1020,Air Purifier Small,1,54.16,BR
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,1,59.57,UK
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,1,108.78,CN
ORD-000023,2026/01/24,CUST-1023,Noise Cancelling Earbuds,1,76.79,JP
ORD-000024,2026/01/25,CUST-1024,Smart Watch Series 5,3,144.74,DE
ORD-000025,2026/01/26,CUST-1025,Running Shoes Elite,2,22.48,FR
ORD-000026,2026/01/27,CUST-1026,Leather Wallet Classic,2,27.52,JP
ORD-000027,2026/01/28,CUST-1027,LED Desk Lamp,2,128.59,DE
ORD-000028,2026/01/29,CUST-1028,Running Shoes Elite,1,35.12,FR
ORD-000029,2026/01/30,CUST-1029,Monitor Arm Dual,1,120.34,AU
ORD-000030,2026/01/31,CUST-1030,Yoga Mat Premium,2,62.5,DE
ORD-000031,2026/02/01,CUST-1031,Smart Watch Series 5,1,147.94,IN
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,3,59.84,AU
ORD-000033,2026/02/03,CUST-1033,External SSD 1TB,1,26.29,DE
ORD-000034,2026/02/04,CUST-1034,Leather Wallet Classic,3,134.87,JP
ORD-000035,2026/02/05,CUST-1035,Smart Watch Series 5,1,25.03,US
ORD-000036,2026/02/06,CUST-1036,Air Purifier Small,1,137.15,JP
ORD-000037,2026/02/07,CUST-1037,Mechanical Keyboard RGB,1,114.3,FR
ORD-000038,2026/02/08,CUST-1038,4K Webcam Pro,1,58.1,UK
ORD-000039,2026/02/09,CUST-1039,Air Purifier Small,3,134.04,CA
ORD-000040,2026/02/10,CUST-1040,Portable Power Bank,3,40.73,UK
ORD-000041,2026/02/11,CUST-1041,Wireless Mouse Silent,1,40.84,CA
ORD-000042,2026/02/12,CUST-1042,Noise Cancelling Earbuds,1,101.7,BR
ORD-000043,2026/02/13,CUST-1043,Organic Cotton T-Shirt,3,33.65,US
ORD-000044,2026/02/14,CUST-1044,External SSD 1TB,1,44.45,CN
ORD-000045,2026/02/15,CUST-1045,Smart Watch Series 5,3,124.02,CA
ORD-000046,2026/02/16,CUST-1046,Leather Wallet Classic,1,144.22,AU
ORD-000047,2026/02/17,CUST-1047,Monitor Arm Dual,2,80.42,DE
ORD-000048,2026/02/18,CUST-1048,Bluetooth Speaker Mini,2,133.17,CN
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,2,140.51,AU
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,2,110.38,CN
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,1,48.51,CA
ORD-000052,2026/02/22,CUST-1052,4K Webcam Pro,2,91.72,CA
ORD-000053,2026/02/23,CUST-1053,Wireless Charger Pad,3,35.04,BR
ORD-000054,2026/02/24,CUST-1054,Bluetooth Speaker Mini,3,26.45,DE
ORD-000055,2026/02/25,CUST-1055,Yoga Mat Premium,2,85.69,JP
ORD-000056,2026/02/26,CUST-1056,Organic Cotton T-Shirt,2,106.58,US
ORD-000057,2026/02/27,CUST-1057,Standing Desk Converter,2,81.49,JP
ORD-000058,2026/02/28,CUST-1058,Noise Cancelling Earbuds,2,71.52,US
ORD-000059,2026/03/01,CUST-1059,Monitor Arm Dual,2,39.56,US
ORD-000060,2026/03/02,CUST-1060,Leather Wallet Classic,3,100.03,DE
ORD-000061,2026/03/03,CUST-1061,Wireless Charger Pad,1,33.67,JP
ORD-000062,2026/03/04,CUST-1062,Monitor Arm Dual,1,70.81,CN
ORD-000063,2026/03/05,CUST-1063,4K Webcam Pro,1,57.32,DE
ORD-000064,2026/03/06,CUST-1064,Running Shoes Elite,2,130.96,FR
ORD-000065,2026/03/07,CUST-1065,Running Shoes Elite,3,107.16,FR
ORD-000066,2026/03/08,CUST-1066,Wireless Headphones Pro,1,148.11,FR
ORD-000067,2026/03/09,CUST-1067,Ergonomic Office Chair,2,149.91,US
ORD-000068,2026/03/10,CUST-1068,Portable Power Bank,3,29.82,FR
ORD-000069,2026/03/11,CUST-1069,Wireless Mouse Silent,2,123.31,FR
ORD-000070,2026/03/12,CUST-1070,Mechanical Keyboard RGB,1,94.68,UK
ORD-000071,2026/03/13,CUST-1071,External SSD 1TB,1,38.75,IN
ORD-000072,2026/03/14,CUST-1072,Running Shoes Elite,1,43.88,UK
ORD-000073,2026/03/15,CUST-1073,Wireless Charger Pad,2,68.3,IN
ORD-000074,2026/03/16,CUST-1074,Wireless Headphones Pro,3,107.17,UK
ORD-000075,2026/03/17,CUST-1075,Air Purifier Small,1,70.72,BR
ORD-000076,2026/03/18,CUST-1076,External SSD 1TB,3,66.53,UK
ORD-000077,2026/03/19,CUST-1077,External SSD 1TB,1,81.6,AU
ORD-000078,2026/03/20,CUST-1078,Stainless Steel Water Bottle,3,61.5,IN
ORD-000079,2026/03/21,CUST-1079,Air Purifier Small,2,102.59,BR
ORD-000080,2026/03/22,CUST-1080,Noise Cancelling Earbuds,3,141.4,BR
ORD-000081,2026/03/23,CUST-1081,Bluetooth Speaker Mini,2,92.98,DE
ORD-000082,2026/03/24,CUST-1082,Wireless Mouse Silent,1,89.71,CN
ORD-000083,2026/03/25,CUST-1083,Mechanical Keyboard RGB,1,23.34,CA
ORD-000084,2026/03/26,CUST-1084,LED Desk Lamp,1,60.32,AU
ORD-000085,2026/03/27,CUST-1085,External SSD 1TB,1,143.78,UK
ORD-000086,2026/03/28,CUST-1086,Ergonomic Office Chair,3,20.89,DE
ORD-000087,2026/03/29,CUST-1087,External SSD 1TB,1,106.3,DE
ORD-000088,2026/03/30,CUST-1088,Yoga Mat Premium,3,93.09,US
ORD-000089,2026/03/31,CUST-1089,LED Desk Lamp,3,64.55,IN
ORD-000090,2026/04/01,CUST-1090,Wireless Headphones Pro,1,58.94,BR
ORD-000091,2026/04/02,CUST-1091,Air Purifier Small,2,108.78,CA
ORD-000092,2026/04/03,CUST-1092,Stainless Steel Water Bottle,3,112.23,CA
ORD-000093,2026/04/04,CUST-1093,LED Desk Lamp,1,35.16,DE
ORD-000094,2026/04/05,CUST-1094,Ergonomic Office Chair,2,110.78,FR
ORD-000095,2026/04/06,CUST-1095,Wireless Charger Pad,3,69.6,AU
ORD-000096,2026/04/07,CUST-1096,Noise Cancelling Earbuds,1,137.84,US
ORD-000097,2026/04/08,CUST-1097,Wireless Charger Pad,2,100.62,IN
ORD-000098,2026/04/09,CUST-1098,Wireless Headphones Pro,1,82.04,UK
ORD-000099,2026/04/10,CUST-1099,Wireless Headphones Pro,1,105.68,AU
ORD-000100,2026/04/11,CUST-1100,Bluetooth Speaker Mini,2,125.78,AU
ORD-000101,2026/04/12,CUST-1101,Mechanical Keyboard RGB,2,131.81,AU
ORD-000102,2026/04/13,CUST-1102,Running Shoes Elite,2,82.36,FR
ORD-000103,2026/04/14,CUST-1103,Yoga Mat Premium,3,69.34,JP
ORD-000104,2026/04/15,CUST-1104,Portable Power Bank,3,34.57,US
ORD-000105,2026/04/16,CUST-1105,Air Purifier Small,3,91.45,BR
ORD-000106,2026/04/17,CUST-1106,Ergonomic Office Chair,2,92.42,FR
ORD-000107,2026/04/18,CUST-1107,Noise Cancelling Earbuds,2,98.96,CN
ORD-000108,2026/04/19,CUST-1108,LED Desk Lamp,3,90.84,JP
ORD-000109,2026/04/20,CUST-1109,Stainless Steel Water Bottle,1,62.68,BR
ORD-000110,2026/04/21,CUST-1110,Running Shoes Elite,1,102.12,CN
ORD-000111,2026/04/22,CUST-1111,External SSD 1TB,3,63.61,FR
ORD-000112,2026/04/23,CUST-1112,Running Shoes Elite,3,119.98,BR
ORD-000113,2026/04/24,CUST-1113,Yoga Mat Premium,2,104.84,FR
ORD-000114,2026/04/25,CUST-1114,Monitor Arm Dual,3,25.1,FR
ORD-000115,2026/04/26,CUST-1115,Yoga Mat Premium,1,115.08,BR
ORD-000116,2026/04/27,CUST-1116,Mechanical Keyboard RGB,1,94.94,IN
ORD-000117,2026/04/28,CUST-1117,Yoga Mat Premium,3,129.05,IN
ORD-000118,2026/04/29,CUST-1118,Air Purifier Small,3,139.59,DE
ORD-000119,2026/04/30,CUST-1119,Noise Cancelling Earbuds,1,143.24,US
ORD-000120,2026/05/01,CUST-1120,Wireless Mouse Silent,2,87.27,IN
ORD-000121,2026/05/02,CUST-1121,Mechanical Keyboard RGB,3,133.97,UK
ORD-000122,2026/05/03,CUST-1122,Air Purifier Small,2,86.48,FR
ORD-000123,2026/05/04,CUST-1123,Wireless Charger Pad,2,125.27,IN
ORD-000124,2026/05/05,CUST-1124,Monitor Arm Dual,1,100.29,AU
ORD-000125,2026/05/06,CUST-1125,Running Shoes Elite,2,25.6,CA
ORD-000126,2026/05/07,CUST-1126,Noise Cancelling Earbuds,2,22.42,JP
ORD-000127,2026/05/08,CUST-1127,Running Shoes Elite,3,113.99,CA
ORD-000128,2026/05/09,CUST-1128,Smart Watch Series 5,2,45.58,CA
ORD-000129,2026/05/10,CUST-1129,Monitor Arm Dual,3,105.16,US
ORD-000130,2026/05/11,CUST-1130,Mechanical Keyboard RGB,2,115.79,UK
ORD-000131,2026/05/12,CUST-1131,Organic Cotton T-Shirt,2,122.11,CA
ORD-000132,2026/05/13,CUST-1132,Smart Watch Series 5,1,42.55,IN
ORD-000133,2026/05/14,CUST-1133,External SSD 1TB,1,41.01,DE
ORD-000134,2026/05/15,CUST-1134,Wireless Headphones Pro,1,106.79,CN
ORD-000135,2026/05/16,CUST-1135,Bluetooth Speaker Mini,2,94.82,DE
ORD-000136,2026/05/17,CUST-1136,Smart Watch Series 5,2,58.92,FR
ORD-000137,2026/05/18,CUST-1137,Yoga Mat Premium,2,116.67,DE
