order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Smart Watch Series 5,1,124.04,US
ORD-000002,2026/01/03,CUST-1002,External SSD 1TB,1,146.26,US
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,1,110.77,US
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,1,158.61,US
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,2,148.48,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,181.45,US
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,1,147.16,US
ORD-000008,2026/01/09,CUST-1008,Noise Cancelling Earbuds,2,150.36,US
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,2,157.48,US
ORD-000010,2026/01/11,CUST-1010,Wireless Headphones Pro,2,166.76,US
ORD-000011,2026/01/12,CUST-1011,Ergonomic Office Chair,1,185.03,US
ORD-000012,2026/01/13,CUST-1012,Smart Watch Series 5,1,162.5,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,2,170.56,US
ORD-000014,2026/01/15,CUST-1014,Standing Desk Converter,1,101.15,US
ORD-000015,2026/01/16,CUST-1015,Noise Cancelling Earbuds,1,184.17,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,2,134.85,US
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,1,171.7,US
ORD-000018,2026/01/19,CUST-1018,LED Desk Lamp,1,129.08,US
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,2,165.51,US
ORD-000020,2026/01/21,CUST-1020,Air Purifier Small,2,101.57,US
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,2,100.52,US
ORD-000022,2026/01/23,CUST-1022,Standing Desk Converter,1,173.36,US
ORD-000023,2026/01/24,CUST-1023,Wireless Charger Pad,1,181.12,US
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,1,136.98,US
ORD-000025,2026/01/26,CUST-1025,Monitor Arm Dual,2,101.45,US
ORD-000026,2026/01/27,CUST-1026,Monitor Arm Dual,1,100.72,US
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,1,153.07,US
ORD-000028,2026/01/29,CUST-1028,Wireless Mouse Silent,1,102.71,US
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,2,94.82,US
ORD-000030,2026/01/31,CUST-1030,Running Shoes Elite,2,170.42,US
ORD-000031,2026/02/01,CUST-1031,Smart Watch Series 5,1,154.79,US
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,1,144.49,US
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,2,149.58,US
ORD-000034,2026/02/04,CUST-1034,Running Shoes Elite,2,172.22,US
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,2,163.3,US
ORD-000036,2026/02/06,CUST-1036,Bluetooth Speaker Mini,1,119.27,US
ORD-000037,2026/02/07,CUST-1037,Running Shoes Elite,1,108.62,US
ORD-000038,2026/02/08,CUST-1038,Stainless Steel Water Bottle,1,146.76,US
ORD-000039,2026/02/09,CUST-1039,Mechanical Keyboard RGB,1,126.52,US
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,2,115.2,US
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,2,145.42,US
ORD-000042,2026/02/12,CUST-1042,Stainless Steel Water Bottle,2,135.5,US
ORD-000043,2026/02/13,CUST-1043,Mechanical Keyboard RGB,1,153.85,US
ORD-000044,2026/02/14,CUST-1044,4K Webcam Pro,2,102.91,US
ORD-000045,2026/02/15,CUST-1045,External SSD 1TB,2,155.07,US
ORD-000046,2026/02/16,CUST-1046,Bluetooth Speaker Mini,1,166.74,US
ORD-000047,2026/02/17,CUST-1047,Air Purifier Small,1,122.92,US
ORD-000048,2026/02/18,CUST-1048,4K Webcam Pro,2,113.5,US
ORD-000049,2026/02/19,CUST-1049,Air Purifier Small,2,147.61,US
ORD-000050,2026/02/20,CUST-1050,Leather Wallet Classic,1,96.09,US
ORD-000051,2026/02/21,CUST-1051,4K Webcam Pro,2,91.09,US
ORD-000052,2026/02/22,CUST-1052,Running Shoes Elite,2,160.64,US
ORD-000053,2026/02/23,CUST-1053,Organic Cotton T-Shirt,2,126.66,US
ORD-000054,2026/02/24,CUST-1054,Portable Power Bank,1,92.43,US
ORD-000055,2026/02/25,CUST-1055,Wireless Headphones Pro,1,101.51,US
ORD-000056,2026/02/26,CUST-1056,Yoga Mat Premium,1,80.48,US
ORD-000057,2026/02/27,CUST-1057,Monitor Arm Dual,1,127.36,US
ORD-000058,2026/02/28,CUST-1058,External SSD 1TB,1,148.56,US
ORD-000059,2026/03/01,CUST-1059,LED Desk Lamp,1,117.5,US
ORD-000060,2026/03/02,CUST-1060,Wireless Headphones Pro,1,96.29,US
ORD-000061,2026/03/03,CUST-1061,Yoga Mat Premium,2,119.89,US
ORD-000062,2026/03/04,CUST-1062,Smart Watch Series 5,1,105.99,US
ORD-000063,2026/03/05,CUST-1063,Yoga Mat Premium,1,90.87,US
ORD-000064,2026/03/06,CUST-1064,Organic Cotton T-Shirt,2,109.25,US
ORD-000065,2026/03/07,CUST-1065,Organic Cotton T-Shirt,1,79.22,US
ORD-000066,2026/03/08,CUST-1066,Bluetooth Speaker Mini,2,106.75,US
ORD-000067,2026/03/09,CUST-1067,Wireless Mouse Silent,2,84.73,US
ORD-000068,2026/03/10,CUST-1068,Monitor Arm Dual,2,138.1,US
ORD-000069,2026/03/11,CUST-1069,4K Webcam Pro,2,98.37,US
ORD-000070,2026/03/12,CUST-1070,4K Webcam Pro,2,83.04,US
ORD-000071,2026/03/13,CUST-1071,Leather Wallet Classic,2,128.91,US
ORD-000072,2026/03/14,CUST-1072,External SSD 1TB,1,108.57,US
ORD-000073,2026/03/15,CUST-1073,Running Shoes Elite,1,109.48,US
ORD-000074,2026/03/16,CUST-1074,Wireless Charger Pad,1,80.9,US
ORD-000075,2026/03/17,CUST-1075,Stainless Steel Water Bottle,1,88.14,US
ORD-000076,2026/03/18,CUST-1076,Wireless Charger Pad,1,86.94,US
ORD-000077,2026/03/19,CUST-1077,Wireless Headphones Pro,1,73.05,US
ORD-000078,2026/03/20,CUST-1078,Yoga Mat Premium,2,104.65,US
ORD-000079,2026/03/21,CUST-1079,LED Desk Lamp,1,75.64,US
ORD-000080,2026/03/22,CUST-1080,Monitor Arm Dual,2,125.01,US
ORD-000081,2026/03/23,CUST-1081,LED Desk Lamp,1,120.47,US
ORD-000082,2026/03/24,CUST-1082,External SSD 1TB,2,77.25,US
ORD-000083,2026/03/25,CUST-1083,Wireless Headphones Pro,1,93.01,US
ORD-000084,2026/03/26,CUST-1084,Organic Cotton T-Shirt,2,94.33,US
ORD-000085,2026/03/27,CUST-1085,Running Shoes Elite,2,76.27,US
ORD-000086,2026/03/28,CUST-1086,4K Webcam Pro,2,76.09,US
ORD-000087,2026/03/29,CUST-1087,Wireless Headphones Pro,1,117.78,US
ORD-000088,2026/03/30,CUST-1088,Running Shoes Elite,1,100.29,US
ORD-000089,2026/03/31,CUST-1089,Standing Desk Converter,2,106.38,US
ORD-000090,2026/04/01,CUST-1090,Bluetooth Speaker Mini,2,90.41,US
ORD-000091,2026/04/02,CUST-1091,Portable Power Bank,1,90.71,US
ORD-000092,2026/04/03,CUST-1092,Bluetooth Speaker Mini,1,96.09,US
ORD-000093,2026/04/04,CUST-1093,External SSD 1TB,2,95.73,US
ORD-000094,2026/04/05,CUST-1094,Organic Cotton T-Shirt,1,77.6,US
ORD-000095,2026/04/06,CUST-1095,Ergonomic Office Chair,2,83.44,US
ORD-000096,2026/04/07,CUST-1096,Monitor Arm Dual,1,112.35,US
ORD-000097,2026/04/08,CUST-1097,Stainless Steel Water Bottle,1,84.28,US
ORD-000098,2026/04/09,CUST-1098,4K Webcam Pro,2,100.7,US
ORD-000099,2026/04/10,CUST-1099,Standing Desk Converter,2,126.25,US
ORD-000100,2026/04/11,CUST-1100,4K Webcam Pro,1,93.01,US
ORD-000101,2026/04/12,CUST-1101,LED Desk Lamp,2,78.84,US
ORD-000102,2026/04/13,CUST-1102,Organic Cotton T-Shirt,2,74.5,US
ORD-000103,2026/04/14,CUST-1103,Bluetooth Speaker Mini,1,95.15,US
ORD-000104,2026/04/15,CUST-1104,Noise Cancelling Earbuds,1,110.95,US
ORD-000105,2026/04/16,CUST-1105,Smart Watch Series 5,2,68.5,US
ORD-000106,2026/04/17,CUST-1106,Running Shoes Elite,1,105.87,US
ORD-000107,2026/04/18,CUST-1107,Ergonomic Office Chair,2,107.89,US
ORD-000108,2026/04/19,CUST-1108,Yoga Mat Premium,2,76.77,US
ORD-000109,2026/04/20,CUST-1109,Air Purifier Small,2,116.1,US
ORD-000110,2026/04/21,CUST-1110,Wireless Headphones Pro,2,97.17,US
ORD-000111,2026/04/22,CUST-1111,Bluetooth Speaker Mini,2,120.27,US
ORD-000112,2026/04/23,CUST-1112,External SSD 1TB,1,61.71,US
ORD-000113,2026/04/24,CUST-1113,Yoga Mat Premium,2,91.68,US
ORD-000114,2026/04/25,CUST-1114,Organic Cotton T-Shirt,2,95.68,US
ORD-000115,2026/04/26,CUST-1115,LED Desk Lamp,1,75.5,US
ORD-000116,2026/04/27,CUST-1116,Wireless Charger Pad,1,109.04,US
ORD-000117,2026/04/28,CUST-1117,Air Purifier Small,2,110.22,US
ORD-000118,2026/04/29,CUST-1118,Organic Cotton T-Shirt,2,100.56,US
ORD-000119,2026/04/30,CUST-1119,Standing Desk Converter,1,101.6,US
ORD-000120,2026/05/01,CUST-1120,Stainless Steel Water Bottle,1,68.21,US
ORD-000121,2026/05/02,CUST-1121,Smart Watch Series 5,1,91.65,US
ORD-000122,2026/05/03,CUST-1122,Mechanical Keyboard RGB,2,56.3,US
ORD-000123,2026/05/04,CUST-1123,Wireless Mouse Silent,2,97.53,US
ORD-000124,2026/05/05,CUST-1124,Monitor Arm Dual,1,107.46,US
ORD-000125,2026/05/06,CUST-1125,Air Purifier Small,2,72.35,US
ORD-000126,2026/05/07,CUST-1126,Noise Cancelling Earbuds,1,105.77,US
ORD-000127,2026/05/08,CUST-1127,Mechanical Keyboard RGB,2,100.97,US
ORD-000128,2026/05/09,CUST-1128,4K Webcam Pro,1,89.32,US
ORD-000129,2026/05/10,CUST-1129,LED Desk Lamp,2,86.72,US
ORD-000130,2026/05/11,CUST-1130,LED Desk Lamp,2,98.17,US
ORD-000131,2026/05/12,CUST-1131,Smart Watch Series 5,1,94.17,US
ORD-000132,2026/05/13,CUST-1132,Smart Watch Series 5,2,59.87,US
ORD-000133,2026/05/14,CUST-1133,Noise Cancelling Earbuds,1,77.81,US
ORD-000134,2026/05/15,CUST-1134,Wireless Headphones Pro,2,67.44,US
ORD-000135,2026/05/16,CUST-1135,Organic Cotton T-Shirt,2,86.32,US
ORD-000136,2026/05/17,CUST-1136,Mechanical Keyboard RGB,2,97.36,US
ORD-000137,2026/05/18,CUST-1137,Air Purifier Small,2,91.61,US
ORD-000138,2026/05/19,CUST-1138,4K Webcam Pro,1,88.54,US
ORD-000139,2026/05/20,CUST-1139,4K Webcam Pro,1,80.99,US
ORD-000140,2026/05/21,CUST-1140,4K Webcam Pro,1,95.41,US
ORD-000141,2026/05/22,CUST-1141,Yoga Mat Premium,2,56.4,US
ORD-000142,2026/05/23,CUST-1142,Noise Cancelling Earbuds,2,54.79,US
ORD-000143,2026/05/24,CUST-1143,Monitor Arm Dual,2,59.74,US
ORD-000144,2026/05/25,CUST-1144,Leather Wallet Classic,2,87.34,US
ORD-000145,2026/05/26,CUST-1145,Running Shoes Elite,1,59.38,US
ORD-000146,2026/05/27,CUST-1146,Yoga Mat Premium,2,60.49,US
ORD-000147,2026/05/28,CUST-1147,Organic Cotton T-Shirt,2,57.1,US
ORD-000148,2026/05/29,CUST-1148,Noise Cancelling Earbuds,2,69.47,US
ORD-000149,2026/05/30,CUST-1149,Running Shoes Elite,1,65.5,US
ORD-000150,2026/05/31,CUST-1150,Stainless Steel Water Bottle,2,75.26,US
ORD-000151,2026/06/01,CUST-1151,Bluetooth Speaker Mini,1,66.97,US
ORD-000152,2026/06/02,CUST-1152,Monitor Arm Dual,1,63.51,US
ORD-000153,2026/06/03,CUST-1153,Monitor Arm Dual,2,57.34,US
ORD-000154,2026/06/04,CUST-1154,Smart Watch Series 5,1,62.28,US
ORD-000155,2026/06/05,CUST-1155,4K Webcam Pro,1,61.97,US
ORD-000156,2026/06/06,CUST-1156,Monitor Arm Dual,1,74.99,US
ORD-000157,2026/06/07,CUST-1157,Wireless Headphones Pro,1,81.58,US
ORD-000158,2026/06/08,CUST-1158,Portable Power Bank,2,50.1,US
ORD-000159,2026/06/09,CUST-1159,LED Desk Lamp,2,65.1,US
ORD-000160,2026/06/10,CUST-1160,Leather Wallet Classic,1,81.88,US
ORD-000161,2026/06/11,CUST-1161,Smart Watch Series 5,1,73.66,US
ORD-000162,2026/06/12,CUST-1162,Wireless Mouse Silent,1,80.38,US
ORD-000163,2026/06/13,CUST-1163,External SSD 1TB,1,51.38,US
ORD-000164,2026/06/14,CUST-1164,Monitor Arm Dual,2,65.28,US
ORD-000165,2026/06/15,CUST-1165,Standing Desk Converter,2,57.42,US
ORD-000166,2026/06/16,CUST-1166,Monitor Arm Dual,1,59.3,US
ORD-000167,2026/06/17,CUST-1167,Wireless Headphones Pro,2,45.35,US
ORD-000168,2026/06/18,CUST-1168,Ergonomic Office Chair,1,56.85,US
ORD-000169,2026/06/19,CUST-1169,Wireless Headphones Pro,1,56.53,US
ORD-000170,2026/06/20,CUST-1170,Organic Cotton T-Shirt,1,71.1,US
ORD-000171,2026/06/21,CUST-1171,Yoga Mat Premium,2,69.07,US
ORD-000172,2026/06/22,CUST-1172,Bluetooth Speaker Mini,2,43.96,US
ORD-000173,2026/06/23,CUST-1173,Wireless Charger Pad,1,70.83,US
ORD-000174,2026/06/24,CUST-1174,Leather Wallet Classic,1,53.37,US
ORD-000175,2026/06/25,CUST-1175,Smart Watch Series 5,2,50.06,US
ORD-000176,2026/06/26,CUST-1176,Bluetooth Speaker Mini,2,56.03,US
ORD-000177,2026/06/27,CUST-1177,4K Webcam Pro,1,37.82,US
ORD-000178,2026/06/28,CUST-1178,Standing Desk Converter,2,52.36,US
ORD-000179,2026/06/29,CUST-1179,Wireless Headphones Pro,2,63.69,US
ORD-000180,2026/01/01,CUST-1180,Wireless Charger Pad,2,40.27,US
ORD-000181,2026/01/02,CUST-1181,External SSD 1TB,2,52.68,US
ORD-000182,2026/01/03,CUST-1182,Ergonomic Office Chair,1,49.99,US
ORD-000183,2026/01/04,CUST-1183,Leather Wallet Classic,1,66.74,US
ORD-000184,2026/01/05,CUST-1184,Organic Cotton T-Shirt,1,58.77,US
ORD-000185,2026/01/06,CUST-1185,Standing Desk Converter,1,56.41,US
ORD-000186,2026/01/07,CUST-1186,Wireless Mouse Silent,1,37.61,US
ORD-000187,2026/01/08,CUST-1187,Mechanical Keyboard RGB,2,60.12,US
ORD-000188,2026/01/09,CUST-1188,Mechanical Keyboard RGB,1,63.06,US
ORD-000189,2026/01/10,CUST-1189,Yoga Mat Premium,2,54.33,US
ORD-000190,2026/01/11,CUST-1190,Leather Wallet Classic,2,52.89,US
ORD-000191,2026/01/12,CUST-1191,Wireless Charger Pad,2,62.84,US
ORD-000192,2026/01/13,CUST-1192,Ergonomic Office Chair,2,44.92,US
ORD-000193,2026/01/14,CUST-1193,Organic Cotton T-Shirt,1,51.33,US
ORD-000194,2026/01/15,CUST-1194,Organic Cotton T-Shirt,1,51.04,US
ORD-000195,2026/01/16,CUST-1195,Portable Power Bank,2,53.04,US
ORD-000196,2026/01/17,CUST-1196,LED Desk Lamp,2,57.36,US
ORD-000197,2026/01/18,CUST-1197,Ergonomic Office Chair,1,46.58,US
ORD-000198,2026/01/19,CUST-1198,4K Webcam Pro,2,45.96,US
ORD-000199,2026/01/20,CUST-1199,LED Desk Lamp,1,52.93,US
ORD-000200,2026/01/21,CUST-1000,Bluetooth Speaker Mini,2,29.6,US
ORD-000201,2026/01/22,CUST-1001,Ergonomic Office Chair,2,32.67,US
ORD-000202,2026/01/23,CUST-1002,LED Desk Lamp,2,33.45,US
ORD-000203,2026/01/24,CUST-1003,Running Shoes Elite,2,27.43,US
ORD-000204,2026/01/25,CUST-1004,Bluetooth Speaker Mini,1,27.82,US
