order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,Ergonomic Office Chair,3,63.27,US
ORD-000002,2026/06/17,CUST-1002,Ergonomic Office Chair,2,75.92,US
ORD-000003,2026/06/18,CUST-1003,Portable Power Bank,3,33.97,US
ORD-000004,2026/06/19,CUST-1004,Smart Watch Series 5,3,79.54,US
ORD-000005,2026/06/20,CUST-1005,4K Webcam Pro,3,29.51,US
ORD-000006,2026/06/21,CUST-1006,Wireless Headphones Pro,2,60.28,US
ORD-000007,2026/06/22,CUST-1007,Wireless Mouse Silent,2,23.29,US
ORD-000008,2026/06/23,CUST-1008,Air Purifier Small,1,26.97,US
ORD-000009,2026/06/24,CUST-1009,Noise Cancelling Earbuds,3,68.71,US
ORD-000010,2026/06/25,CUST-1010,Wireless Mouse Silent,2,80.55,US
ORD-000011,2026/06/26,CUST-1011,Running Shoes Elite,3,21.53,US
ORD-000012,2026/06/27,CUST-1012,Monitor Arm Dual,1,48.23,US
ORD-000013,2026/06/28,CUST-1013,Running Shoes Elite,1,52.94,US
ORD-000014,2026/06/29,CUST-1014,Wireless Charger Pad,3,53.38,US
