order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Only Product Available,2,24.15,US
ORD-000002,2026/01/03,CUST-1002,Only Product Available,4,45.26,US
ORD-000003,2026/01/04,CUST-1003,Only Product Available,5,42.33,US
ORD-000004,2026/01/05,CUST-1004,Only Product Available,5,39.66,US
ORD-000005,2026/01/06,CUST-1005,Only Product Available,1,39.99,US
ORD-000006,2026/01/07,CUST-1006,Only Product Available,1,36.87,US
ORD-000007,2026/01/08,CUST-1007,Only Product Available,3,29.84,US
ORD-000008,2026/01/09,CUST-1008,Only Product Available,3,28.37,US
ORD-000009,2026/01/10,CUST-1009,Only Product Available,1,40.78,US
ORD-000010,2026/01/11,CUST-1010,Only Product Available,2,33.36,US
ORD-000011,2026/01/12,CUST-1011,Only Product Available,1,46.49,US
ORD-000012,2026/01/13,CUST-1012,Only Product Available,4,28.55,US
ORD-000013,2026/01/14,CUST-1013,Only Product Available,2,44.44,US
ORD-000014,2026/01/15,CUST-1014,Only Product Available,5,45.61,US
ORD-000015,2026/01/16,CUST-1015,Only Product Available,3,27.9,US
ORD-000016,2026/01/17,CUST-1016,Only Product Available,2,22.59,US
ORD-000017,2026/01/18,CUST-1017,Only Product Available,2,46.02,US
ORD-000018,2026/01/19,CUST-1018,Only Product Available,2,35.29,US
ORD-000019,2026/01/20,CUST-1019,Only Product Available,5,31.35,US
ORD-000020,2026/01/21,CUST-1020,Only Product Available,4,47.77,US
ORD-000021,2026/01/22,CUST-1021,Only Product Available,4,39.07,US
ORD-000022,2026/01/23,CUST-1022,Only Product Available,1,45.15,US
ORD-000023,2026/01/24,CUST-1023,Only Product Available,5,44.18,US
ORD-000024,2026/01/25,CUST-1024,Only Product Available,1,29.14,US
ORD-000025,2026/01/26,CUST-1025,Only Product Available,2,28.87,US
ORD-000026,2026/01/27,CUST-1026,Only Product Available,2,46.2,US
ORD-000027,2026/01/28,CUST-1027,Only Product Available,3,28.17,US
ORD-000028,2026/01/29,CUST-1028,Only Product Available,2,40.95,US
ORD-000029,2026/01/30,CUST-1029,Only Product Available,2,28.46,US
ORD-000030,2026/01/31,CUST-1030,Only Product Available,2,46.22,US
ORD-000031,2026/02/01,CUST-1031,Only Product Available,2,31.0,US
ORD-000032,2026/02/02,CUST-1032,Only Product Available,2,30.77,US
ORD-000033,2026/02/03,CUST-1033,Only Product Available,4,25.87,US
ORD-000034,2026/02/04,CUST-1034,Only Product Available,4,36.44,US
ORD-000035,2026/02/05,CUST-1035,Only Product Available,3,40.47,US
ORD-000036,2026/02/06,CUST-1036,Only Product Available,5,46.46,US
ORD-000037,2026/02/07,CUST-1037,Only Product Available,4,45.75,US
ORD-000038,2026/02/08,CUST-1038,Only Product Available,5,45.46,US
ORD-000039,2026/02/09,CUST-1039,Only Product Available,4,40.57,US
ORD-000040,2026/02/10,CUST-1040,Only Product Available,3,32.4,US
ORD-000041,2026/02/11,CUST-1041,Only Product Available,1,40.17,US
ORD-000042,2026/02/12,CUST-1042,Only Product Available,2,25.9,US
ORD-000043,2026/02/13,CUST-1043,Only Product Available,4,24.81,US
ORD-000044,2026/02/14,CUST-1044,Only Product Available,1,40.98,US
ORD-000045,2026/02/15,CUST-1045,Only Product Available,4,49.52,US
ORD-000046,2026/02/16,CUST-1046,Only Product Available,1,37.51,US
ORD-000047,2026/02/17,CUST-1047,Only Product Available,2,44.3,US
ORD-000048,2026/02/18,CUST-1048,Only Product Available,1,34.3,US
ORD-000049,2026/02/19,CUST-1049,Only Product Available,1,35.6,US
ORD-000050,2026/02/20,CUST-1050,Only Product Available,2,42.4,US
ORD-000051,2026/02/21,CUST-1051,Only Product Available,2,49.43,US
ORD-000052,2026/02/22,CUST-1052,Only Product Available,4,37.82,US
ORD-000053,2026/02/23,CUST-1053,Only Product Available,3,33.55,US
ORD-000054,2026/02/24,CUST-1054,Only Product Available,5,32.82,US
ORD-000055,2026/02/25,CUST-1055,Only Product Available,4,29.03,US
ORD-000056,2026/02/26,CUST-1056,Only Product Available,4,35.71,US
ORD-000057,2026/02/27,CUST-1057,Only Product Available,4,48.07,US
ORD-000058,2026/02/28,CUST-1058,Only Product Available,5,40.57,US
ORD-000059,2026/03/01,CUST-1059,Only Product Available,1,37.7,US
ORD-000060,2026/03/02,CUST-1060,Only Product Available,1,31.03,US
ORD-000061,2026/03/03,CUST-1061,Only Product Available,4,23.7,US
ORD-000062,2026/03/04,CUST-1062,Only Product Available,2,22.38,US
ORD-000063,2026/03/05,CUST-1063,Only Product Available,1,24.74,US
