ORD-000001,2026/01/02,CUST-1001,Standing Desk Converter,3,59.8,US
ORD-000002,2026/01/03,CUST-1002,Ergonomic Office Chair,2,31.23,US
ORD-000003,2026/01/04,CUST-1003,Ergonomic Office Chair,3,44.26,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,3,83.63,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,2,29.03,US
ORD-000006,2026/01/07,CUST-1006,Ergonomic Office Chair,3,61.42,US
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,3,60.69,US
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,3,24.77,US
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,2,32.01,US
ORD-000010,2026/01/11,CUST-1010,Ergonomic Office Chair,2,71.04,US
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,3,36.64,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,1,51.88,US
ORD-000013,2026/01/14,CUST-1013,Ergonomic Office Chair,2,73.54,US
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,2,70.24,US
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,3,37.15,US
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,1,58.09,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,1,22.86,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,3,48.27,US
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,3,34.45,US
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,1,65.95,US
ORD-000021,2026/01/22,CUST-1021,Ergonomic Office Chair,3,28.64,US
ORD-000022,2026/01/23,CUST-1022,Wireless Mouse Silent,1,24.32,US
ORD-000023,2026/01/24,CUST-1023,Stainless Steel Water Bottle,2,47.96,US
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,3,41.34,US
ORD-000025,2026/01/26,CUST-1025,Ergonomic Office Chair,3,36.79,US
ORD-000026,2026/01/27,CUST-1026,Ergonomic Office Chair,1,48.64,US
ORD-000027,2026/01/28,CUST-1027,Ergonomic Office Chair,1,35.5,US
ORD-000028,2026/01/29,CUST-1028,Ergonomic Office Chair,1,36.7,US
ORD-000029,2026/01/30,CUST-1029,Ergonomic Office Chair,1,29.56,US
ORD-000030,2026/01/31,CUST-1030,Smart Watch Series 5,2,63.47,US
ORD-000031,2026/02/01,CUST-1031,Ergonomic Office Chair,1,72.59,US
ORD-000032,2026/02/02,CUST-1032,Ergonomic Office Chair,2,46.46,US
ORD-000033,2026/02/03,CUST-1033,Ergonomic Office Chair,2,39.59,US
ORD-000034,2026/02/04,CUST-1034,Wireless Headphones Pro,1,47.46,US
ORD-000035,2026/02/05,CUST-1035,Ergonomic Office Chair,1,52.08,US
ORD-000036,2026/02/06,CUST-1036,Ergonomic Office Chair,2,69.27,US
ORD-000037,2026/02/07,CUST-1037,Ergonomic Office Chair,1,89.69,US
ORD-000038,2026/02/08,CUST-1038,Ergonomic Office Chair,3,36.52,US
ORD-000039,2026/02/09,CUST-1039,Ergonomic Office Chair,2,28.5,US
ORD-000040,2026/02/10,CUST-1040,Wireless Mouse Silent,3,74.57,US
ORD-000041,2026/02/11,CUST-1041,Ergonomic Office Chair,3,53.37,US
ORD-000042,2026/02/12,CUST-1042,Ergonomic Office Chair,2,67.91,US
ORD-000043,2026/02/13,CUST-1043,Ergonomic Office Chair,2,40.37,US
ORD-000044,2026/02/14,CUST-1044,Ergonomic Office Chair,2,44.97,US
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,3,72.34,US
ORD-000046,2026/02/16,CUST-1046,Ergonomic Office Chair,3,51.12,US
ORD-000047,2026/02/17,CUST-1047,Wireless Charger Pad,3,27.9,US
ORD-000048,2026/02/18,CUST-1048,Ergonomic Office Chair,2,65.23,US
ORD-000049,2026/02/19,CUST-1049,Ergonomic Office Chair,1,40.36,US
ORD-000050,2026/02/20,CUST-1050,Wireless Headphones Pro,1,60.63,US
ORD-000051,2026/02/21,CUST-1051,Ergonomic Office Chair,3,42.64,US
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,1,53.1,US
ORD-000053,2026/02/23,CUST-1053,Standing Desk Converter,3,80.63,US
ORD-000054,2026/02/24,CUST-1054,Ergonomic Office Chair,3,52.7,US
ORD-000055,2026/02/25,CUST-1055,Ergonomic Office Chair,2,67.22,US
ORD-000056,2026/02/26,CUST-1056,Ergonomic Office Chair,3,80.43,US
ORD-000057,2026/02/27,CUST-1057,Ergonomic Office Chair,2,21.61,US
ORD-000058,2026/02/28,CUST-1058,Leather Wallet Classic,1,29.22,US
ORD-000059,2026/03/01,CUST-1059,Wireless Headphones Pro,2,28.09,US
ORD-000060,2026/03/02,CUST-1060,Ergonomic Office Chair,3,53.81,US
ORD-000061,2026/03/03,CUST-1061,Organic Cotton T-Shirt,1,88.97,US
ORD-000062,2026/03/04,CUST-1062,Ergonomic Office Chair,3,52.19,US
ORD-000063,2026/03/05,CUST-1063,Ergonomic Office Chair,1,39.27,US
ORD-000064,2026/03/06,CUST-1064,Wireless Charger Pad,1,53.16,US
ORD-000065,2026/03/07,CUST-1065,Ergonomic Office Chair,3,70.71,US
ORD-000066,2026/03/08,CUST-1066,Mechanical Keyboard RGB,1,35.22,US
ORD-000067,2026/03/09,CUST-1067,Ergonomic Office Chair,3,27.71,US
ORD-000068,2026/03/10,CUST-1068,Ergonomic Office Chair,2,68.69,US
ORD-000069,2026/03/11,CUST-1069,Ergonomic Office Chair,1,49.78,US
ORD-000070,2026/03/12,CUST-1070,Ergonomic Office Chair,3,24.41,US
ORD-000071,2026/03/13,CUST-1071,Ergonomic Office Chair,1,87.18,US
ORD-000072,2026/03/14,CUST-1072,Stainless Steel Water Bottle,1,31.18,US
ORD-000073,2026/03/15,CUST-1073,Ergonomic Office Chair,1,27.27,US
ORD-000074,2026/03/16,CUST-1074,Air Purifier Small,3,55.27,US
ORD-000075,2026/03/17,CUST-1075,Bluetooth Speaker Mini,1,24.19,US
ORD-000076,2026/03/18,CUST-1076,Ergonomic Office Chair,1,27.3,US
ORD-000077,2026/03/19,CUST-1077,Mechanical Keyboard RGB,3,55.25,US
ORD-000078,2026/03/20,CUST-1078,Ergonomic Office Chair,1,88.52,US
ORD-000079,2026/03/21,CUST-1079,Ergonomic Office Chair,3,85.32,US
ORD-000080,2026/03/22,CUST-1080,Ergonomic Office Chair,3,74.8,US
ORD-000081,2026/03/23,CUST-1081,Ergonomic Office Chair,3,23.53,US
ORD-000082,2026/03/24,CUST-1082,Ergonomic Office Chair,1,89.62,US
ORD-000083,2026/03/25,CUST-1083,Ergonomic Office Chair,1,64.2,US
ORD-000084,2026/03/26,CUST-1084,Ergonomic Office Chair,1,77.54,US
ORD-000085,2026/03/27,CUST-1085,Ergonomic Office Chair,1,43.25,US
ORD-000086,2026/03/28,CUST-1086,Ergonomic Office Chair,3,27.44,US
ORD-000087,2026/03/29,CUST-1087,Mechanical Keyboard RGB,2,58.89,US
ORD-000088,2026/03/30,CUST-1088,Ergonomic Office Chair,2,62.35,US
ORD-000089,2026/03/31,CUST-1089,Noise Cancelling Earbuds,3,46.87,US
ORD-000090,2026/04/01,CUST-1090,Ergonomic Office Chair,2,20.73,US
ORD-000091,2026/04/02,CUST-1091,Wireless Charger Pad,1,26.1,US
ORD-000092,2026/04/03,CUST-1092,Ergonomic Office Chair,3,31.06,US
ORD-000093,2026/04/04,CUST-1093,Wireless Mouse Silent,3,45.51,US
ORD-000094,2026/04/05,CUST-1094,Ergonomic Office Chair,2,86.15,US
ORD-000095,2026/04/06,CUST-1095,Ergonomic Office Chair,1,39.79,US
ORD-000096,2026/04/07,CUST-1096,Ergonomic Office Chair,1,22.25,US
ORD-000097,2026/04/08,CUST-1097,Ergonomic Office Chair,3,40.51,US
ORD-000098,2026/04/09,CUST-1098,Ergonomic Office Chair,1,44.67,US
ORD-000099,2026/04/10,CUST-1099,Ergonomic Office Chair,1,80.81,US
ORD-000100,2026/04/11,CUST-1100,Ergonomic Office Chair,3,81.47,US
ORD-000101,2026/04/12,CUST-1101,Ergonomic Office Chair,1,73.32,US
ORD-000102,2026/04/13,CUST-1102,Ergonomic Office Chair,3,27.57,US
ORD-000103,2026/04/14,CUST-1103,Ergonomic Office Chair,2,66.01,US
ORD-000104,2026/04/15,CUST-1104,Ergonomic Office Chair,1,49.51,US
ORD-000105,2026/04/16,CUST-1105,Ergonomic Office Chair,2,83.19,US
ORD-000106,2026/04/17,CUST-1106,Ergonomic Office Chair,3,32.25,US
ORD-000107,2026/04/18,CUST-1107,Ergonomic Office Chair,2,34.09,US
ORD-000108,2026/04/19,CUST-1108,Ergonomic Office Chair,1,53.18,US
ORD-000109,2026/04/20,CUST-1109,Mechanical Keyboard RGB,2,70.06,US
ORD-000110,2026/04/21,CUST-1110,Ergonomic Office Chair,1,23.49,US
ORD-000111,2026/04/22,CUST-1111,Ergonomic Office Chair,1,83.47,US
ORD-000112,2026/04/23,CUST-1112,Ergonomic Office Chair,1,54.57,US
ORD-000113,2026/04/24,CUST-1113,Wireless Mouse Silent,2,70.82,US
ORD-000114,2026/04/25,CUST-1114,Ergonomic Office Chair,3,67.59,US
ORD-000115,2026/04/26,CUST-1115,Air Purifier Small,1,78.66,US
ORD-000116,2026/04/27,CUST-1116,Ergonomic Office Chair,2,74.55,US
ORD-000117,2026/04/28,CUST-1117,Ergonomic Office Chair,3,41.23,US
ORD-000118,2026/04/29,CUST-1118,Ergonomic Office Chair,3,52.21,US
ORD-000119,2026/04/30,CUST-1119,Ergonomic Office Chair,3,25.94,US
ORD-000120,2026/05/01,CUST-1120,Ergonomic Office Chair,1,37.05,US
ORD-000121,2026/05/02,CUST-1121,Stainless Steel Water Bottle,2,35.95,US
ORD-000122,2026/05/03,CUST-1122,Ergonomic Office Chair,1,23.22,US
ORD-000123,2026/05/04,CUST-1123,Ergonomic Office Chair,2,25.62,US
ORD-000124,2026/05/05,CUST-1124,Ergonomic Office Chair,2,47.06,US
ORD-000125,2026/05/06,CUST-1125,Ergonomic Office Chair,1,52.48,US
ORD-000126,2026/05/07,CUST-1126,Ergonomic Office Chair,3,35.11,US
ORD-000127,2026/05/08,CUST-1127,Standing Desk Converter,1,65.06,US
ORD-000128,2026/05/09,CUST-1128,Ergonomic Office Chair,3,72.64,US
ORD-000129,2026/05/10,CUST-1129,Ergonomic Office Chair,2,48.97,US
ORD-000130,2026/05/11,CUST-1130,Ergonomic Office Chair,3,62.84,US
ORD-000131,2026/05/12,CUST-1131,Ergonomic Office Chair,1,69.08,US
ORD-000132,2026/05/13,CUST-1132,Ergonomic Office Chair,2,29.58,US
ORD-000133,2026/05/14,CUST-1133,Ergonomic Office Chair,1,54.66,US
