order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,3,96.6,IN
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,1,105.46,US
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,3,47.75,DE
ORD-000004,2026/01/05,CUST-1004,Bluetooth Speaker Mini,2,137.81,CN
ORD-000005,2026/01/06,CUST-1005,Yoga Mat Premium,3,92.62,IN
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,3,87.21,JP
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,3,107.31,BR
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,2,100.46,CA
ORD-000009,2026/01/10,CUST-1009,LED Desk Lamp,2,72.61,US
ORD-000010,2026/01/11,CUST-1010,Portable Power Bank,2,52.44,BR
ORD-000011,2026/01/12,CUST-1011,Wireless Headphones Pro,3,57.95,UK
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,1,37.75,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,1,129.1,AU
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,3,100.0,JP
ORD-000015,2026/01/16,CUST-1015,Standing Desk Converter,1,36.51,CN
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,1,70.26,DE
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,3,81.57,IN
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,3,145.04,AU
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,2,91.95,FR
ORD-000020,2026/01/21,CUST-1020,Yoga Mat Premium,1,99.26,CA
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,2,35.44,FR
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,1,124.02,CN
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,2,130.96,UK
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,2,31.92,UK
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,1,108.38,US
ORD-000026,2026/01/27,CUST-1026,External SSD 1TB,2,138.5,AU
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,1,47.48,UK
ORD-000028,2026/01/29,CUST-1028,Bluetooth Speaker Mini,3,137.24,FR
ORD-000029,2026/01/30,CUST-1029,Mechanical Keyboard RGB,2,100.54,IN
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,1,136.7,DE
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,1,142.7,CA
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,3,106.06,DE
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,3,90.47,CA
ORD-000034,2026/02/04,CUST-1034,Organic Cotton T-Shirt,3,85.6,AU
ORD-000035,2026/02/05,CUST-1035,Monitor Arm Dual,2,57.72,AU
ORD-000036,2026/02/06,CUST-1036,Leather Wallet Classic,2,148.4,DE
