order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Smart Watch Series 5,1,36.36,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,1,33.83,US
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,2,12.57,US
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,2,25.56,US
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,1,10.29,US
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,2,25.02,US
ORD-000007,2026/01/08,CUST-1007,Monitor Arm Dual,1,12.96,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,2,26.25,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,2,20.8,US
ORD-000010,2026/01/11,CUST-1010,Standing Desk Converter,1,11.99,US
ORD-000011,2026/01/12,CUST-1011,Bluetooth Speaker Mini,2,26.69,US
