ORD-000001,2026/01/02,CUST-1001,External SSD 1TB,1,0.0,US
ORD-000002,2026/01/03,CUST-1002,Wireless Headphones Pro,2,0.0,US
ORD-000003,2026/01/04,CUST-1003,Yoga Mat Premium,1,53.7,US
ORD-000004,2026/01/05,CUST-1004,Wireless Mouse Silent,1,63.01,US
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,1,0.0,US
ORD-000006,2026/01/07,CUST-1006,Bluetooth Speaker Mini,1,33.34,US
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,2,73.06,US
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,1,0.0,US
ORD-000009,2026/01/10,CUST-1009,4K Webcam Pro,2,93.56,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,1,0.0,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,2,0.0,US
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,2,55.82,US
ORD-000013,2026/01/14,CUST-1013,LED Desk Lamp,1,85.76,US
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,2,61.37,US
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,1,0.0,US
ORD-000016,2026/01/17,CUST-1016,Yoga Mat Premium,1,52.55,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,65.95,US
ORD-000018,2026/01/19,CUST-1018,Wireless Mouse Silent,1,31.63,US
ORD-000019,2026/01/20,CUST-1019,Wireless Headphones Pro,2,0.0,US
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,1,67.64,US
ORD-000021,2026/01/22,CUST-1021,Monitor Arm Dual,1,41.46,US
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,1,0.0,US
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,2,89.65,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,2,32.04,US
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,1,0.0,US
ORD-000026,2026/01/27,CUST-1026,Wireless Headphones Pro,2,35.39,US
ORD-000027,2026/01/28,CUST-1027,Portable Power Bank,1,93.38,US
ORD-000028,2026/01/29,CUST-1028,4K Webcam Pro,2,94.31,US
ORD-000029,2026/01/30,CUST-1029,Air Purifier Small,2,0.0,US
ORD-000030,2026/01/31,CUST-1030,Air Purifier Small,1,36.34,US
ORD-000031,2026/02/01,CUST-1031,External SSD 1TB,1,35.63,US
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,2,0.0,US
ORD-000033,2026/02/03,CUST-1033,Bluetooth Speaker Mini,2,78.63,US
ORD-000034,2026/02/04,CUST-1034,Standing Desk Converter,1,53.36,US
ORD-000035,2026/02/05,CUST-1035,Portable Power Bank,2,64.26,US
ORD-000036,2026/02/06,CUST-1036,Wireless Headphones Pro,1,0.0,US
ORD-000037,2026/02/07,CUST-1037,Portable Power Bank,2,0.0,US
ORD-000038,2026/02/08,CUST-1038,Wireless Mouse Silent,1,0.0,US
ORD-000039,2026/02/09,CUST-1039,Mechanical Keyboard RGB,2,65.03,US
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,2,55.15,US
ORD-000041,2026/02/11,CUST-1041,Stainless Steel Water Bottle,2,0.0,US
ORD-000042,2026/02/12,CUST-1042,Yoga Mat Premium,1,0.0,US
