order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,<i>Italic Item</i>,2,34.26,US
ORD-000002,2026/01/03,CUST-1002,<p>Paragraph Product</p>,2,43.61,US
ORD-000003,2026/01/04,CUST-1003,<b>Bold Product</b>,2,78.88,US
ORD-000004,2026/01/05,CUST-1004,Product<br>,2,47.51,US
ORD-000005,2026/01/06,CUST-1005,Product<br>,2,30.76,US
ORD-000006,2026/01/07,CUST-1006,Product<br>,2,75.1,US
ORD-000007,2026/01/08,CUST-1007,<i>Italic Item</i>,2,28.3,US
ORD-000008,2026/01/09,CUST-1008,<p>Paragraph Product</p>,1,29.7,US
ORD-000009,2026/01/10,CUST-1009,Product<br>,2,26.51,US
ORD-000010,2026/01/11,CUST-1010,Item <span>Tagged</span>,2,49.1,US
ORD-000011,2026/01/12,CUST-1011,<b>Bold Product</b>,1,64.09,US
ORD-000012,2026/01/13,CUST-1012,Item <span>Tagged</span>,2,69.1,US
ORD-000013,2026/01/14,CUST-1013,<i>Italic Item</i>,2,62.42,US
ORD-000014,2026/01/15,CUST-1014,<b>Bold Product</b>,1,56.16,US
ORD-000015,2026/01/16,CUST-1015,<p>Paragraph Product</p>,1,46.92,US
ORD-000016,2026/01/17,CUST-1016,Product<br>,2,34.44,US
ORD-000017,2026/01/18,CUST-1017,Item <span>Tagged</span>,2,79.15,US
ORD-000018,2026/01/19,CUST-1018,<i>Italic Item</i>,1,47.65,US
ORD-000019,2026/01/20,CUST-1019,<b>Bold Product</b>,2,49.81,US
ORD-000020,2026/01/21,CUST-1020,Product<br>,2,47.58,US
ORD-000021,2026/01/22,CUST-1021,<p>Paragraph Product</p>,2,37.62,US
ORD-000022,2026/01/23,CUST-1022,<p>Paragraph Product</p>,2,63.79,US
ORD-000023,2026/01/24,CUST-1023,<p>Paragraph Product</p>,1,31.63,US
ORD-000024,2026/01/25,CUST-1024,<i>Italic Item</i>,1,41.86,US
ORD-000025,2026/01/26,CUST-1025,Product<br>,1,49.95,US
ORD-000026,2026/01/27,CUST-1026,<b>Bold Product</b>,2,43.77,US
ORD-000027,2026/01/28,CUST-1027,<p>Paragraph Product</p>,2,45.38,US
ORD-000028,2026/01/29,CUST-1028,Item <span>Tagged</span>,2,35.82,US
ORD-000029,2026/01/30,CUST-1029,<b>Bold Product</b>,2,54.58,US
ORD-000030,2026/01/31,CUST-1030,<i>Italic Item</i>,1,62.37,US
ORD-000031,2026/02/01,CUST-1031,<i>Italic Item</i>,1,76.37,US
ORD-000032,2026/02/02,CUST-1032,<b>Bold Product</b>,1,73.56,US
ORD-000033,2026/02/03,CUST-1033,<b>Bold Product</b>,1,49.75,US
ORD-000034,2026/02/04,CUST-1034,<b>Bold Product</b>,2,70.15,US
ORD-000035,2026/02/05,CUST-1035,Product<br>,2,54.74,US
ORD-000036,2026/02/06,CUST-1036,<b>Bold Product</b>,2,77.93,US
ORD-000037,2026/02/07,CUST-1037,<i>Italic Item</i>,2,71.37,US
ORD-000038,2026/02/08,CUST-1038,<i>Italic Item</i>,1,69.81,US
ORD-000039,2026/02/09,CUST-1039,<i>Italic Item</i>,2,71.44,US
ORD-000040,2026/02/10,CUST-1040,Product<br>,2,31.93,US
ORD-000041,2026/02/11,CUST-1041,Item <span>Tagged</span>,2,50.38,US
ORD-000042,2026/02/12,CUST-1042,<p>Paragraph Product</p>,2,65.82,US
ORD-000043,2026/02/13,CUST-1043,Product<br>,2,33.46,US
ORD-000044,2026/02/14,CUST-1044,Item <span>Tagged</span>,2,53.95,US
ORD-000045,2026/02/15,CUST-1045,<p>Paragraph Product</p>,1,29.96,US
ORD-000046,2026/02/16,CUST-1046,<b>Bold Product</b>,1,57.61,US
