order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,1,89.55,JP
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,3,29.45,IN
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,2,79.7,IN
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,2,71.94,UK
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,1,110.97,DE
ORD-000006,2026/01/07,CUST-1006,Ergonomic Office Chair,1,65.14,IN
ORD-000007,2026/01/08,CUST-1007,Monitor Arm Dual,1,92.9,BR
ORD-000008,2026/01/09,CUST-1008,Standing Desk Converter,3,105.99,UK
ORD-000009,2026/01/10,CUST-1009,LED Desk Lamp,1,109.67,CA
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,2,93.26,AU
ORD-000011,2026/01/12,CUST-1011,Standing Desk Converter,2,115.46,IN
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,3,117.43,JP
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,1,103.63,JP
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,1,93.29,BR
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,3,79.73,IN
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,1,129.37,CA
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,2,131.14,CA
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,1,84.28,UK
ORD-000019,2026/01/20,CUST-1019,LED Desk Lamp,1,49.33,BR
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,2,32.74,UK
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,3,129.21,IN
ORD-000022,2026/01/23,CUST-1022,Monitor Arm Dual,2,129.28,CN
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones Pro,3,78.34,DE
ORD-000024,2026/01/25,CUST-1024,Noise Cancelling Earbuds,2,115.78,AU
ORD-000025,2026/01/26,CUST-1025,Ergonomic Office Chair,1,27.33,CN
ORD-000026,2026/01/27,CUST-1026,Monitor Arm Dual,1,45.57,DE
ORD-000027,2026/01/28,CUST-1027,Wireless Headphones Pro,2,22.04,CA
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,2,31.36,CN
ORD-000029,2026/01/30,CUST-1029,Portable Power Bank,3,82.13,US
ORD-000030,2026/01/31,CUST-1030,Yoga Mat Premium,3,125.36,UK
ORD-000031,2026/02/01,CUST-1031,Mechanical Keyboard RGB,2,81.23,DE
ORD-000032,2026/02/02,CUST-1032,Wireless Mouse Silent,2,92.72,IN
ORD-000033,2026/02/03,CUST-1033,Wireless Mouse Silent,2,74.15,FR
ORD-000034,2026/02/04,CUST-1034,Mechanical Keyboard RGB,2,88.4,FR
ORD-000035,2026/02/05,CUST-1035,Air Purifier Small,1,73.96,DE
ORD-000036,2026/02/06,CUST-1036,Smart Watch Series 5,3,23.78,US
ORD-000037,2026/02/07,CUST-1037,Portable Power Bank,3,96.09,US
ORD-000038,2026/02/08,CUST-1038,Smart Watch Series 5,1,74.07,CN
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,1,132.7,AU
ORD-000040,2026/02/10,CUST-1040,Wireless Charger Pad,3,138.12,UK
ORD-000041,2026/02/11,CUST-1041,Standing Desk Converter,2,48.06,JP
ORD-000042,2026/02/12,CUST-1042,Air Purifier Small,3,42.98,US
ORD-000043,2026/02/13,CUST-1043,Air Purifier Small,1,30.43,BR
ORD-000044,2026/02/14,CUST-1044,Organic Cotton T-Shirt,3,143.19,CN
ORD-000045,2026/02/15,CUST-1045,Wireless Headphones Pro,1,94.25,UK
ORD-000046,2026/02/16,CUST-1046,Ergonomic Office Chair,2,122.93,JP
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,3,24.82,IN
ORD-000048,2026/02/18,CUST-1048,Yoga Mat Premium,3,95.83,IN
ORD-000049,2026/02/19,CUST-1049,External SSD 1TB,1,92.22,DE
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,1,40.05,DE
ORD-000051,2026/02/21,CUST-1051,Bluetooth Speaker Mini,2,53.38,AU
ORD-000052,2026/02/22,CUST-1052,External SSD 1TB,1,123.39,AU
ORD-000053,2026/02/23,CUST-1053,Wireless Headphones Pro,1,53.68,JP
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,1,63.16,CN
ORD-000055,2026/02/25,CUST-1055,Mechanical Keyboard RGB,1,61.68,US
ORD-000056,2026/02/26,CUST-1056,Wireless Charger Pad,1,146.09,AU
