ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,5,285.33,AU
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,3,169.22,IN
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,5,102.62,IN
ORD-000004,2026/01/05,CUST-1004,Smart Watch Series 5,5,275.02,JP
ORD-000005,2026/01/06,CUST-1005,Portable Power Bank,5,220.21,CA
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,4,47.99,US
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,1,231.09,FR
ORD-000008,2026/01/09,CUST-1008,Standing Desk Converter,2,121.18,DE
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,4,188.97,CN
ORD-000010,2026/01/11,CUST-1010,Organic Cotton T-Shirt,4,94.86,CN
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,5,286.77,AU
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,1,246.69,DE
ORD-000013,2026/01/14,CUST-1013,Portable Power Bank,1,153.08,CA
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,3,291.62,CA
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,5,194.41,DE
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,1,286.88,BR
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,3,299.87,US
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,5,170.99,DE
ORD-000019,2026/01/20,CUST-1019,Air Purifier Small,1,180.26,CA
ORD-000020,2026/01/21,CUST-1020,Monitor Arm Dual,4,118.77,DE
ORD-000021,2026/01/22,CUST-1021,Mechanical Keyboard RGB,1,156.86,FR
ORD-000022,2026/01/23,CUST-1022,Yoga Mat Premium,1,166.53,CA
ORD-000023,2026/01/24,CUST-1023,Portable Power Bank,1,215.55,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,4,62.53,US
ORD-000025,2026/01/26,CUST-1025,Organic Cotton T-Shirt,3,176.04,BR
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,1,286.38,DE
ORD-000027,2026/01/28,CUST-1027,Wireless Headphones Pro,2,106.56,FR
ORD-000028,2026/01/29,CUST-1028,Running Shoes Elite,2,55.5,BR
ORD-000029,2026/01/30,CUST-1029,Running Shoes Elite,3,258.79,JP
ORD-000030,2026/01/31,CUST-1030,Portable Power Bank,3,93.19,CA
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,5,62.82,US
ORD-000032,2026/02/02,CUST-1032,External SSD 1TB,5,277.74,US
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,1,246.18,JP
ORD-000034,2026/02/04,CUST-1034,Ergonomic Office Chair,1,209.54,AU
ORD-000035,2026/02/05,CUST-1035,External SSD 1TB,1,218.79,DE
ORD-000036,2026/02/06,CUST-1036,Organic Cotton T-Shirt,1,276.66,UK
ORD-000037,2026/02/07,CUST-1037,LED Desk Lamp,3,142.67,JP
ORD-000038,2026/02/08,CUST-1038,Bluetooth Speaker Mini,2,93.44,CA
ORD-000039,2026/02/09,CUST-1039,Organic Cotton T-Shirt,3,273.64,IN
ORD-000040,2026/02/10,CUST-1040,LED Desk Lamp,4,231.14,UK
ORD-000041,2026/02/11,CUST-1041,Wireless Charger Pad,1,294.69,BR
ORD-000042,2026/02/12,CUST-1042,Yoga Mat Premium,5,213.58,BR
ORD-000043,2026/02/13,CUST-1043,Wireless Headphones Pro,2,283.47,BR
ORD-000044,2026/02/14,CUST-1044,Stainless Steel Water Bottle,3,245.96,US
ORD-000045,2026/02/15,CUST-1045,External SSD 1TB,4,155.24,UK
ORD-000046,2026/02/16,CUST-1046,Wireless Charger Pad,3,115.4,CN
ORD-000047,2026/02/17,CUST-1047,Wireless Headphones Pro,3,65.86,DE
ORD-000048,2026/02/18,CUST-1048,Wireless Headphones Pro,5,258.84,US
ORD-000049,2026/02/19,CUST-1049,Monitor Arm Dual,2,192.24,IN
ORD-000050,2026/02/20,CUST-1050,4K Webcam Pro,3,136.12,JP
ORD-000051,2026/02/21,CUST-1051,External SSD 1TB,3,240.08,DE
ORD-000052,2026/02/22,CUST-1052,Monitor Arm Dual,5,297.83,IN
ORD-000053,2026/02/23,CUST-1053,Mechanical Keyboard RGB,2,222.13,FR
ORD-000054,2026/02/24,CUST-1054,Wireless Charger Pad,4,123.05,JP
ORD-000055,2026/02/25,CUST-1055,Standing Desk Converter,5,243.89,BR
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,5,269.31,BR
ORD-000057,2026/02/27,CUST-1057,Standing Desk Converter,1,141.57,BR
ORD-000058,2026/02/28,CUST-1058,Bluetooth Speaker Mini,3,139.5,CA
ORD-000059,2026/03/01,CUST-1059,Bluetooth Speaker Mini,4,172.13,CN
ORD-000060,2026/03/02,CUST-1060,Wireless Charger Pad,1,81.48,BR
ORD-000061,2026/03/03,CUST-1061,External SSD 1TB,5,82.83,DE
ORD-000062,2026/03/04,CUST-1062,Portable Power Bank,4,114.38,JP
ORD-000063,2026/03/05,CUST-1063,Yoga Mat Premium,5,93.59,CA
ORD-000064,2026/03/06,CUST-1064,LED Desk Lamp,5,200.99,DE
ORD-000065,2026/03/07,CUST-1065,Stainless Steel Water Bottle,3,103.85,UK
ORD-000066,2026/03/08,CUST-1066,Wireless Mouse Silent,1,244.43,JP
ORD-000067,2026/03/09,CUST-1067,Wireless Mouse Silent,2,149.75,AU
ORD-000068,2026/03/10,CUST-1068,4K Webcam Pro,4,86.1,DE
ORD-000069,2026/03/11,CUST-1069,Ergonomic Office Chair,5,187.06,JP
ORD-000070,2026/03/12,CUST-1070,Running Shoes Elite,2,100.7,FR
ORD-000071,2026/03/13,CUST-1071,LED Desk Lamp,4,42.2,UK
ORD-000072,2026/03/14,CUST-1072,Bluetooth Speaker Mini,3,248.93,AU
ORD-000073,2026/03/15,CUST-1073,Leather Wallet Classic,4,31.31,UK
ORD-000074,2026/03/16,CUST-1074,LED Desk Lamp,4,252.47,IN
ORD-000075,2026/03/17,CUST-1075,Wireless Mouse Silent,1,44.07,CN
ORD-000076,2026/03/18,CUST-1076,Monitor Arm Dual,3,69.54,BR
ORD-000077,2026/03/19,CUST-1077,Organic Cotton T-Shirt,2,197.91,AU
ORD-000078,2026/03/20,CUST-1078,LED Desk Lamp,3,116.03,DE
ORD-000079,2026/03/21,CUST-1079,LED Desk Lamp,3,102.12,AU
ORD-000080,2026/03/22,CUST-1080,External SSD 1TB,4,217.95,DE
ORD-000081,2026/03/23,CUST-1081,Wireless Mouse Silent,4,178.3,BR
ORD-000082,2026/03/24,CUST-1082,Organic Cotton T-Shirt,3,50.6,FR
ORD-000083,2026/03/25,CUST-1083,Running Shoes Elite,3,115.75,US
ORD-000084,2026/03/26,CUST-1084,Wireless Mouse Silent,1,179.12,FR
ORD-000085,2026/03/27,CUST-1085,Wireless Mouse Silent,5,193.08,CA
ORD-000086,2026/03/28,CUST-1086,4K Webcam Pro,1,195.6,CA
ORD-000087,2026/03/29,CUST-1087,Mechanical Keyboard RGB,3,296.28,JP
ORD-000088,2026/03/30,CUST-1088,Running Shoes Elite,5,160.12,CN
ORD-000089,2026/03/31,CUST-1089,Portable Power Bank,2,44.25,CA
ORD-000090,2026/04/01,CUST-1090,Air Purifier Small,3,252.09,AU
ORD-000091,2026/04/02,CUST-1091,Organic Cotton T-Shirt,4,287.16,DE
ORD-000092,2026/04/03,CUST-1092,LED Desk Lamp,2,259.55,UK
ORD-000093,2026/04/04,CUST-1093,Leather Wallet Classic,4,155.94,AU
ORD-000094,2026/04/05,CUST-1094,Noise Cancelling Earbuds,1,87.86,IN
ORD-000095,2026/04/06,CUST-1095,Standing Desk Converter,4,268.86,DE
ORD-000096,2026/04/07,CUST-1096,Smart Watch Series 5,2,187.89,US
ORD-000097,2026/04/08,CUST-1097,Monitor Arm Dual,5,186.61,UK
ORD-000098,2026/04/09,CUST-1098,Monitor Arm Dual,1,282.81,DE
ORD-000099,2026/04/10,CUST-1099,External SSD 1TB,5,256.77,UK
ORD-000100,2026/04/11,CUST-1100,External SSD 1TB,3,271.68,UK
ORD-000101,2026/04/12,CUST-1101,Ergonomic Office Chair,3,203.52,US
ORD-000102,2026/04/13,CUST-1102,Bluetooth Speaker Mini,3,67.33,FR
ORD-000103,2026/04/14,CUST-1103,Wireless Headphones Pro,2,187.8,UK
ORD-000104,2026/04/15,CUST-1104,Running Shoes Elite,2,76.89,BR
ORD-000105,2026/04/16,CUST-1105,LED Desk Lamp,4,151.47,US
ORD-000106,2026/04/17,CUST-1106,Air Purifier Small,3,74.77,AU
ORD-000107,2026/04/18,CUST-1107,Ergonomic Office Chair,4,183.26,IN
ORD-000108,2026/04/19,CUST-1108,Smart Watch Series 5,4,189.69,CA
ORD-000109,2026/04/20,CUST-1109,Noise Cancelling Earbuds,3,251.65,FR
ORD-000110,2026/04/21,CUST-1110,Leather Wallet Classic,3,225.57,BR
ORD-000111,2026/04/22,CUST-1111,Standing Desk Converter,5,70.8,FR
ORD-000112,2026/04/23,CUST-1112,Leather Wallet Classic,5,239.9,DE
ORD-000113,2026/04/24,CUST-1113,Stainless Steel Water Bottle,4,54.34,US
ORD-000114,2026/04/25,CUST-1114,Running Shoes Elite,2,199.54,AU
ORD-000115,2026/04/26,CUST-1115,Air Purifier Small,4,53.07,BR
ORD-000116,2026/04/27,CUST-1116,Wireless Charger Pad,4,193.1,CA
ORD-000117,2026/04/28,CUST-1117,Noise Cancelling Earbuds,4,128.51,CN
ORD-000118,2026/04/29,CUST-1118,Stainless Steel Water Bottle,5,90.51,AU
ORD-000119,2026/04/30,CUST-1119,Yoga Mat Premium,4,116.09,CA
ORD-000120,2026/05/01,CUST-1120,Wireless Charger Pad,3,89.39,AU
ORD-000121,2026/05/02,CUST-1121,Portable Power Bank,2,111.7,IN
ORD-000122,2026/05/03,CUST-1122,External SSD 1TB,2,139.35,DE
ORD-000123,2026/05/04,CUST-1123,Noise Cancelling Earbuds,4,71.34,UK
ORD-000124,2026/05/05,CUST-1124,External SSD 1TB,4,120.32,CA
ORD-000125,2026/05/06,CUST-1125,Wireless Charger Pad,1,204.49,IN
ORD-000126,2026/05/07,CUST-1126,External SSD 1TB,4,86.44,AU
ORD-000127,2026/05/08,CUST-1127,Noise Cancelling Earbuds,2,251.33,CA
ORD-000128,2026/05/09,CUST-1128,Wireless Headphones Pro,5,94.41,BR
ORD-000129,2026/05/10,CUST-1129,Leather Wallet Classic,5,61.69,DE
ORD-000130,2026/05/11,CUST-1130,Air Purifier Small,4,165.62,JP
ORD-000131,2026/05/12,CUST-1131,Running Shoes Elite,3,75.11,US
ORD-000132,2026/05/13,CUST-1132,Bluetooth Speaker Mini,4,184.41,UK
ORD-000133,2026/05/14,CUST-1133,Noise Cancelling Earbuds,3,269.96,UK
ORD-000134,2026/05/15,CUST-1134,Yoga Mat Premium,4,56.44,JP
ORD-000135,2026/05/16,CUST-1135,LED Desk Lamp,4,222.85,AU
ORD-000136,2026/05/17,CUST-1136,External SSD 1TB,3,156.1,IN
ORD-000137,2026/05/18,CUST-1137,Portable Power Bank,3,92.42,FR
ORD-000138,2026/05/19,CUST-1138,Air Purifier Small,2,226.62,FR
ORD-000139,2026/05/20,CUST-1139,Ergonomic Office Chair,2,202.73,CA
ORD-000140,2026/05/21,CUST-1140,Bluetooth Speaker Mini,5,247.3,CN
ORD-000141,2026/05/22,CUST-1141,Stainless Steel Water Bottle,3,153.58,UK
ORD-000142,2026/05/23,CUST-1142,Yoga Mat Premium,2,38.09,DE
ORD-000143,2026/05/24,CUST-1143,Air Purifier Small,2,227.74,JP
ORD-000144,2026/05/25,CUST-1144,Portable Power Bank,1,121.81,IN
ORD-000145,2026/05/26,CUST-1145,LED Desk Lamp,3,274.28,UK
ORD-000146,2026/05/27,CUST-1146,Leather Wallet Classic,3,151.99,DE
ORD-000147,2026/05/28,CUST-1147,Ergonomic Office Chair,4,124.67,DE
ORD-000148,2026/05/29,CUST-1148,Stainless Steel Water Bottle,4,237.75,JP
ORD-000149,2026/05/30,CUST-1149,Air Purifier Small,4,220.75,CA
ORD-000150,2026/05/31,CUST-1150,Wireless Charger Pad,2,229.42,AU
ORD-000151,2026/06/01,CUST-1151,Portable Power Bank,1,261.97,US
ORD-000152,2026/06/02,CUST-1152,Organic Cotton T-Shirt,3,51.0,CN
ORD-000153,2026/06/03,CUST-1153,Air Purifier Small,3,298.64,UK
ORD-000154,2026/06/04,CUST-1154,Wireless Charger Pad,1,168.49,BR
ORD-000155,2026/06/05,CUST-1155,Mechanical Keyboard RGB,2,103.02,US
ORD-000156,2026/06/06,CUST-1156,Leather Wallet Classic,1,109.07,UK
ORD-000157,2026/06/07,CUST-1157,Bluetooth Speaker Mini,2,221.48,JP
ORD-000158,2026/06/08,CUST-1158,Smart Watch Series 5,5,129.54,DE
ORD-000159,2026/06/09,CUST-1159,Leather Wallet Classic,3,104.52,DE
ORD-000160,2026/06/10,CUST-1160,Stainless Steel Water Bottle,3,196.34,AU
ORD-000161,2026/06/11,CUST-1161,Stainless Steel Water Bottle,5,113.52,CA
ORD-000162,2026/06/12,CUST-1162,Organic Cotton T-Shirt,2,89.68,FR
ORD-000163,2026/06/13,CUST-1163,Leather Wallet Classic,5,165.05,IN
ORD-000164,2026/06/14,CUST-1164,Noise Cancelling Earbuds,5,127.12,FR
ORD-000165,2026/06/15,CUST-1165,Mechanical Keyboard RGB,1,166.3,JP
ORD-000166,2026/06/16,CUST-1166,Stainless Steel Water Bottle,5,46.09,CN
ORD-000167,2026/06/17,CUST-1167,Standing Desk Converter,5,48.41,IN
ORD-000168,2026/06/18,CUST-1168,Stainless Steel Water Bottle,2,83.52,JP
ORD-000169,2026/06/19,CUST-1169,Stainless Steel Water Bottle,1,280.74,CN
ORD-000170,2026/06/20,CUST-1170,Monitor Arm Dual,4,226.07,US
ORD-000171,2026/06/21,CUST-1171,Standing Desk Converter,3,252.39,JP
ORD-000172,2026/06/22,CUST-1172,Mechanical Keyboard RGB,1,281.77,BR
ORD-000173,2026/06/23,CUST-1173,Portable Power Bank,1,269.96,AU
ORD-000174,2026/06/24,CUST-1174,4K Webcam Pro,1,296.71,AU
ORD-000175,2026/06/25,CUST-1175,Mechanical Keyboard RGB,1,55.91,FR
ORD-000176,2026/06/26,CUST-1176,Monitor Arm Dual,3,38.02,DE
ORD-000177,2026/06/27,CUST-1177,Smart Watch Series 5,2,135.41,IN
ORD-000178,2026/06/28,CUST-1178,Noise Cancelling Earbuds,3,78.55,US
ORD-000179,2026/06/29,CUST-1179,Smart Watch Series 5,2,167.29,FR
ORD-000180,2026/01/01,CUST-1180,Ergonomic Office Chair,2,242.12,CA
ORD-000181,2026/01/02,CUST-1181,4K Webcam Pro,4,276.29,AU
ORD-000182,2026/01/03,CUST-1182,Wireless Mouse Silent,3,204.55,IN
ORD-000183,2026/01/04,CUST-1183,Wireless Charger Pad,2,192.8,JP
ORD-000184,2026/01/05,CUST-1184,Bluetooth Speaker Mini,2,105.27,US
ORD-000185,2026/01/06,CUST-1185,Organic Cotton T-Shirt,5,187.64,CA
ORD-000186,2026/01/07,CUST-1186,Organic Cotton T-Shirt,1,290.56,IN
ORD-000187,2026/01/08,CUST-1187,Stainless Steel Water Bottle,4,261.59,JP
ORD-000188,2026/01/09,CUST-1188,Standing Desk Converter,5,291.53,DE
