ORD-000001,2026/06/16,CUST-1001,Portable Power Bank,1,29.97,US
ORD-000002,2026/06/17,CUST-1002,Monitor Arm Dual,1,97.27,US
ORD-000003,2026/06/18,CUST-1003,Wireless Mouse Silent,1,50.65,US
ORD-000004,2026/06/19,CUST-1004,Monitor Arm Dual,3,88.32,US
ORD-000005,2026/06/20,CUST-1005,Standing Desk Converter,3,80.3,US
ORD-000006,2026/06/21,CUST-1006,Ergonomic Office Chair,1,66.56,US
ORD-000007,2026/06/22,CUST-1007,Wireless Headphones Pro,1,61.87,US
ORD-000008,2026/06/23,CUST-1008,Air Purifier Small,2,46.71,US
ORD-000009,2026/06/24,CUST-1009,Mechanical Keyboard RGB,2,62.57,US
ORD-000010,2026/06/25,CUST-1010,Wireless Headphones Pro,2,72.55,US
ORD-000011,2026/06/26,CUST-1011,Smart Watch Series 5,3,78.09,US
ORD-000012,2026/06/27,CUST-1012,Mechanical Keyboard RGB,1,57.29,US
ORD-000013,2026/06/28,CUST-1013,Running Shoes Elite,2,94.6,US
ORD-000014,2026/06/29,CUST-1014,Portable Power Bank,1,40.01,US
ORD-000015,2026/06/30,CUST-1015,Portable Power Bank,2,95.83,US
