order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,<i>Italic Item</i>,1,33.93,US
ORD-000002,2026/01/03,CUST-1002,Item <span>Tagged</span>,2,47.79,US
ORD-000003,2026/01/04,CUST-1003,Item <span>Tagged</span>,2,45.02,US
ORD-000004,2026/01/05,CUST-1004,Item <span>Tagged</span>,1,77.47,US
ORD-000005,2026/01/06,CUST-1005,Product<br>,2,64.21,US
ORD-000006,2026/01/07,CUST-1006,Product<br>,2,75.42,US
ORD-000007,2026/01/08,CUST-1007,<p>Paragraph Product</p>,1,68.62,US
ORD-000008,2026/01/09,CUST-1008,Item <span>Tagged</span>,1,37.42,US
ORD-000009,2026/01/10,CUST-1009,<i>Italic Item</i>,1,39.13,US
ORD-000010,2026/01/11,CUST-1010,<b>Bold Product</b>,1,60.07,US
ORD-000011,2026/01/12,CUST-1011,<i>Italic Item</i>,2,39.23,US
ORD-000012,2026/01/13,CUST-1012,Product<br>,1,72.31,US
ORD-000013,2026/01/14,CUST-1013,Product<br>,1,58.39,US
ORD-000014,2026/01/15,CUST-1014,<b>Bold Product</b>,2,31.28,US
ORD-000015,2026/01/16,CUST-1015,<i>Italic Item</i>,2,74.78,US
ORD-000016,2026/01/17,CUST-1016,<i>Italic Item</i>,1,42.69,US
ORD-000017,2026/01/18,CUST-1017,<b>Bold Product</b>,2,63.04,US
ORD-000018,2026/01/19,CUST-1018,Product<br>,2,78.31,US
ORD-000019,2026/01/20,CUST-1019,<b>Bold Product</b>,1,68.35,US
ORD-000020,2026/01/21,CUST-1020,<b>Bold Product</b>,1,64.13,US
ORD-000021,2026/01/22,CUST-1021,Item <span>Tagged</span>,1,47.82,US
ORD-000022,2026/01/23,CUST-1022,Product<br>,2,50.49,US
ORD-000023,2026/01/24,CUST-1023,<b>Bold Product</b>,2,24.97,US
ORD-000024,2026/01/25,CUST-1024,Product<br>,1,33.02,US
ORD-000025,2026/01/26,CUST-1025,<i>Italic Item</i>,1,56.46,US
ORD-000026,2026/01/27,CUST-1026,Product<br>,2,74.14,US
ORD-000027,2026/01/28,CUST-1027,Product<br>,1,40.91,US
ORD-000028,2026/01/29,CUST-1028,<i>Italic Item</i>,1,30.29,US
ORD-000029,2026/01/30,CUST-1029,Item <span>Tagged</span>,1,55.01,US
ORD-000030,2026/01/31,CUST-1030,<i>Italic Item</i>,2,26.55,US
ORD-000031,2026/02/01,CUST-1031,Item <span>Tagged</span>,2,36.38,US
ORD-000032,2026/02/02,CUST-1032,Item <span>Tagged</span>,2,77.92,US
ORD-000033,2026/02/03,CUST-1033,<p>Paragraph Product</p>,1,31.12,US
ORD-000034,2026/02/04,CUST-1034,<b>Bold Product</b>,2,69.26,US
ORD-000035,2026/02/05,CUST-1035,Item <span>Tagged</span>,1,46.38,US
ORD-000036,2026/02/06,CUST-1036,Item <span>Tagged</span>,1,39.69,US
ORD-000037,2026/02/07,CUST-1037,<b>Bold Product</b>,1,48.99,US
ORD-000038,2026/02/08,CUST-1038,<i>Italic Item</i>,2,27.94,US
ORD-000039,2026/02/09,CUST-1039,<b>Bold Product</b>,2,64.13,US
ORD-000040,2026/02/10,CUST-1040,<b>Bold Product</b>,1,68.68,US
ORD-000041,2026/02/11,CUST-1041,Item <span>Tagged</span>,1,24.18,US
