order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Item & amp,1,37.69,US
ORD-000002,2026/01/03,CUST-1002,Item # hash,2,29.47,US
ORD-000003,2026/01/04,CUST-1003,Product % percent,2,28.09,US
ORD-000004,2026/01/05,CUST-1004,Product % percent,2,24.12,US
ORD-000005,2026/01/06,CUST-1005,Product @ at,2,26.34,US
ORD-000006,2026/01/07,CUST-1006,Product @ at,1,41.19,US
ORD-000007,2026/01/08,CUST-1007,Item $ dollar,1,32.58,US
ORD-000008,2026/01/09,CUST-1008,Item # hash,2,52.85,US
ORD-000009,2026/01/10,CUST-1009,Product % percent,2,35.2,US
ORD-000010,2026/01/11,CUST-1010,Product % percent,1,40.6,US
ORD-000011,2026/01/12,CUST-1011,Product @ at,1,46.38,US
ORD-000012,2026/01/13,CUST-1012,Product % percent,1,61.17,US
ORD-000013,2026/01/14,CUST-1013,Product % percent,2,62.61,US
ORD-000014,2026/01/15,CUST-1014,Product @ at,2,24.02,US
ORD-000015,2026/01/16,CUST-1015,Item $ dollar,2,42.78,US
ORD-000016,2026/01/17,CUST-1016,Product = equal,2,60.58,US
ORD-000017,2026/01/18,CUST-1017,Item # hash,2,57.91,US
ORD-000018,2026/01/19,CUST-1018,Product % percent,2,66.74,US
ORD-000019,2026/01/20,CUST-1019,Product % percent,2,53.12,US
ORD-000020,2026/01/21,CUST-1020,Product @ at,2,27.18,US
ORD-000021,2026/01/22,CUST-1021,Product @ at,1,29.03,US
ORD-000022,2026/01/23,CUST-1022,Product | pipe,1,64.04,US
ORD-000023,2026/01/24,CUST-1023,Product = equal,2,64.99,US
ORD-000024,2026/01/25,CUST-1024,Product @ at,2,38.07,US
ORD-000025,2026/01/26,CUST-1025,Item & amp,2,22.08,US
ORD-000026,2026/01/27,CUST-1026,Product @ at,2,32.51,US
ORD-000027,2026/01/28,CUST-1027,Item & amp,2,39.02,US
ORD-000028,2026/01/29,CUST-1028,Item # hash,2,37.52,US
ORD-000029,2026/01/30,CUST-1029,Product % percent,2,46.11,US
ORD-000030,2026/01/31,CUST-1030,Product = equal,1,46.02,US
ORD-000031,2026/02/01,CUST-1031,Product % percent,1,46.4,US
ORD-000032,2026/02/02,CUST-1032,Product = equal,2,56.04,US
ORD-000033,2026/02/03,CUST-1033,Product % percent,2,29.88,US
ORD-000034,2026/02/04,CUST-1034,Item $ dollar,2,26.68,US
ORD-000035,2026/02/05,CUST-1035,Item $ dollar,2,64.18,US
ORD-000036,2026/02/06,CUST-1036,Product = equal,2,61.64,US
ORD-000037,2026/02/07,CUST-1037,Product = equal,1,34.7,US
ORD-000038,2026/02/08,CUST-1038,Product | pipe,1,66.1,US
ORD-000039,2026/02/09,CUST-1039,Product | pipe,2,60.05,US
ORD-000040,2026/02/10,CUST-1040,Product % percent,2,60.23,US
ORD-000041,2026/02/11,CUST-1041,Product @ at,2,56.54,US
ORD-000042,2026/02/12,CUST-1042,Product % percent,1,53.15,US
ORD-000043,2026/02/13,CUST-1043,Item $ dollar,1,31.64,US
ORD-000044,2026/02/14,CUST-1044,Product = equal,1,56.19,US
ORD-000045,2026/02/15,CUST-1045,Product % percent,2,33.63,US
ORD-000046,2026/02/16,CUST-1046,Item & amp,1,47.16,US
ORD-000047,2026/02/17,CUST-1047,Item & amp,1,32.62,US
ORD-000048,2026/02/18,CUST-1048,Item & amp,2,39.2,US
ORD-000049,2026/02/19,CUST-1049,Product | pipe,1,50.44,US
ORD-000050,2026/02/20,CUST-1050,Product = equal,2,27.18,US
ORD-000051,2026/02/21,CUST-1051,Product = equal,2,50.34,US
ORD-000052,2026/02/22,CUST-1052,Product % percent,1,62.25,US
ORD-000053,2026/02/23,CUST-1053,Item $ dollar,1,23.15,US
ORD-000054,2026/02/24,CUST-1054,Product @ at,1,50.16,US
ORD-000055,2026/02/25,CUST-1055,Item & amp,1,27.5,US
