order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Coffee ☕,3,35.99,US
ORD-000002,2026/01/03,CUST-1002,Yoga Mat 🧘,2,71.64,US
ORD-000003,2026/01/04,CUST-1003,Wireless Headphones 🎧,2,27.03,US
ORD-000004,2026/01/05,CUST-1004,Water Bottle 💧,3,43.36,US
ORD-000005,2026/01/06,CUST-1005,T-Shirt 👕,3,66.37,US
ORD-000006,2026/01/07,CUST-1006,Water Bottle 💧,2,96.07,US
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones 🎧,2,30.71,US
ORD-000008,2026/01/09,CUST-1008,Sneakers 👟,1,26.07,US
ORD-000009,2026/01/10,CUST-1009,Sneakers 👟,2,68.35,US
ORD-000010,2026/01/11,CUST-1010,Yoga Mat 🧘,3,44.61,US
ORD-000011,2026/01/12,CUST-1011,Coffee ☕,3,69.95,US
ORD-000012,2026/01/13,CUST-1012,Sneakers 👟,1,61.59,US
ORD-000013,2026/01/14,CUST-1013,T-Shirt 👕,2,55.28,US
ORD-000014,2026/01/15,CUST-1014,Water Bottle 💧,2,20.07,US
ORD-000015,2026/01/16,CUST-1015,Yoga Mat 🧘,2,30.1,US
ORD-000016,2026/01/17,CUST-1016,Coffee ☕,2,83.08,US
ORD-000017,2026/01/18,CUST-1017,T-Shirt 👕,2,66.71,US
ORD-000018,2026/01/19,CUST-1018,T-Shirt 👕,3,93.92,US
ORD-000019,2026/01/20,CUST-1019,Yoga Mat 🧘,3,67.45,US
ORD-000020,2026/01/21,CUST-1020,T-Shirt 👕,3,39.2,US
ORD-000021,2026/01/22,CUST-1021,Coffee ☕,3,92.83,US
ORD-000022,2026/01/23,CUST-1022,Wireless Headphones 🎧,3,66.05,US
ORD-000023,2026/01/24,CUST-1023,Water Bottle 💧,3,82.78,US
ORD-000024,2026/01/25,CUST-1024,Sneakers 👟,2,40.64,US
ORD-000025,2026/01/26,CUST-1025,Sneakers 👟,2,30.15,US
ORD-000026,2026/01/27,CUST-1026,Yoga Mat 🧘,2,65.26,US
ORD-000027,2026/01/28,CUST-1027,Yoga Mat 🧘,3,54.21,US
ORD-000028,2026/01/29,CUST-1028,Coffee ☕,2,48.29,US
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones 🎧,1,91.41,US
ORD-000030,2026/01/31,CUST-1030,T-Shirt 👕,2,55.8,US
