order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,4K Webcam Pro,1,86.51,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,1,87.52,US
ORD-000003,2026/01/04,CUST-1003,4K Webcam Pro,2,51.17,US
ORD-000004,2026/01/05,CUST-1004,Leather Wallet Classic,1,78.13,US
ORD-000005,2026/01/06,CUST-1005,4K Webcam Pro,3,78.65,US
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,2,55.8,US
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,2,75.15,US
ORD-000008,2026/01/09,CUST-1008,4K Webcam Pro,3,73.79,US
ORD-000009,2026/01/10,CUST-1009,4K Webcam Pro,2,37.92,US
ORD-000010,2026/01/11,CUST-1010,4K Webcam Pro,3,81.66,US
ORD-000011,2026/01/12,CUST-1011,Mechanical Keyboard RGB,1,72.37,US
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,2,77.35,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,1,29.67,US
ORD-000014,2026/01/15,CUST-1014,4K Webcam Pro,2,66.9,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,3,55.8,US
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,3,48.56,US
ORD-000017,2026/01/18,CUST-1017,4K Webcam Pro,3,66.17,US
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,2,82.08,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,66.94,US
ORD-000020,2026/01/21,CUST-1020,Wireless Headphones Pro,3,81.2,US
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,2,31.07,US
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,1,47.05,US
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,1,45.17,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,3,49.1,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,2,66.39,US
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,2,35.71,US
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,1,29.16,US
ORD-000028,2026/01/29,CUST-1028,4K Webcam Pro,1,26.63,US
ORD-000029,2026/01/30,CUST-1029,4K Webcam Pro,2,70.73,US
ORD-000030,2026/01/31,CUST-1030,4K Webcam Pro,2,75.96,US
ORD-000031,2026/02/01,CUST-1031,4K Webcam Pro,1,89.76,US
ORD-000032,2026/02/02,CUST-1032,4K Webcam Pro,3,46.63,US
ORD-000033,2026/02/03,CUST-1033,4K Webcam Pro,1,67.43,US
ORD-000034,2026/02/04,CUST-1034,Noise Cancelling Earbuds,2,34.17,US
ORD-000035,2026/02/05,CUST-1035,Mechanical Keyboard RGB,2,20.01,US
ORD-000036,2026/02/06,CUST-1036,Wireless Charger Pad,1,30.99,US
ORD-000037,2026/02/07,CUST-1037,Organic Cotton T-Shirt,1,87.67,US
ORD-000038,2026/02/08,CUST-1038,External SSD 1TB,3,63.42,US
ORD-000039,2026/02/09,CUST-1039,4K Webcam Pro,1,81.14,US
ORD-000040,2026/02/10,CUST-1040,4K Webcam Pro,2,26.34,US
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,3,60.54,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,1,62.8,US
ORD-000043,2026/02/13,CUST-1043,4K Webcam Pro,1,42.17,US
ORD-000044,2026/02/14,CUST-1044,4K Webcam Pro,1,71.6,US
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,2,53.1,US
ORD-000046,2026/02/16,CUST-1046,4K Webcam Pro,3,25.33,US
ORD-000047,2026/02/17,CUST-1047,4K Webcam Pro,3,49.93,US
ORD-000048,2026/02/18,CUST-1048,4K Webcam Pro,2,69.25,US
ORD-000049,2026/02/19,CUST-1049,4K Webcam Pro,2,66.1,US
ORD-000050,2026/02/20,CUST-1050,4K Webcam Pro,1,72.07,US
ORD-000051,2026/02/21,CUST-1051,4K Webcam Pro,2,29.28,US
ORD-000052,2026/02/22,CUST-1052,4K Webcam Pro,1,36.94,US
ORD-000053,2026/02/23,CUST-1053,4K Webcam Pro,1,37.78,US
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,3,20.57,US
ORD-000055,2026/02/25,CUST-1055,4K Webcam Pro,3,72.22,US
ORD-000056,2026/02/26,CUST-1056,LED Desk Lamp,1,64.06,US
ORD-000057,2026/02/27,CUST-1057,4K Webcam Pro,1,83.45,US
ORD-000058,2026/02/28,CUST-1058,4K Webcam Pro,3,39.57,US
ORD-000059,2026/03/01,CUST-1059,4K Webcam Pro,3,51.67,US
ORD-000060,2026/03/02,CUST-1060,4K Webcam Pro,1,23.06,US
ORD-000061,2026/03/03,CUST-1061,Stainless Steel Water Bottle,1,58.76,US
ORD-000062,2026/03/04,CUST-1062,4K Webcam Pro,3,68.61,US
ORD-000063,2026/03/05,CUST-1063,4K Webcam Pro,1,48.09,US
ORD-000064,2026/03/06,CUST-1064,4K Webcam Pro,3,77.39,US
ORD-000065,2026/03/07,CUST-1065,4K Webcam Pro,1,23.45,US
ORD-000066,2026/03/08,CUST-1066,4K Webcam Pro,2,65.33,US
ORD-000067,2026/03/09,CUST-1067,4K Webcam Pro,1,51.47,US
ORD-000068,2026/03/10,CUST-1068,Wireless Mouse Silent,3,50.87,US
ORD-000069,2026/03/11,CUST-1069,4K Webcam Pro,2,89.26,US
ORD-000070,2026/03/12,CUST-1070,4K Webcam Pro,1,64.27,US
ORD-000071,2026/03/13,CUST-1071,4K Webcam Pro,1,89.31,US
ORD-000072,2026/03/14,CUST-1072,4K Webcam Pro,2,87.32,US
ORD-000073,2026/03/15,CUST-1073,4K Webcam Pro,3,49.6,US
ORD-000074,2026/03/16,CUST-1074,4K Webcam Pro,1,48.59,US
ORD-000075,2026/03/17,CUST-1075,Ergonomic Office Chair,2,40.36,US
ORD-000076,2026/03/18,CUST-1076,4K Webcam Pro,3,53.07,US
ORD-000077,2026/03/19,CUST-1077,4K Webcam Pro,3,28.67,US
ORD-000078,2026/03/20,CUST-1078,Mechanical Keyboard RGB,2,57.95,US
ORD-000079,2026/03/21,CUST-1079,4K Webcam Pro,3,85.52,US
ORD-000080,2026/03/22,CUST-1080,4K Webcam Pro,2,56.38,US
ORD-000081,2026/03/23,CUST-1081,Stainless Steel Water Bottle,2,67.11,US
