ORD-000001,2026/01/02,CUST-1001,Standing Desk Converter,3,83.71,US
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,81.84,US
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,1,53.63,US
ORD-000004,2026/01/05,CUST-1004,Mechanical Keyboard RGB,2,21.64,US
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,2,57.46,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,1,45.08,US
ORD-000007,2026/01/08,CUST-1007,Mechanical Keyboard RGB,1,86.59,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,1,54.43,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,2,45.41,US
ORD-000010,2026/01/11,CUST-1010,Mechanical Keyboard RGB,2,29.61,US
ORD-000011,2026/01/12,CUST-1011,Mechanical Keyboard RGB,2,61.91,US
ORD-000012,2026/01/13,CUST-1012,Leather Wallet Classic,1,26.59,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,2,66.69,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,2,49.08,US
ORD-000015,2026/01/16,CUST-1015,Wireless Headphones Pro,2,69.99,US
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,1,77.14,US
ORD-000017,2026/01/18,CUST-1017,Standing Desk Converter,2,84.54,US
ORD-000018,2026/01/19,CUST-1018,Mechanical Keyboard RGB,1,39.96,US
ORD-000019,2026/01/20,CUST-1019,Mechanical Keyboard RGB,2,64.07,US
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,3,28.09,US
ORD-000021,2026/01/22,CUST-1021,Mechanical Keyboard RGB,2,67.59,US
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,3,77.11,US
ORD-000023,2026/01/24,CUST-1023,Stainless Steel Water Bottle,2,33.48,US
ORD-000024,2026/01/25,CUST-1024,Mechanical Keyboard RGB,3,65.31,US
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,2,24.52,US
ORD-000026,2026/01/27,CUST-1026,Mechanical Keyboard RGB,2,35.7,US
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,3,58.79,US
ORD-000028,2026/01/29,CUST-1028,Mechanical Keyboard RGB,3,26.54,US
ORD-000029,2026/01/30,CUST-1029,Mechanical Keyboard RGB,1,83.69,US
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,2,77.55,US
ORD-000031,2026/02/01,CUST-1031,Mechanical Keyboard RGB,1,42.97,US
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,3,25.6,US
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,1,23.76,US
ORD-000034,2026/02/04,CUST-1034,Mechanical Keyboard RGB,2,22.5,US
ORD-000035,2026/02/05,CUST-1035,Monitor Arm Dual,3,52.36,US
ORD-000036,2026/02/06,CUST-1036,Mechanical Keyboard RGB,2,58.8,US
ORD-000037,2026/02/07,CUST-1037,Mechanical Keyboard RGB,3,20.77,US
