order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,2,48.66,US
ORD-000002,2026/01/03,CUST-1002,Ergonomic Office Chair,3,61.77,US
ORD-000003,2026/01/04,CUST-1003,Ergonomic Office Chair,1,66.06,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,1,38.95,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,2,59.73,US
ORD-000006,2026/01/07,CUST-1006,Ergonomic Office Chair,2,47.48,US
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,3,44.67,US
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,1,76.51,US
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,1,42.42,US
ORD-000010,2026/01/11,CUST-1010,Ergonomic Office Chair,1,52.74,US
ORD-000011,2026/01/12,CUST-1011,Ergonomic Office Chair,3,24.84,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,3,35.42,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,2,67.03,US
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,2,70.2,US
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,1,65.3,US
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,2,22.39,US
ORD-000017,2026/01/18,CUST-1017,Mechanical Keyboard RGB,1,78.55,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,1,80.81,US
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,3,36.52,US
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,1,77.27,US
ORD-000021,2026/01/22,CUST-1021,Wireless Headphones Pro,3,34.93,US
ORD-000022,2026/01/23,CUST-1022,Ergonomic Office Chair,1,38.01,US
ORD-000023,2026/01/24,CUST-1023,Ergonomic Office Chair,2,59.15,US
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,2,24.5,US
ORD-000025,2026/01/26,CUST-1025,Ergonomic Office Chair,1,69.45,US
ORD-000026,2026/01/27,CUST-1026,Monitor Arm Dual,1,82.97,US
ORD-000027,2026/01/28,CUST-1027,Ergonomic Office Chair,2,20.6,US
ORD-000028,2026/01/29,CUST-1028,Ergonomic Office Chair,2,45.78,US
ORD-000029,2026/01/30,CUST-1029,Ergonomic Office Chair,1,69.45,US
ORD-000030,2026/01/31,CUST-1030,4K Webcam Pro,1,61.57,US
ORD-000031,2026/02/01,CUST-1031,Ergonomic Office Chair,1,41.89,US
ORD-000032,2026/02/02,CUST-1032,Wireless Charger Pad,2,31.41,US
ORD-000033,2026/02/03,CUST-1033,Ergonomic Office Chair,3,53.42,US
ORD-000034,2026/02/04,CUST-1034,Ergonomic Office Chair,1,75.01,US
ORD-000035,2026/02/05,CUST-1035,Ergonomic Office Chair,2,46.52,US
ORD-000036,2026/02/06,CUST-1036,Ergonomic Office Chair,2,33.36,US
ORD-000037,2026/02/07,CUST-1037,Ergonomic Office Chair,2,86.01,US
ORD-000038,2026/02/08,CUST-1038,Ergonomic Office Chair,3,41.62,US
ORD-000039,2026/02/09,CUST-1039,Wireless Charger Pad,2,31.92,US
ORD-000040,2026/02/10,CUST-1040,Ergonomic Office Chair,2,77.94,US
ORD-000041,2026/02/11,CUST-1041,Ergonomic Office Chair,1,64.96,US
ORD-000042,2026/02/12,CUST-1042,LED Desk Lamp,1,36.57,US
ORD-000043,2026/02/13,CUST-1043,Noise Cancelling Earbuds,1,71.7,US
ORD-000044,2026/02/14,CUST-1044,Ergonomic Office Chair,1,36.63,US
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,3,43.44,US
ORD-000046,2026/02/16,CUST-1046,Ergonomic Office Chair,2,25.1,US
ORD-000047,2026/02/17,CUST-1047,Ergonomic Office Chair,3,28.31,US
ORD-000048,2026/02/18,CUST-1048,Ergonomic Office Chair,2,56.5,US
ORD-000049,2026/02/19,CUST-1049,Ergonomic Office Chair,2,46.08,US
ORD-000050,2026/02/20,CUST-1050,Ergonomic Office Chair,3,64.27,US
ORD-000051,2026/02/21,CUST-1051,Ergonomic Office Chair,3,28.13,US
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,3,60.74,US
ORD-000053,2026/02/23,CUST-1053,Ergonomic Office Chair,2,24.21,US
ORD-000054,2026/02/24,CUST-1054,Ergonomic Office Chair,3,42.6,US
ORD-000055,2026/02/25,CUST-1055,Ergonomic Office Chair,2,33.54,US
ORD-000056,2026/02/26,CUST-1056,Ergonomic Office Chair,1,30.82,US
ORD-000057,2026/02/27,CUST-1057,Ergonomic Office Chair,1,38.09,US
ORD-000058,2026/02/28,CUST-1058,Ergonomic Office Chair,2,44.5,US
ORD-000059,2026/03/01,CUST-1059,Ergonomic Office Chair,2,38.72,US
ORD-000060,2026/03/02,CUST-1060,Wireless Headphones Pro,1,34.0,US
ORD-000061,2026/03/03,CUST-1061,Ergonomic Office Chair,1,23.2,US
ORD-000062,2026/03/04,CUST-1062,Air Purifier Small,2,27.12,US
ORD-000063,2026/03/05,CUST-1063,Wireless Charger Pad,3,39.28,US
ORD-000064,2026/03/06,CUST-1064,Running Shoes Elite,3,60.03,US
ORD-000065,2026/03/07,CUST-1065,Ergonomic Office Chair,1,44.76,US
ORD-000066,2026/03/08,CUST-1066,Ergonomic Office Chair,2,84.19,US
ORD-000067,2026/03/09,CUST-1067,Stainless Steel Water Bottle,2,51.39,US
ORD-000068,2026/03/10,CUST-1068,Ergonomic Office Chair,1,23.49,US
ORD-000069,2026/03/11,CUST-1069,Ergonomic Office Chair,1,23.12,US
ORD-000070,2026/03/12,CUST-1070,Wireless Headphones Pro,3,57.35,US
ORD-000071,2026/03/13,CUST-1071,Ergonomic Office Chair,2,74.13,US
ORD-000072,2026/03/14,CUST-1072,Ergonomic Office Chair,2,35.82,US
ORD-000073,2026/03/15,CUST-1073,Ergonomic Office Chair,1,84.81,US
ORD-000074,2026/03/16,CUST-1074,Running Shoes Elite,3,46.1,US
ORD-000075,2026/03/17,CUST-1075,Ergonomic Office Chair,1,75.68,US
