order_id,date,customer_id,product_name,quantity,price,country
ORD-0001,2026/01/01,CUST-1000,Yoga Mat,4,212.17,CA
ORD-0002,2026/01/02,CUST-1001,Desk Lamp,4,285.73,UK
ORD-0003,2026/01/03,CUST-1002,Phone Case,2,95.7,CA
ORD-0004,2026/01/04,CUST-1003,Wireless Headphones,3,181.41,JP
ORD-0005,2026/01/05,CUST-1004,Smart Watch,3,170.12,JP
ORD-0006,2026/01/06,CUST-1005,Yoga Mat,1,45.54,AU
ORD-0007,2026/01/07,CUST-1006,Bluetooth Speaker,1,207.45,DE
ORD-0008,2026/01/08,CUST-1007,Water Bottle,5,246.1,DE
ORD-0009,2026/01/09,CUST-1008,Coffee Maker,5,176.38,UK
ORD-0010,2026/01/10,CUST-1009,Running Shoes,5,206.29,AU
ORD-0011,2026/01/11,CUST-1010,Wireless Headphones,5,274.97,US
ORD-0012,2026/01/12,CUST-1011,Bluetooth Speaker,3,255.7,CA
ORD-0013,2026/01/13,CUST-1012,Smart Watch,1,51.64,UK
ORD-0014,2026/01/14,CUST-1013,Laptop Stand,1,106.27,UK
ORD-0015,2026/01/15,CUST-1014,Laptop Stand,2,171.99,US
ORD-0016,2026/01/16,CUST-1015,Wireless Headphones,2,265.95,AU
ORD-0017,2026/01/17,CUST-1016,Desk Lamp,5,216.31,AU
ORD-0018,2026/01/18,CUST-1017,Laptop Stand,2,49.8,JP
ORD-0019,2026/01/19,CUST-1018,Laptop Stand,2,225.08,UK
ORD-0020,2026/01/20,CUST-1019,Desk Lamp,2,108.0,AU
ORD-0021,2026/01/21,CUST-1020,Desk Lamp,2,176.82,JP
ORD-0022,2026/01/22,CUST-1021,Water Bottle,1,143.62,UK
ORD-0023,2026/01/23,CUST-1022,Desk Lamp,5,35.27,US
ORD-0024,2026/01/24,CUST-1023,Smart Watch,1,274.43,CA
ORD-0025,2026/01/25,CUST-1024,Wireless Headphones,3,234.46,DE
ORD-0026,2026/01/26,CUST-1025,Backpack,3,61.59,AU
ORD-0027,2026/01/27,CUST-1026,Sunglasses,5,258.72,UK
ORD-0028,2026/01/28,CUST-1027,Laptop Stand,2,38.35,DE
ORD-0029,2026/01/29,CUST-1028,Smart Watch,2,152.19,US
ORD-0030,2026/01/30,CUST-1029,Laptop Stand,1,162.0,UK
ORD-0031,2026/01/31,CUST-1030,Laptop Stand,4,156.71,UK
ORD-0032,2026/02/01,CUST-1031,Bluetooth Speaker,4,142.38,FR
ORD-0033,2026/02/02,CUST-1032,Bluetooth Speaker,1,114.16,JP
ORD-0034,2026/02/03,CUST-1033,Backpack,1,196.33,US
ORD-0035,2026/02/04,CUST-1034,Running Shoes,1,29.6,US
ORD-0036,2026/02/05,CUST-1035,Running Shoes,4,139.17,UK
ORD-0037,2026/02/06,CUST-1036,Phone Case,4,105.55,FR
ORD-0038,2026/02/07,CUST-1037,Phone Case,4,138.49,UK
ORD-0039,2026/02/08,CUST-1038,Phone Case,5,35.5,JP
ORD-0040,2026/02/09,CUST-1039,Sunglasses,2,93.47,CA
ORD-0041,2026/02/10,CUST-1040,Bluetooth Speaker,5,74.58,CA
ORD-0042,2026/02/11,CUST-1041,Yoga Mat,2,118.39,US
ORD-0043,2026/02/12,CUST-1042,Coffee Maker,4,225.97,JP
ORD-0044,2026/02/13,CUST-1043,Yoga Mat,1,175.46,CA
ORD-0045,2026/02/14,CUST-1044,Laptop Stand,1,219.79,FR
ORD-0046,2026/02/15,CUST-1045,Yoga Mat,5,196.5,UK
ORD-0047,2026/02/16,CUST-1046,Coffee Maker,2,146.63,AU
ORD-0048,2026/02/17,CUST-1047,Bluetooth Speaker,1,261.77,FR
ORD-0049,2026/02/18,CUST-1048,Coffee Maker,5,160.51,US
ORD-0050,2026/02/19,CUST-1049,Sunglasses,4,102.15,UK
ORD-0051,2026/02/20,CUST-1000,Laptop Stand,3,174.42,UK
ORD-0052,2026/02/21,CUST-1001,Yoga Mat,1,29.19,AU
ORD-0053,2026/02/22,CUST-1002,Phone Case,4,223.81,FR
ORD-0054,2026/02/23,CUST-1003,Water Bottle,1,272.57,UK
ORD-0055,2026/02/24,CUST-1004,Phone Case,1,214.99,DE
ORD-0056,2026/02/25,CUST-1005,Water Bottle,5,286.57,AU
ORD-0057,2026/02/26,CUST-1006,Phone Case,4,53.38,DE
ORD-0058,2026/02/27,CUST-1007,Laptop Stand,4,32.49,UK
ORD-0059,2026/02/28,CUST-1008,Phone Case,2,172.06,US
ORD-0060,2026/03/01,CUST-1009,Desk Lamp,1,93.24,AU
ORD-0061,2026/03/02,CUST-1010,Smart Watch,4,182.99,UK
ORD-0062,2026/03/03,CUST-1011,Water Bottle,5,118.81,DE
ORD-0063,2026/03/04,CUST-1012,Desk Lamp,5,108.84,FR
ORD-0064,2026/03/05,CUST-1013,Backpack,1,70.04,US
ORD-0065,2026/03/06,CUST-1014,Phone Case,1,177.38,AU
ORD-0066,2026/03/07,CUST-1015,Smart Watch,1,266.56,AU
ORD-0067,2026/03/08,CUST-1016,Laptop Stand,1,146.59,DE
ORD-0068,2026/03/09,CUST-1017,Sunglasses,4,122.59,JP
ORD-0069,2026/03/10,CUST-1018,Yoga Mat,3,180.24,CA
ORD-0070,2026/03/11,CUST-1019,Phone Case,2,43.61,CA
ORD-0071,2026/03/12,CUST-1020,Yoga Mat,1,90.51,AU
ORD-0072,2026/03/13,CUST-1021,Wireless Headphones,3,248.65,UK
ORD-0073,2026/03/14,CUST-1022,Phone Case,3,65.66,FR
ORD-0074,2026/03/15,CUST-1023,Yoga Mat,3,209.47,DE
ORD-0075,2026/03/16,CUST-1024,Yoga Mat,3,245.34,AU
ORD-0076,2026/03/17,CUST-1025,Phone Case,4,47.22,US
ORD-0077,2026/03/18,CUST-1026,Laptop Stand,5,172.18,DE
ORD-0078,2026/03/19,CUST-1027,Bluetooth Speaker,4,225.21,DE
ORD-0079,2026/03/20,CUST-1028,Smart Watch,5,137.12,JP
ORD-0080,2026/03/21,CUST-1029,Coffee Maker,4,192.05,DE
ORD-0081,2026/03/22,CUST-1030,Running Shoes,5,121.81,JP
ORD-0082,2026/03/23,CUST-1031,Phone Case,1,140.2,US
ORD-0083,2026/03/24,CUST-1032,Coffee Maker,3,161.99,FR
ORD-0084,2026/03/25,CUST-1033,Laptop Stand,3,82.56,UK
ORD-0085,2026/03/26,CUST-1034,Desk Lamp,2,26.63,UK
ORD-0086,2026/03/27,CUST-1035,Bluetooth Speaker,1,169.24,FR
ORD-0087,2026/03/28,CUST-1036,Coffee Maker,4,61.2,JP
ORD-0088,2026/03/29,CUST-1037,Bluetooth Speaker,5,263.71,DE
ORD-0089,2026/03/30,CUST-1038,Running Shoes,5,285.43,JP
ORD-0090,2026/03/31,CUST-1039,Backpack,5,117.51,JP
ORD-0091,2026/04/01,CUST-1040,Laptop Stand,5,81.15,US
ORD-0092,2026/04/02,CUST-1041,Sunglasses,4,121.03,AU
ORD-0093,2026/04/03,CUST-1042,Wireless Headphones,1,171.57,AU
ORD-0094,2026/04/04,CUST-1043,Water Bottle,1,15.36,AU
ORD-0095,2026/04/05,CUST-1044,Sunglasses,1,24.06,JP
ORD-0096,2026/04/06,CUST-1045,Desk Lamp,2,141.91,UK
ORD-0097,2026/04/07,CUST-1046,Running Shoes,4,250.15,FR
ORD-0098,2026/04/08,CUST-1047,Desk Lamp,2,218.75,US
ORD-0099,2026/04/09,CUST-1048,Backpack,4,190.09,CA
