ORD-000001,2026/01/02,CUST-1001,Organic Cotton T-Shirt,2,37.85,US
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,2,0.0,US
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,1,0.0,US
ORD-000004,2026/01/05,CUST-1004,Smart Watch Series 5,2,78.99,US
ORD-000005,2026/01/06,CUST-1005,LED Desk Lamp,2,82.21,US
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,1,96.49,US
ORD-000007,2026/01/08,CUST-1007,Wireless Charger Pad,1,36.77,US
ORD-000008,2026/01/09,CUST-1008,Noise Cancelling Earbuds,1,0.0,US
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,1,50.67,US
ORD-000010,2026/01/11,CUST-1010,Wireless Headphones Pro,2,71.69,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,2,37.5,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,2,59.57,US
ORD-000013,2026/01/14,CUST-1013,Noise Cancelling Earbuds,1,56.24,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,2,0.0,US
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,1,0.0,US
ORD-000016,2026/01/17,CUST-1016,Smart Watch Series 5,1,53.0,US
ORD-000017,2026/01/18,CUST-1017,Mechanical Keyboard RGB,2,0.0,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,2,87.97,US
ORD-000019,2026/01/20,CUST-1019,Standing Desk Converter,2,48.74,US
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,1,38.52,US
ORD-000021,2026/01/22,CUST-1021,Yoga Mat Premium,2,0.0,US
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,1,0.0,US
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,1,91.12,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,2,56.84,US
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,2,0.0,US
ORD-000026,2026/01/27,CUST-1026,Stainless Steel Water Bottle,1,49.23,US
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,1,58.45,US
ORD-000028,2026/01/29,CUST-1028,Ergonomic Office Chair,2,0.0,US
ORD-000029,2026/01/30,CUST-1029,Running Shoes Elite,1,98.79,US
ORD-000030,2026/01/31,CUST-1030,Wireless Headphones Pro,1,74.34,US
ORD-000031,2026/02/01,CUST-1031,Wireless Charger Pad,2,79.05,US
ORD-000032,2026/02/02,CUST-1032,Running Shoes Elite,1,86.47,US
ORD-000033,2026/02/03,CUST-1033,Monitor Arm Dual,2,98.92,US
ORD-000034,2026/02/04,CUST-1034,External SSD 1TB,1,52.49,US
ORD-000035,2026/02/05,CUST-1035,Noise Cancelling Earbuds,1,0.0,US
ORD-000036,2026/02/06,CUST-1036,Wireless Headphones Pro,2,89.96,US
ORD-000037,2026/02/07,CUST-1037,Standing Desk Converter,2,0.0,US
ORD-000038,2026/02/08,CUST-1038,Organic Cotton T-Shirt,2,48.2,US
ORD-000039,2026/02/09,CUST-1039,Standing Desk Converter,1,55.8,US
ORD-000040,2026/02/10,CUST-1040,Wireless Charger Pad,2,62.13,US
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,1,82.26,US
ORD-000042,2026/02/12,CUST-1042,Wireless Mouse Silent,1,35.24,US
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,1,30.33,US
ORD-000044,2026/02/14,CUST-1044,Stainless Steel Water Bottle,1,96.69,US
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,1,84.78,US
ORD-000046,2026/02/16,CUST-1046,Wireless Mouse Silent,1,0.0,US
ORD-000047,2026/02/17,CUST-1047,Stainless Steel Water Bottle,1,52.88,US
ORD-000048,2026/02/18,CUST-1048,Ergonomic Office Chair,2,70.89,US
ORD-000049,2026/02/19,CUST-1049,Organic Cotton T-Shirt,1,33.02,US
ORD-000050,2026/02/20,CUST-1050,Noise Cancelling Earbuds,2,0.0,US
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,2,43.38,US
ORD-000052,2026/02/22,CUST-1052,Yoga Mat Premium,1,0.0,US
ORD-000053,2026/02/23,CUST-1053,Stainless Steel Water Bottle,1,0.0,US
ORD-000054,2026/02/24,CUST-1054,External SSD 1TB,2,73.91,US
ORD-000055,2026/02/25,CUST-1055,Noise Cancelling Earbuds,2,0.0,US
ORD-000056,2026/02/26,CUST-1056,Monitor Arm Dual,2,0.0,US
ORD-000057,2026/02/27,CUST-1057,Leather Wallet Classic,1,75.73,US
ORD-000058,2026/02/28,CUST-1058,Air Purifier Small,2,80.55,US
ORD-000059,2026/03/01,CUST-1059,Monitor Arm Dual,1,88.73,US
ORD-000060,2026/03/02,CUST-1060,Noise Cancelling Earbuds,1,91.6,US
ORD-000061,2026/03/03,CUST-1061,Mechanical Keyboard RGB,1,0.0,US
ORD-000062,2026/03/04,CUST-1062,Monitor Arm Dual,1,81.15,US
ORD-000063,2026/03/05,CUST-1063,Yoga Mat Premium,1,44.11,US
ORD-000064,2026/03/06,CUST-1064,External SSD 1TB,1,37.36,US
ORD-000065,2026/03/07,CUST-1065,Organic Cotton T-Shirt,2,0.0,US
ORD-000066,2026/03/08,CUST-1066,Wireless Charger Pad,1,72.04,US
ORD-000067,2026/03/09,CUST-1067,Smart Watch Series 5,1,0.0,US
ORD-000068,2026/03/10,CUST-1068,Mechanical Keyboard RGB,1,0.0,US
ORD-000069,2026/03/11,CUST-1069,Monitor Arm Dual,2,34.79,US
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,2,33.92,US
ORD-000071,2026/03/13,CUST-1071,Noise Cancelling Earbuds,1,73.74,US
ORD-000072,2026/03/14,CUST-1072,Organic Cotton T-Shirt,1,58.28,US
ORD-000073,2026/03/15,CUST-1073,Wireless Mouse Silent,2,63.46,US
ORD-000074,2026/03/16,CUST-1074,External SSD 1TB,1,0.0,US
ORD-000075,2026/03/17,CUST-1075,4K Webcam Pro,2,0.0,US
ORD-000076,2026/03/18,CUST-1076,Ergonomic Office Chair,1,78.88,US
ORD-000077,2026/03/19,CUST-1077,Smart Watch Series 5,1,94.73,US
ORD-000078,2026/03/20,CUST-1078,Standing Desk Converter,2,0.0,US
ORD-000079,2026/03/21,CUST-1079,Noise Cancelling Earbuds,2,43.68,US
ORD-000080,2026/03/22,CUST-1080,Running Shoes Elite,2,79.7,US
ORD-000081,2026/03/23,CUST-1081,LED Desk Lamp,2,35.15,US
ORD-000082,2026/03/24,CUST-1082,Noise Cancelling Earbuds,1,89.41,US
ORD-000083,2026/03/25,CUST-1083,Wireless Headphones Pro,2,65.67,US
ORD-000084,2026/03/26,CUST-1084,Leather Wallet Classic,1,0.0,US
ORD-000085,2026/03/27,CUST-1085,Bluetooth Speaker Mini,2,42.95,US
ORD-000086,2026/03/28,CUST-1086,Bluetooth Speaker Mini,2,52.99,US
ORD-000087,2026/03/29,CUST-1087,Wireless Charger Pad,2,72.18,US
ORD-000088,2026/03/30,CUST-1088,External SSD 1TB,2,66.86,US
ORD-000089,2026/03/31,CUST-1089,Stainless Steel Water Bottle,2,0.0,US
ORD-000090,2026/04/01,CUST-1090,Bluetooth Speaker Mini,2,0.0,US
ORD-000091,2026/04/02,CUST-1091,4K Webcam Pro,2,98.22,US
ORD-000092,2026/04/03,CUST-1092,Smart Watch Series 5,1,0.0,US
ORD-000093,2026/04/04,CUST-1093,Standing Desk Converter,2,0.0,US
