order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,2,45.33,US
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,1,66.7,US
ORD-000003,2026/01/04,CUST-1003,Wireless Headphones Pro,1,47.61,US
ORD-000004,2026/01/05,CUST-1004,Yoga Mat Premium,1,50.88,US
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,2,0.0,US
ORD-000006,2026/01/07,CUST-1006,Stainless Steel Water Bottle,1,62.02,US
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,2,90.06,US
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,1,77.08,US
ORD-000009,2026/01/10,CUST-1009,Organic Cotton T-Shirt,2,0.0,US
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,1,31.49,US
ORD-000011,2026/01/12,CUST-1011,Mechanical Keyboard RGB,2,89.28,US
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,2,81.31,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,2,63.97,US
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,1,0.0,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,2,0.0,US
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,2,0.0,US
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,2,60.75,US
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,2,77.39,US
ORD-000019,2026/01/20,CUST-1019,Portable Power Bank,2,74.99,US
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,2,45.69,US
ORD-000021,2026/01/22,CUST-1021,Wireless Mouse Silent,2,0.0,US
ORD-000022,2026/01/23,CUST-1022,Wireless Charger Pad,2,75.27,US
ORD-000023,2026/01/24,CUST-1023,Portable Power Bank,2,42.38,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,2,60.49,US
ORD-000025,2026/01/26,CUST-1025,4K Webcam Pro,1,35.37,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,1,0.0,US
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,2,84.73,US
ORD-000028,2026/01/29,CUST-1028,4K Webcam Pro,2,0.0,US
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,1,74.3,US
ORD-000030,2026/01/31,CUST-1030,External SSD 1TB,1,89.92,US
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,2,34.44,US
ORD-000032,2026/02/02,CUST-1032,Ergonomic Office Chair,1,0.0,US
ORD-000033,2026/02/03,CUST-1033,Organic Cotton T-Shirt,1,57.23,US
ORD-000034,2026/02/04,CUST-1034,Noise Cancelling Earbuds,1,95.51,US
ORD-000035,2026/02/05,CUST-1035,Bluetooth Speaker Mini,2,52.53,US
ORD-000036,2026/02/06,CUST-1036,Yoga Mat Premium,2,64.35,US
ORD-000037,2026/02/07,CUST-1037,4K Webcam Pro,2,68.97,US
ORD-000038,2026/02/08,CUST-1038,Portable Power Bank,1,54.13,US
ORD-000039,2026/02/09,CUST-1039,External SSD 1TB,2,0.0,US
ORD-000040,2026/02/10,CUST-1040,Running Shoes Elite,1,0.0,US
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,1,70.52,US
ORD-000042,2026/02/12,CUST-1042,Running Shoes Elite,1,43.33,US
ORD-000043,2026/02/13,CUST-1043,Portable Power Bank,2,99.79,US
ORD-000044,2026/02/14,CUST-1044,Leather Wallet Classic,1,91.02,US
ORD-000045,2026/02/15,CUST-1045,Noise Cancelling Earbuds,1,0.0,US
ORD-000046,2026/02/16,CUST-1046,Wireless Headphones Pro,1,71.54,US
ORD-000047,2026/02/17,CUST-1047,Wireless Charger Pad,1,80.23,US
ORD-000048,2026/02/18,CUST-1048,Wireless Mouse Silent,2,0.0,US
ORD-000049,2026/02/19,CUST-1049,External SSD 1TB,1,40.27,US
ORD-000050,2026/02/20,CUST-1050,Stainless Steel Water Bottle,2,64.72,US
ORD-000051,2026/02/21,CUST-1051,Air Purifier Small,2,60.13,US
ORD-000052,2026/02/22,CUST-1052,Standing Desk Converter,2,39.74,US
ORD-000053,2026/02/23,CUST-1053,Wireless Headphones Pro,2,99.03,US
ORD-000054,2026/02/24,CUST-1054,Noise Cancelling Earbuds,1,38.41,US
ORD-000055,2026/02/25,CUST-1055,Ergonomic Office Chair,2,92.4,US
ORD-000056,2026/02/26,CUST-1056,Standing Desk Converter,1,0.0,US
ORD-000057,2026/02/27,CUST-1057,4K Webcam Pro,1,71.15,US
ORD-000058,2026/02/28,CUST-1058,Air Purifier Small,2,0.0,US
ORD-000059,2026/03/01,CUST-1059,Portable Power Bank,1,0.0,US
ORD-000060,2026/03/02,CUST-1060,External SSD 1TB,1,73.76,US
ORD-000061,2026/03/03,CUST-1061,Noise Cancelling Earbuds,1,31.33,US
ORD-000062,2026/03/04,CUST-1062,LED Desk Lamp,1,0.0,US
ORD-000063,2026/03/05,CUST-1063,Portable Power Bank,2,38.57,US
ORD-000064,2026/03/06,CUST-1064,Wireless Headphones Pro,2,36.47,US
ORD-000065,2026/03/07,CUST-1065,LED Desk Lamp,2,75.81,US
ORD-000066,2026/03/08,CUST-1066,Leather Wallet Classic,1,73.99,US
ORD-000067,2026/03/09,CUST-1067,Smart Watch Series 5,2,98.94,US
ORD-000068,2026/03/10,CUST-1068,4K Webcam Pro,2,68.38,US
ORD-000069,2026/03/11,CUST-1069,Ergonomic Office Chair,2,93.85,US
ORD-000070,2026/03/12,CUST-1070,Monitor Arm Dual,2,72.43,US
ORD-000071,2026/03/13,CUST-1071,Mechanical Keyboard RGB,2,0.0,US
ORD-000072,2026/03/14,CUST-1072,Mechanical Keyboard RGB,1,80.42,US
ORD-000073,2026/03/15,CUST-1073,Wireless Charger Pad,1,36.18,US
ORD-000074,2026/03/16,CUST-1074,Smart Watch Series 5,2,95.79,US
ORD-000075,2026/03/17,CUST-1075,Yoga Mat Premium,1,90.28,US
ORD-000076,2026/03/18,CUST-1076,4K Webcam Pro,2,56.49,US
ORD-000077,2026/03/19,CUST-1077,Portable Power Bank,1,0.0,US
ORD-000078,2026/03/20,CUST-1078,Smart Watch Series 5,2,51.18,US
ORD-000079,2026/03/21,CUST-1079,Stainless Steel Water Bottle,2,64.53,US
ORD-000080,2026/03/22,CUST-1080,Organic Cotton T-Shirt,1,69.82,US
ORD-000081,2026/03/23,CUST-1081,4K Webcam Pro,2,0.0,US
ORD-000082,2026/03/24,CUST-1082,Air Purifier Small,1,62.67,US
