order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Charger Pad,2,66.55,CA
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,5,182.68,FR
ORD-000003,2026/01/04,CUST-1003,4K Webcam Pro,4,129.36,CA
ORD-000004,2026/01/05,CUST-1004,Smart Watch Series 5,1,133.55,FR
ORD-000005,2026/01/06,CUST-1005,Wireless Headphones Pro,2,73.25,CA
ORD-000006,2026/01/07,CUST-1006,Ergonomic Office Chair,1,157.66,AU
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,1,206.94,UK
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,3,127.67,JP
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,4,135.21,CN
ORD-000010,2026/01/11,CUST-1010,Portable Power Bank,4,104.24,FR
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,1,176.72,US
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,5,249.89,FR
ORD-000013,2026/01/14,CUST-1013,LED Desk Lamp,4,290.99,AU
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,3,178.68,FR
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,4,167.94,BR
ORD-000016,2026/01/17,CUST-1016,Smart Watch Series 5,3,164.39,FR
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,5,227.74,IN
ORD-000018,2026/01/19,CUST-1018,Smart Watch Series 5,5,204.54,IN
ORD-000019,2026/01/20,CUST-1019,Mechanical Keyboard RGB,5,197.1,UK
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,2,41.6,DE
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,2,192.36,IN
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,4,206.18,UK
ORD-000023,2026/01/24,CUST-1023,Air Purifier Small,2,184.55,CA
ORD-000024,2026/01/25,CUST-1024,Wireless Mouse Silent,4,34.84,FR
