order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,1,33.55,US
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,2,24.11,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,3,33.63,US
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,2,55.84,US
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,2,67.22,US
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,1,58.43,US
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,3,57.76,US
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,3,32.18,US
ORD-000009,2026/01/10,CUST-1009,Organic Cotton T-Shirt,1,40.72,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,2,33.89,US
ORD-000011,2026/01/12,CUST-1011,Standing Desk Converter,3,68.78,US
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,1,63.04,US
ORD-000013,2026/01/14,CUST-1013,Organic Cotton T-Shirt,2,50.51,US
ORD-000014,2026/01/15,CUST-1014,Portable Power Bank,3,38.07,US
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,1,61.55,US
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,2,23.11,US
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,1,23.61,US
ORD-000018,2026/01/19,CUST-1018,Wireless Mouse Silent,1,27.9,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,3,55.81,US
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,3,87.34,US
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,2,22.78,US
ORD-000022,2026/01/23,CUST-1022,Organic Cotton T-Shirt,1,64.69,US
ORD-000023,2026/01/24,CUST-1023,Wireless Charger Pad,3,61.04,US
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,3,74.74,US
ORD-000025,2026/01/26,CUST-1025,Organic Cotton T-Shirt,3,37.13,US
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,2,34.8,US
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,2,73.12,US
ORD-000028,2026/01/29,CUST-1028,Organic Cotton T-Shirt,1,49.21,US
ORD-000029,2026/01/30,CUST-1029,Bluetooth Speaker Mini,2,89.83,US
ORD-000030,2026/01/31,CUST-1030,Organic Cotton T-Shirt,3,55.7,US
ORD-000031,2026/02/01,CUST-1031,Bluetooth Speaker Mini,3,69.02,US
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,1,63.21,US
ORD-000033,2026/02/03,CUST-1033,Organic Cotton T-Shirt,3,83.48,US
ORD-000034,2026/02/04,CUST-1034,Wireless Charger Pad,1,67.72,US
ORD-000035,2026/02/05,CUST-1035,Organic Cotton T-Shirt,3,50.69,US
ORD-000036,2026/02/06,CUST-1036,Yoga Mat Premium,3,31.19,US
ORD-000037,2026/02/07,CUST-1037,Organic Cotton T-Shirt,1,87.53,US
ORD-000038,2026/02/08,CUST-1038,Organic Cotton T-Shirt,1,34.36,US
ORD-000039,2026/02/09,CUST-1039,Organic Cotton T-Shirt,1,77.67,US
ORD-000040,2026/02/10,CUST-1040,Organic Cotton T-Shirt,3,59.41,US
ORD-000041,2026/02/11,CUST-1041,Organic Cotton T-Shirt,1,64.38,US
ORD-000042,2026/02/12,CUST-1042,Smart Watch Series 5,2,40.01,US
ORD-000043,2026/02/13,CUST-1043,Portable Power Bank,1,77.52,US
ORD-000044,2026/02/14,CUST-1044,Organic Cotton T-Shirt,3,59.47,US
ORD-000045,2026/02/15,CUST-1045,Organic Cotton T-Shirt,3,85.92,US
ORD-000046,2026/02/16,CUST-1046,Organic Cotton T-Shirt,1,53.9,US
ORD-000047,2026/02/17,CUST-1047,Organic Cotton T-Shirt,2,43.39,US
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,2,40.85,US
ORD-000049,2026/02/19,CUST-1049,Organic Cotton T-Shirt,1,86.26,US
ORD-000050,2026/02/20,CUST-1050,Standing Desk Converter,3,79.15,US
ORD-000051,2026/02/21,CUST-1051,Organic Cotton T-Shirt,3,45.1,US
ORD-000052,2026/02/22,CUST-1052,Wireless Headphones Pro,2,80.09,US
ORD-000053,2026/02/23,CUST-1053,Organic Cotton T-Shirt,3,67.94,US
ORD-000054,2026/02/24,CUST-1054,Organic Cotton T-Shirt,3,30.92,US
ORD-000055,2026/02/25,CUST-1055,Organic Cotton T-Shirt,3,44.93,US
ORD-000056,2026/02/26,CUST-1056,Organic Cotton T-Shirt,2,53.66,US
ORD-000057,2026/02/27,CUST-1057,Organic Cotton T-Shirt,3,78.24,US
ORD-000058,2026/02/28,CUST-1058,Organic Cotton T-Shirt,1,61.86,US
ORD-000059,2026/03/01,CUST-1059,4K Webcam Pro,1,40.63,US
ORD-000060,2026/03/02,CUST-1060,Organic Cotton T-Shirt,1,80.13,US
ORD-000061,2026/03/03,CUST-1061,Leather Wallet Classic,2,31.65,US
ORD-000062,2026/03/04,CUST-1062,Organic Cotton T-Shirt,1,48.57,US
ORD-000063,2026/03/05,CUST-1063,Wireless Headphones Pro,2,68.2,US
ORD-000064,2026/03/06,CUST-1064,Wireless Mouse Silent,1,85.52,US
ORD-000065,2026/03/07,CUST-1065,Organic Cotton T-Shirt,1,34.86,US
ORD-000066,2026/03/08,CUST-1066,Organic Cotton T-Shirt,3,81.97,US
ORD-000067,2026/03/09,CUST-1067,Organic Cotton T-Shirt,2,20.41,US
ORD-000068,2026/03/10,CUST-1068,Organic Cotton T-Shirt,2,66.34,US
ORD-000069,2026/03/11,CUST-1069,Organic Cotton T-Shirt,3,41.15,US
ORD-000070,2026/03/12,CUST-1070,Air Purifier Small,2,60.43,US
ORD-000071,2026/03/13,CUST-1071,Running Shoes Elite,3,83.2,US
ORD-000072,2026/03/14,CUST-1072,Ergonomic Office Chair,2,40.97,US
ORD-000073,2026/03/15,CUST-1073,Organic Cotton T-Shirt,1,29.59,US
ORD-000074,2026/03/16,CUST-1074,Running Shoes Elite,2,51.05,US
ORD-000075,2026/03/17,CUST-1075,Organic Cotton T-Shirt,2,87.84,US
ORD-000076,2026/03/18,CUST-1076,Organic Cotton T-Shirt,1,80.11,US
ORD-000077,2026/03/19,CUST-1077,Smart Watch Series 5,2,43.97,US
ORD-000078,2026/03/20,CUST-1078,Organic Cotton T-Shirt,1,66.58,US
ORD-000079,2026/03/21,CUST-1079,Organic Cotton T-Shirt,2,23.85,US
ORD-000080,2026/03/22,CUST-1080,Leather Wallet Classic,3,68.07,US
ORD-000081,2026/03/23,CUST-1081,Organic Cotton T-Shirt,3,50.11,US
ORD-000082,2026/03/24,CUST-1082,Portable Power Bank,1,72.45,US
ORD-000083,2026/03/25,CUST-1083,Organic Cotton T-Shirt,1,86.27,US
ORD-000084,2026/03/26,CUST-1084,Organic Cotton T-Shirt,1,33.55,US
ORD-000085,2026/03/27,CUST-1085,Wireless Mouse Silent,3,41.49,US
ORD-000086,2026/03/28,CUST-1086,Organic Cotton T-Shirt,1,30.62,US
ORD-000087,2026/03/29,CUST-1087,Organic Cotton T-Shirt,3,65.96,US
ORD-000088,2026/03/30,CUST-1088,Organic Cotton T-Shirt,1,52.33,US
ORD-000089,2026/03/31,CUST-1089,Organic Cotton T-Shirt,3,74.37,US
ORD-000090,2026/04/01,CUST-1090,Organic Cotton T-Shirt,1,51.46,US
ORD-000091,2026/04/02,CUST-1091,Organic Cotton T-Shirt,1,76.8,US
ORD-000092,2026/04/03,CUST-1092,Organic Cotton T-Shirt,2,76.14,US
ORD-000093,2026/04/04,CUST-1093,Organic Cotton T-Shirt,2,32.23,US
