ORD-000001,2026/01/02,CUST-1001,Wireless Headphones Pro,4,56.21,CA
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,4,298.09,US
ORD-000003,2026/01/04,CUST-1003,Standing Desk Converter,5,30.26,UK
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,1,159.64,DE
ORD-000005,2026/01/06,CUST-1005,Stainless Steel Water Bottle,5,65.48,US
ORD-000006,2026/01/07,CUST-1006,Portable Power Bank,2,63.35,UK
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,4,159.25,BR
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,2,267.15,CA
ORD-000009,2026/01/10,CUST-1009,Smart Watch Series 5,1,60.86,DE
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,2,297.52,CN
ORD-000011,2026/01/12,CUST-1011,4K Webcam Pro,3,78.22,UK
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,2,101.71,BR
ORD-000013,2026/01/14,CUST-1013,Monitor Arm Dual,4,188.95,CN
ORD-000014,2026/01/15,CUST-1014,Organic Cotton T-Shirt,3,149.35,UK
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,3,254.15,FR
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,4,152.98,CN
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,3,69.03,DE
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,5,273.72,UK
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,74.68,DE
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,4,98.46,DE
ORD-000021,2026/01/22,CUST-1021,Mechanical Keyboard RGB,3,119.47,BR
ORD-000022,2026/01/23,CUST-1022,Ergonomic Office Chair,3,234.1,BR
ORD-000023,2026/01/24,CUST-1023,Wireless Mouse Silent,4,263.21,CN
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,2,76.5,AU
ORD-000025,2026/01/26,CUST-1025,Noise Cancelling Earbuds,1,106.94,CN
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,2,183.22,CN
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,5,61.84,CA
ORD-000028,2026/01/29,CUST-1028,Standing Desk Converter,4,31.85,AU
ORD-000029,2026/01/30,CUST-1029,Wireless Charger Pad,2,34.56,BR
ORD-000030,2026/01/31,CUST-1030,Smart Watch Series 5,2,147.46,BR
ORD-000031,2026/02/01,CUST-1031,Portable Power Bank,3,291.26,FR
ORD-000032,2026/02/02,CUST-1032,External SSD 1TB,3,220.93,CA
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,1,187.35,JP
ORD-000034,2026/02/04,CUST-1034,Stainless Steel Water Bottle,3,59.04,US
ORD-000035,2026/02/05,CUST-1035,Organic Cotton T-Shirt,3,211.59,FR
ORD-000036,2026/02/06,CUST-1036,Standing Desk Converter,5,66.08,CN
ORD-000037,2026/02/07,CUST-1037,Stainless Steel Water Bottle,3,250.84,UK
ORD-000038,2026/02/08,CUST-1038,Yoga Mat Premium,1,230.95,DE
ORD-000039,2026/02/09,CUST-1039,Ergonomic Office Chair,2,250.31,CN
ORD-000040,2026/02/10,CUST-1040,Wireless Mouse Silent,5,115.31,AU
ORD-000041,2026/02/11,CUST-1041,External SSD 1TB,1,238.83,CN
ORD-000042,2026/02/12,CUST-1042,Smart Watch Series 5,2,69.25,AU
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,5,142.36,UK
ORD-000044,2026/02/14,CUST-1044,Ergonomic Office Chair,3,237.7,FR
ORD-000045,2026/02/15,CUST-1045,Organic Cotton T-Shirt,1,138.14,US
ORD-000046,2026/02/16,CUST-1046,Portable Power Bank,1,288.4,CN
ORD-000047,2026/02/17,CUST-1047,Ergonomic Office Chair,1,288.14,JP
ORD-000048,2026/02/18,CUST-1048,Bluetooth Speaker Mini,3,250.63,UK
ORD-000049,2026/02/19,CUST-1049,Wireless Headphones Pro,1,140.64,BR
ORD-000050,2026/02/20,CUST-1050,Wireless Headphones Pro,2,192.88,BR
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,3,220.09,AU
ORD-000052,2026/02/22,CUST-1052,Organic Cotton T-Shirt,2,204.51,JP
ORD-000053,2026/02/23,CUST-1053,Smart Watch Series 5,5,211.11,JP
ORD-000054,2026/02/24,CUST-1054,External SSD 1TB,4,195.77,DE
ORD-000055,2026/02/25,CUST-1055,External SSD 1TB,5,178.81,UK
ORD-000056,2026/02/26,CUST-1056,Wireless Mouse Silent,1,272.34,DE
ORD-000057,2026/02/27,CUST-1057,Wireless Mouse Silent,1,145.96,FR
ORD-000058,2026/02/28,CUST-1058,External SSD 1TB,5,163.36,JP
ORD-000059,2026/03/01,CUST-1059,Portable Power Bank,4,159.59,FR
ORD-000060,2026/03/02,CUST-1060,Running Shoes Elite,4,265.0,CA
ORD-000061,2026/03/03,CUST-1061,Ergonomic Office Chair,4,153.34,JP
ORD-000062,2026/03/04,CUST-1062,Organic Cotton T-Shirt,1,88.6,IN
