order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Item & amp,1,45.2,US
ORD-000002,2026/01/03,CUST-1002,Product @ at,2,28.03,US
ORD-000003,2026/01/04,CUST-1003,Product @ at,1,54.26,US
ORD-000004,2026/01/05,CUST-1004,Item & amp,1,51.96,US
ORD-000005,2026/01/06,CUST-1005,Item $ dollar,2,22.51,US
ORD-000006,2026/01/07,CUST-1006,Item $ dollar,2,25.38,US
ORD-000007,2026/01/08,CUST-1007,Item & amp,2,52.44,US
ORD-000008,2026/01/09,CUST-1008,Product @ at,1,55.06,US
ORD-000009,2026/01/10,CUST-1009,Product | pipe,2,39.54,US
ORD-000010,2026/01/11,CUST-1010,Product = equal,2,49.91,US
ORD-000011,2026/01/12,CUST-1011,Product @ at,1,32.3,US
ORD-000012,2026/01/13,CUST-1012,Product = equal,2,56.58,US
ORD-000013,2026/01/14,CUST-1013,Item # hash,2,63.37,US
ORD-000014,2026/01/15,CUST-1014,Product @ at,1,32.41,US
ORD-000015,2026/01/16,CUST-1015,Item # hash,2,20.01,US
ORD-000016,2026/01/17,CUST-1016,Item $ dollar,2,48.72,US
ORD-000017,2026/01/18,CUST-1017,Product = equal,1,52.6,US
ORD-000018,2026/01/19,CUST-1018,Product = equal,2,39.09,US
ORD-000019,2026/01/20,CUST-1019,Item $ dollar,2,31.14,US
ORD-000020,2026/01/21,CUST-1020,Product % percent,2,21.77,US
ORD-000021,2026/01/22,CUST-1021,Product = equal,1,68.88,US
ORD-000022,2026/01/23,CUST-1022,Item & amp,1,52.85,US
ORD-000023,2026/01/24,CUST-1023,Product | pipe,1,43.97,US
ORD-000024,2026/01/25,CUST-1024,Item $ dollar,1,25.73,US
ORD-000025,2026/01/26,CUST-1025,Product @ at,1,51.78,US
ORD-000026,2026/01/27,CUST-1026,Item # hash,1,23.4,US
ORD-000027,2026/01/28,CUST-1027,Item # hash,2,25.06,US
ORD-000028,2026/01/29,CUST-1028,Item # hash,1,28.66,US
ORD-000029,2026/01/30,CUST-1029,Product | pipe,2,23.92,US
ORD-000030,2026/01/31,CUST-1030,Item & amp,1,61.79,US
ORD-000031,2026/02/01,CUST-1031,Item $ dollar,2,65.44,US
ORD-000032,2026/02/02,CUST-1032,Product = equal,1,45.33,US
ORD-000033,2026/02/03,CUST-1033,Product @ at,2,53.34,US
ORD-000034,2026/02/04,CUST-1034,Product @ at,1,62.24,US
ORD-000035,2026/02/05,CUST-1035,Item & amp,2,59.51,US
ORD-000036,2026/02/06,CUST-1036,Product @ at,2,42.14,US
ORD-000037,2026/02/07,CUST-1037,Product | pipe,1,22.05,US
ORD-000038,2026/02/08,CUST-1038,Product = equal,1,68.87,US
ORD-000039,2026/02/09,CUST-1039,Item & amp,1,30.54,US
ORD-000040,2026/02/10,CUST-1040,Item # hash,2,55.55,US
ORD-000041,2026/02/11,CUST-1041,Item # hash,2,57.67,US
ORD-000042,2026/02/12,CUST-1042,Item $ dollar,1,52.14,US
ORD-000043,2026/02/13,CUST-1043,Item & amp,1,55.23,US
ORD-000044,2026/02/14,CUST-1044,Product @ at,2,57.2,US
ORD-000045,2026/02/15,CUST-1045,Product % percent,1,22.63,US
ORD-000046,2026/02/16,CUST-1046,Item # hash,2,28.41,US
ORD-000047,2026/02/17,CUST-1047,Item & amp,2,53.37,US
ORD-000048,2026/02/18,CUST-1048,Product = equal,1,34.97,US
ORD-000049,2026/02/19,CUST-1049,Product @ at,1,56.64,US
ORD-000050,2026/02/20,CUST-1050,Product % percent,2,21.01,US
ORD-000051,2026/02/21,CUST-1051,Product = equal,1,25.33,US
ORD-000052,2026/02/22,CUST-1052,Product | pipe,2,58.03,US
ORD-000053,2026/02/23,CUST-1053,Product % percent,2,39.54,US
