order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Product % percent,1,37.46,US
ORD-000002,2026/01/03,CUST-1002,Product = equal,1,48.8,US
ORD-000003,2026/01/04,CUST-1003,Product @ at,1,37.17,US
ORD-000004,2026/01/05,CUST-1004,Product @ at,1,43.27,US
ORD-000005,2026/01/06,CUST-1005,Item # hash,1,23.78,US
ORD-000006,2026/01/07,CUST-1006,Product = equal,2,26.01,US
ORD-000007,2026/01/08,CUST-1007,Item & amp,2,26.04,US
ORD-000008,2026/01/09,CUST-1008,Product % percent,2,60.99,US
ORD-000009,2026/01/10,CUST-1009,Item # hash,1,22.7,US
ORD-000010,2026/01/11,CUST-1010,Item # hash,1,50.35,US
ORD-000011,2026/01/12,CUST-1011,Item & amp,2,64.44,US
ORD-000012,2026/01/13,CUST-1012,Item # hash,1,59.33,US
ORD-000013,2026/01/14,CUST-1013,Product | pipe,2,34.75,US
ORD-000014,2026/01/15,CUST-1014,Item $ dollar,1,50.03,US
ORD-000015,2026/01/16,CUST-1015,Item & amp,2,22.64,US
ORD-000016,2026/01/17,CUST-1016,Item & amp,2,27.61,US
ORD-000017,2026/01/18,CUST-1017,Product | pipe,2,63.79,US
ORD-000018,2026/01/19,CUST-1018,Item $ dollar,1,47.24,US
ORD-000019,2026/01/20,CUST-1019,Product % percent,2,34.67,US
ORD-000020,2026/01/21,CUST-1020,Product | pipe,1,46.13,US
ORD-000021,2026/01/22,CUST-1021,Product = equal,1,69.33,US
ORD-000022,2026/01/23,CUST-1022,Product | pipe,1,64.29,US
ORD-000023,2026/01/24,CUST-1023,Product = equal,2,62.34,US
