ORD-000001,2026/01/02,CUST-1001,4K Webcam Pro,2,24.46,US
ORD-000002,2026/01/03,CUST-1002,Ergonomic Office Chair,2,27.23,US
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,2,39.89,US
ORD-000004,2026/01/05,CUST-1004,Yoga Mat Premium,1,15.32,US
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,2,33.56,US
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,1,37.77,US
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,1,29.74,US
ORD-000008,2026/01/09,CUST-1008,Yoga Mat Premium,2,27.87,US
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,1,28.45,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,1,11.96,US
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,2,12.79,US
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,2,37.95,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,2,38.21,US
ORD-000014,2026/01/15,CUST-1014,External SSD 1TB,2,15.1,US
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,1,10.56,US
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,1,39.25,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,2,37.37,US
