order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Organic Cotton T-Shirt,2,19.99,DE
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,2,130.0,BR
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,1,144.87,US
ORD-000004,2026/01/05,CUST-1004,Leather Wallet Classic,2,40.11,UK
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,2,133.73,CA
ORD-000006,2026/01/07,CUST-1006,4K Webcam Pro,3,143.8,US
ORD-000007,2026/01/08,CUST-1007,Monitor Arm Dual,3,90.93,AU
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,1,106.77,CN
ORD-000009,2026/01/10,CUST-1009,Wireless Headphones Pro,3,61.77,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,3,56.51,US
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,1,38.06,FR
ORD-000012,2026/01/13,CUST-1012,Noise Cancelling Earbuds,3,30.13,CN
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,3,88.94,UK
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,3,119.43,CA
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,2,114.71,US
ORD-000016,2026/01/17,CUST-1016,Mechanical Keyboard RGB,1,68.22,AU
ORD-000017,2026/01/18,CUST-1017,Wireless Mouse Silent,3,73.98,CN
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,3,117.91,IN
ORD-000019,2026/01/20,CUST-1019,Yoga Mat Premium,1,131.54,BR
ORD-000020,2026/01/21,CUST-1020,Standing Desk Converter,1,115.61,AU
ORD-000021,2026/01/22,CUST-1021,Portable Power Bank,3,88.62,UK
ORD-000022,2026/01/23,CUST-1022,Wireless Charger Pad,1,83.13,IN
ORD-000023,2026/01/24,CUST-1023,Noise Cancelling Earbuds,3,88.58,CN
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,3,107.53,CA
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,3,27.25,BR
ORD-000026,2026/01/27,CUST-1026,Stainless Steel Water Bottle,1,28.93,JP
ORD-000027,2026/01/28,CUST-1027,Noise Cancelling Earbuds,1,80.26,IN
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,1,21.27,JP
ORD-000029,2026/01/30,CUST-1029,Stainless Steel Water Bottle,3,118.78,CN
ORD-000030,2026/01/31,CUST-1030,External SSD 1TB,2,109.38,BR
ORD-000031,2026/02/01,CUST-1031,Leather Wallet Classic,1,134.74,UK
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,2,147.52,AU
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,2,118.73,CA
ORD-000034,2026/02/04,CUST-1034,LED Desk Lamp,1,146.26,FR
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,2,86.57,BR
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,2,140.05,IN
ORD-000037,2026/02/07,CUST-1037,Standing Desk Converter,3,100.25,CA
ORD-000038,2026/02/08,CUST-1038,Wireless Headphones Pro,2,90.61,CA
ORD-000039,2026/02/09,CUST-1039,Leather Wallet Classic,2,62.8,US
ORD-000040,2026/02/10,CUST-1040,Organic Cotton T-Shirt,1,55.76,DE
ORD-000041,2026/02/11,CUST-1041,Ergonomic Office Chair,3,107.98,FR
ORD-000042,2026/02/12,CUST-1042,Leather Wallet Classic,1,98.07,CA
ORD-000043,2026/02/13,CUST-1043,LED Desk Lamp,3,79.97,UK
ORD-000044,2026/02/14,CUST-1044,Portable Power Bank,3,33.25,BR
ORD-000045,2026/02/15,CUST-1045,Wireless Charger Pad,1,27.57,AU
ORD-000046,2026/02/16,CUST-1046,4K Webcam Pro,1,114.73,FR
ORD-000047,2026/02/17,CUST-1047,Mechanical Keyboard RGB,3,33.18,IN
ORD-000048,2026/02/18,CUST-1048,Wireless Mouse Silent,1,45.61,DE
ORD-000049,2026/02/19,CUST-1049,Noise Cancelling Earbuds,3,93.47,UK
ORD-000050,2026/02/20,CUST-1050,Wireless Headphones Pro,3,57.86,JP
ORD-000051,2026/02/21,CUST-1051,Smart Watch Series 5,3,54.23,DE
ORD-000052,2026/02/22,CUST-1052,Wireless Mouse Silent,2,148.08,UK
ORD-000053,2026/02/23,CUST-1053,Smart Watch Series 5,3,105.78,BR
ORD-000054,2026/02/24,CUST-1054,Yoga Mat Premium,1,138.14,CN
ORD-000055,2026/02/25,CUST-1055,Monitor Arm Dual,2,68.44,DE
ORD-000056,2026/02/26,CUST-1056,Mechanical Keyboard RGB,3,29.09,FR
ORD-000057,2026/02/27,CUST-1057,Wireless Mouse Silent,1,100.25,FR
ORD-000058,2026/02/28,CUST-1058,Bluetooth Speaker Mini,1,48.63,FR
ORD-000059,2026/03/01,CUST-1059,Noise Cancelling Earbuds,3,97.9,CN
ORD-000060,2026/03/02,CUST-1060,Yoga Mat Premium,2,64.72,IN
ORD-000061,2026/03/03,CUST-1061,4K Webcam Pro,3,58.5,BR
ORD-000062,2026/03/04,CUST-1062,Running Shoes Elite,3,110.25,CA
ORD-000063,2026/03/05,CUST-1063,4K Webcam Pro,3,85.59,UK
ORD-000064,2026/03/06,CUST-1064,Noise Cancelling Earbuds,2,75.69,BR
ORD-000065,2026/03/07,CUST-1065,Standing Desk Converter,1,118.01,FR
ORD-000066,2026/03/08,CUST-1066,External SSD 1TB,2,41.33,AU
ORD-000067,2026/03/09,CUST-1067,Stainless Steel Water Bottle,3,76.1,FR
ORD-000068,2026/03/10,CUST-1068,Yoga Mat Premium,3,136.55,CA
ORD-000069,2026/03/11,CUST-1069,Running Shoes Elite,2,100.95,FR
ORD-000070,2026/03/12,CUST-1070,LED Desk Lamp,1,36.13,FR
ORD-000071,2026/03/13,CUST-1071,Air Purifier Small,1,110.27,UK
ORD-000072,2026/03/14,CUST-1072,External SSD 1TB,3,123.67,US
ORD-000073,2026/03/15,CUST-1073,Wireless Headphones Pro,3,128.17,DE
ORD-000074,2026/03/16,CUST-1074,Yoga Mat Premium,2,53.17,IN
ORD-000075,2026/03/17,CUST-1075,Bluetooth Speaker Mini,1,124.75,US
ORD-000076,2026/03/18,CUST-1076,Air Purifier Small,3,39.72,CN
ORD-000077,2026/03/19,CUST-1077,Bluetooth Speaker Mini,2,24.76,AU
ORD-000078,2026/03/20,CUST-1078,External SSD 1TB,2,138.42,BR
ORD-000079,2026/03/21,CUST-1079,Monitor Arm Dual,2,75.98,IN
ORD-000080,2026/03/22,CUST-1080,Wireless Mouse Silent,1,65.95,DE
ORD-000081,2026/03/23,CUST-1081,Organic Cotton T-Shirt,2,140.61,IN
ORD-000082,2026/03/24,CUST-1082,Air Purifier Small,3,48.18,AU
ORD-000083,2026/03/25,CUST-1083,4K Webcam Pro,3,35.85,AU
ORD-000084,2026/03/26,CUST-1084,Mechanical Keyboard RGB,2,64.68,US
ORD-000085,2026/03/27,CUST-1085,Monitor Arm Dual,2,113.02,IN
