ORD-000001,2026/01/02,CUST-1001,Stainless Steel Water Bottle,1,10.36,US
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,1,23.16,US
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,1,19.55,US
ORD-000004,2026/01/05,CUST-1004,Running Shoes Elite,2,35.34,US
ORD-000005,2026/01/06,CUST-1005,Air Purifier Small,2,34.91,US
ORD-000006,2026/01/07,CUST-1006,Yoga Mat Premium,2,38.23,US
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,1,11.93,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,2,23.92,US
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,2,17.08,US
ORD-000010,2026/01/11,CUST-1010,Mechanical Keyboard RGB,1,11.73,US
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,2,15.73,US
ORD-000012,2026/01/13,CUST-1012,Leather Wallet Classic,2,32.15,US
ORD-000013,2026/01/14,CUST-1013,Bluetooth Speaker Mini,1,18.88,US
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,2,16.88,US
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,2,16.55,US
ORD-000016,2026/01/17,CUST-1016,Yoga Mat Premium,1,15.12,US
ORD-000017,2026/01/18,CUST-1017,Smart Watch Series 5,1,34.12,US
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,1,27.24,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,1,35.54,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,1,37.82,US
ORD-000021,2026/01/22,CUST-1021,Wireless Headphones Pro,1,37.95,US
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,2,30.02,US
ORD-000023,2026/01/24,CUST-1023,Yoga Mat Premium,2,15.51,US
ORD-000024,2026/01/25,CUST-1024,Smart Watch Series 5,2,30.07,US
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,2,23.32,US
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,2,20.34,US
ORD-000027,2026/01/28,CUST-1027,Running Shoes Elite,1,19.51,US
ORD-000028,2026/01/29,CUST-1028,Portable Power Bank,2,21.52,US
