ORD-000001,2026/01/02,CUST-1001,Stainless Steel Water Bottle,1,39.3,US
ORD-000002,2026/01/03,CUST-1002,Portable Power Bank,1,25.93,US
ORD-000003,2026/01/04,CUST-1003,Ergonomic Office Chair,2,11.98,US
ORD-000004,2026/01/05,CUST-1004,Smart Watch Series 5,2,20.64,US
ORD-000005,2026/01/06,CUST-1005,Mechanical Keyboard RGB,1,13.87,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,12.29,US
ORD-000007,2026/01/08,CUST-1007,Wireless Charger Pad,1,12.59,US
ORD-000008,2026/01/09,CUST-1008,Monitor Arm Dual,1,23.2,US
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,1,16.66,US
ORD-000010,2026/01/11,CUST-1010,Ergonomic Office Chair,2,16.97,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,2,12.58,US
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,1,12.33,US
ORD-000013,2026/01/14,CUST-1013,LED Desk Lamp,2,12.04,US
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,1,19.14,US
ORD-000015,2026/01/16,CUST-1015,Standing Desk Converter,1,25.83,US
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,1,28.05,US
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,1,29.36,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,1,19.93,US
ORD-000019,2026/01/20,CUST-1019,Noise Cancelling Earbuds,1,22.93,US
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,2,16.03,US
ORD-000021,2026/01/22,CUST-1021,Monitor Arm Dual,1,37.88,US
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,2,28.49,US
ORD-000023,2026/01/24,CUST-1023,LED Desk Lamp,1,31.52,US
ORD-000024,2026/01/25,CUST-1024,Mechanical Keyboard RGB,1,20.87,US
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,1,23.44,US
ORD-000026,2026/01/27,CUST-1026,Stainless Steel Water Bottle,1,13.1,US
