order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Mouse Silent,3,142.61,AU
ORD-000002,2026/01/03,CUST-1002,Yoga Mat Premium,2,20.76,CA
ORD-000003,2026/01/04,CUST-1003,Wireless Mouse Silent,2,96.81,IN
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,3,121.23,US
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,3,145.96,FR
ORD-000006,2026/01/07,CUST-1006,Yoga Mat Premium,2,137.97,BR
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones Pro,3,84.99,CA
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,3,109.38,BR
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,3,71.68,AU
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,1,66.82,CA
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,1,47.39,UK
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,1,126.82,UK
ORD-000013,2026/01/14,CUST-1013,Monitor Arm Dual,3,61.64,IN
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,2,147.5,DE
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,1,52.82,IN
ORD-000016,2026/01/17,CUST-1016,Smart Watch Series 5,3,143.76,UK
ORD-000017,2026/01/18,CUST-1017,Mechanical Keyboard RGB,1,135.03,CN
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,3,48.79,IN
ORD-000019,2026/01/20,CUST-1019,Leather Wallet Classic,1,93.52,BR
ORD-000020,2026/01/21,CUST-1020,Wireless Headphones Pro,1,119.53,CA
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,2,50.87,CN
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,2,142.17,DE
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,2,77.93,FR
ORD-000024,2026/01/25,CUST-1024,Wireless Mouse Silent,3,51.51,CA
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,3,56.08,CN
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,2,97.5,FR
