order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,2,95.75,US
ORD-000002,2026/01/03,CUST-1002,Portable Power Bank,1,50.21,US
ORD-000003,2026/01/04,CUST-1003,Wireless Charger Pad,1,99.55,US
ORD-000004,2026/01/05,CUST-1004,Standing Desk Converter,1,55.72,US
ORD-000005,2026/01/06,CUST-1005,Standing Desk Converter,2,0.0,US
ORD-000006,2026/01/07,CUST-1006,4K Webcam Pro,1,80.35,US
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,1,0.0,US
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,2,0.0,US
ORD-000009,2026/01/10,CUST-1009,Running Shoes Elite,1,31.89,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,1,44.11,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,2,51.4,US
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,2,30.75,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,1,0.0,US
ORD-000014,2026/01/15,CUST-1014,Bluetooth Speaker Mini,1,82.63,US
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,1,99.76,US
ORD-000016,2026/01/17,CUST-1016,Wireless Mouse Silent,1,63.3,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,2,0.0,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,2,88.13,US
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,2,0.0,US
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,1,49.86,US
ORD-000021,2026/01/22,CUST-1021,Stainless Steel Water Bottle,1,55.66,US
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,1,70.24,US
ORD-000023,2026/01/24,CUST-1023,Air Purifier Small,1,0.0,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,2,77.21,US
ORD-000025,2026/01/26,CUST-1025,Organic Cotton T-Shirt,2,0.0,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,2,0.0,US
ORD-000027,2026/01/28,CUST-1027,Noise Cancelling Earbuds,2,94.14,US
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,2,95.97,US
ORD-000029,2026/01/30,CUST-1029,Stainless Steel Water Bottle,2,86.36,US
ORD-000030,2026/01/31,CUST-1030,Organic Cotton T-Shirt,1,92.81,US
ORD-000031,2026/02/01,CUST-1031,Leather Wallet Classic,2,0.0,US
ORD-000032,2026/02/02,CUST-1032,Stainless Steel Water Bottle,2,45.15,US
ORD-000033,2026/02/03,CUST-1033,Standing Desk Converter,1,89.28,US
ORD-000034,2026/02/04,CUST-1034,Smart Watch Series 5,1,0.0,US
ORD-000035,2026/02/05,CUST-1035,Organic Cotton T-Shirt,1,98.75,US
ORD-000036,2026/02/06,CUST-1036,4K Webcam Pro,1,88.34,US
ORD-000037,2026/02/07,CUST-1037,Portable Power Bank,1,41.86,US
ORD-000038,2026/02/08,CUST-1038,Leather Wallet Classic,1,0.0,US
ORD-000039,2026/02/09,CUST-1039,Stainless Steel Water Bottle,1,67.64,US
ORD-000040,2026/02/10,CUST-1040,Air Purifier Small,2,32.92,US
ORD-000041,2026/02/11,CUST-1041,Wireless Mouse Silent,1,76.62,US
ORD-000042,2026/02/12,CUST-1042,Ergonomic Office Chair,2,91.38,US
ORD-000043,2026/02/13,CUST-1043,External SSD 1TB,1,84.86,US
ORD-000044,2026/02/14,CUST-1044,Standing Desk Converter,1,88.49,US
ORD-000045,2026/02/15,CUST-1045,Standing Desk Converter,1,69.03,US
ORD-000046,2026/02/16,CUST-1046,Organic Cotton T-Shirt,1,0.0,US
ORD-000047,2026/02/17,CUST-1047,Noise Cancelling Earbuds,1,53.88,US
ORD-000048,2026/02/18,CUST-1048,Wireless Mouse Silent,1,74.14,US
ORD-000049,2026/02/19,CUST-1049,Wireless Headphones Pro,2,0.0,US
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,2,0.0,US
ORD-000051,2026/02/21,CUST-1051,LED Desk Lamp,2,66.15,US
ORD-000052,2026/02/22,CUST-1052,Running Shoes Elite,2,39.31,US
ORD-000053,2026/02/23,CUST-1053,Bluetooth Speaker Mini,2,85.45,US
ORD-000054,2026/02/24,CUST-1054,Mechanical Keyboard RGB,1,88.36,US
ORD-000055,2026/02/25,CUST-1055,Wireless Charger Pad,2,50.85,US
ORD-000056,2026/02/26,CUST-1056,Wireless Charger Pad,1,0.0,US
ORD-000057,2026/02/27,CUST-1057,Noise Cancelling Earbuds,1,57.79,US
ORD-000058,2026/02/28,CUST-1058,Smart Watch Series 5,1,87.12,US
ORD-000059,2026/03/01,CUST-1059,Monitor Arm Dual,1,98.71,US
ORD-000060,2026/03/02,CUST-1060,Mechanical Keyboard RGB,1,32.84,US
ORD-000061,2026/03/03,CUST-1061,LED Desk Lamp,2,0.0,US
ORD-000062,2026/03/04,CUST-1062,Wireless Headphones Pro,1,43.48,US
ORD-000063,2026/03/05,CUST-1063,Bluetooth Speaker Mini,1,90.95,US
ORD-000064,2026/03/06,CUST-1064,Stainless Steel Water Bottle,2,71.74,US
ORD-000065,2026/03/07,CUST-1065,Monitor Arm Dual,2,49.34,US
