ORD-000001,2026/01/02,CUST-1001,Monitor Arm Dual,4,215.03,DE
ORD-000002,2026/01/03,CUST-1002,Standing Desk Converter,3,72.94,CN
ORD-000003,2026/01/04,CUST-1003,Portable Power Bank,1,105.09,US
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,1,39.01,UK
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,1,240.08,DE
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,3,91.09,AU
ORD-000007,2026/01/08,CUST-1007,Mechanical Keyboard RGB,3,114.17,IN
ORD-000008,2026/01/09,CUST-1008,Air Purifier Small,3,182.55,UK
ORD-000009,2026/01/10,CUST-1009,Air Purifier Small,2,95.21,DE
ORD-000010,2026/01/11,CUST-1010,Stainless Steel Water Bottle,5,57.35,US
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,1,91.27,US
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,5,71.62,DE
ORD-000013,2026/01/14,CUST-1013,Noise Cancelling Earbuds,4,164.27,BR
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,3,164.66,UK
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,4,283.11,IN
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,3,234.47,DE
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,252.81,IN
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,4,223.91,CA
ORD-000019,2026/01/20,CUST-1019,Leather Wallet Classic,4,256.28,UK
ORD-000020,2026/01/21,CUST-1020,Stainless Steel Water Bottle,5,99.11,AU
ORD-000021,2026/01/22,CUST-1021,Yoga Mat Premium,2,65.43,UK
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,2,281.19,JP
ORD-000023,2026/01/24,CUST-1023,Portable Power Bank,4,43.63,JP
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,3,145.18,UK
ORD-000025,2026/01/26,CUST-1025,Running Shoes Elite,1,214.09,US
ORD-000026,2026/01/27,CUST-1026,Ergonomic Office Chair,1,40.12,FR
ORD-000027,2026/01/28,CUST-1027,Noise Cancelling Earbuds,3,147.09,IN
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,3,75.86,CA
ORD-000029,2026/01/30,CUST-1029,Wireless Charger Pad,3,260.84,BR
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,1,297.65,BR
