order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Portable Power Bank,2,80.23
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,2,93.67
ORD-000003,2026/01/04,CUST-1003,Stainless Steel Water Bottle,3,65.48
ORD-000004,2026/01/05,CUST-1004,Air Purifier Small,1,96.77
ORD-000005,2026/01/06,CUST-1005,Bluetooth Speaker Mini,1,61.1
ORD-000006,2026/01/07,CUST-1006,Stainless Steel Water Bottle,1,91.17
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,1,21.23
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,79.9
ORD-000009,2026/01/10,CUST-1009,Portable Power Bank,2,25.31
ORD-000010,2026/01/11,CUST-1010,Noise Cancelling Earbuds,1,50.66
ORD-000011,2026/01/12,CUST-1011,LED Desk Lamp,2,53.88
ORD-000012,2026/01/13,CUST-1012,Leather Wallet Classic,1,46.82
ORD-000013,2026/01/14,CUST-1013,LED Desk Lamp,2,84.87
ORD-000014,2026/01/15,CUST-1014,Leather Wallet Classic,1,98.92
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,2,25.13
ORD-000016,2026/01/17,CUST-1016,LED Desk Lamp,1,95.03
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,1,32.97
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,3,44.86
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,1,31.8
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,2,21.94
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,3,22.23
ORD-000022,2026/01/23,CUST-1022,Smart Watch Series 5,2,37.47
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,1,91.58
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,3,77.37
ORD-000025,2026/01/26,CUST-1025,Wireless Headphones Pro,2,71.32
ORD-000026,2026/01/27,CUST-1026,Smart Watch Series 5,1,89.02
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,3,90.61
ORD-000028,2026/01/29,CUST-1028,Bluetooth Speaker Mini,1,67.65
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,2,91.53
ORD-000030,2026/01/31,CUST-1030,Ergonomic Office Chair,3,89.47
ORD-000031,2026/02/01,CUST-1031,Noise Cancelling Earbuds,3,46.8
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,1,84.35
ORD-000033,2026/02/03,CUST-1033,Air Purifier Small,2,24.56
ORD-000034,2026/02/04,CUST-1034,Smart Watch Series 5,1,67.91
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,1,30.56
ORD-000036,2026/02/06,CUST-1036,Ergonomic Office Chair,1,83.89
ORD-000037,2026/02/07,CUST-1037,External SSD 1TB,3,99.37
ORD-000038,2026/02/08,CUST-1038,Running Shoes Elite,1,91.48
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,2,31.89
ORD-000040,2026/02/10,CUST-1040,Yoga Mat Premium,1,65.74
ORD-000041,2026/02/11,CUST-1041,Wireless Mouse Silent,1,67.35
ORD-000042,2026/02/12,CUST-1042,LED Desk Lamp,2,62.54
ORD-000043,2026/02/13,CUST-1043,Stainless Steel Water Bottle,3,89.73
ORD-000044,2026/02/14,CUST-1044,Ergonomic Office Chair,2,98.77
ORD-000045,2026/02/15,CUST-1045,Mechanical Keyboard RGB,2,20.7
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,1,70.49
ORD-000047,2026/02/17,CUST-1047,Yoga Mat Premium,2,39.19
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,3,25.97
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,1,51.68
ORD-000050,2026/02/20,CUST-1050,Wireless Charger Pad,1,31.7
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,1,33.32
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,2,73.1
ORD-000053,2026/02/23,CUST-1053,Standing Desk Converter,2,90.16
ORD-000054,2026/02/24,CUST-1054,Portable Power Bank,2,62.32
ORD-000055,2026/02/25,CUST-1055,Wireless Headphones Pro,1,94.16
ORD-000056,2026/02/26,CUST-1056,Monitor Arm Dual,1,20.79
ORD-000057,2026/02/27,CUST-1057,4K Webcam Pro,2,58.62
ORD-000058,2026/02/28,CUST-1058,Stainless Steel Water Bottle,1,44.66
ORD-000059,2026/03/01,CUST-1059,Yoga Mat Premium,3,83.67
ORD-000060,2026/03/02,CUST-1060,Organic Cotton T-Shirt,1,90.21
ORD-000061,2026/03/03,CUST-1061,Organic Cotton T-Shirt,2,60.39
ORD-000062,2026/03/04,CUST-1062,Mechanical Keyboard RGB,3,31.75
ORD-000063,2026/03/05,CUST-1063,Portable Power Bank,1,38.93
ORD-000064,2026/03/06,CUST-1064,External SSD 1TB,3,59.09
ORD-000065,2026/03/07,CUST-1065,Mechanical Keyboard RGB,3,59.85
ORD-000066,2026/03/08,CUST-1066,External SSD 1TB,3,88.42
ORD-000067,2026/03/09,CUST-1067,Monitor Arm Dual,2,84.45
ORD-000068,2026/03/10,CUST-1068,Stainless Steel Water Bottle,1,51.13
ORD-000069,2026/03/11,CUST-1069,Monitor Arm Dual,2,78.17
ORD-000070,2026/03/12,CUST-1070,Yoga Mat Premium,1,58.69
ORD-000071,2026/03/13,CUST-1071,Ergonomic Office Chair,2,95.11
