order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,1,34.12,US
ORD-000002,2026/01/03,CUST-1002,Standing Desk Converter,2,25.46,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,1,19.03,US
ORD-000004,2026/01/05,CUST-1004,Wireless Mouse Silent,2,26.72,US
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,1,32.94,US
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,1,25.19,US
ORD-000007,2026/01/08,CUST-1007,Wireless Mouse Silent,2,16.18,US
ORD-000008,2026/01/09,CUST-1008,Wireless Headphones Pro,2,18.7,US
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,2,19.16,US
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,2,38.04,US
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,2,33.58,US
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,1,21.16,US
ORD-000013,2026/01/14,CUST-1013,Noise Cancelling Earbuds,1,36.47,US
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,1,28.52,US
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,1,26.94,US
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,1,24.8,US
ORD-000017,2026/01/18,CUST-1017,4K Webcam Pro,2,10.09,US
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,1,14.63,US
