order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,1,113.94,JP
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,1,90.99,CN
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,1,143.93,FR
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,1,56.28,UK
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,2,99.03,DE
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,3,39.39,CA
ORD-000007,2026/01/08,CUST-1007,Standing Desk Converter,1,130.79,FR
ORD-000008,2026/01/09,CUST-1008,Air Purifier Small,2,41.47,FR
ORD-000009,2026/01/10,CUST-1009,Portable Power Bank,1,141.98,DE
ORD-000010,2026/01/11,CUST-1010,Yoga Mat Premium,1,46.71,UK
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,2,103.68,BR
ORD-000012,2026/01/13,CUST-1012,Monitor Arm Dual,3,81.41,DE
ORD-000013,2026/01/14,CUST-1013,Ergonomic Office Chair,1,91.9,US
ORD-000014,2026/01/15,CUST-1014,4K Webcam Pro,1,63.42,JP
ORD-000015,2026/01/16,CUST-1015,Running Shoes Elite,2,83.29,CA
ORD-000016,2026/01/17,CUST-1016,Portable Power Bank,2,98.82,DE
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,2,123.29,JP
ORD-000018,2026/01/19,CUST-1018,Standing Desk Converter,3,58.88,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,3,86.44,JP
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,3,30.89,US
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,1,24.28,AU
ORD-000022,2026/01/23,CUST-1022,Monitor Arm Dual,2,131.69,AU
ORD-000023,2026/01/24,CUST-1023,Bluetooth Speaker Mini,2,109.93,FR
ORD-000024,2026/01/25,CUST-1024,Portable Power Bank,1,46.82,CN
ORD-000025,2026/01/26,CUST-1025,4K Webcam Pro,2,82.5,UK
ORD-000026,2026/01/27,CUST-1026,Ergonomic Office Chair,2,52.13,BR
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,1,47.71,IN
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,3,109.4,AU
ORD-000029,2026/01/30,CUST-1029,Noise Cancelling Earbuds,2,112.56,DE
ORD-000030,2026/01/31,CUST-1030,Stainless Steel Water Bottle,1,38.28,AU
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,1,48.24,IN
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,3,140.0,DE
ORD-000033,2026/02/03,CUST-1033,Stainless Steel Water Bottle,1,50.69,JP
ORD-000034,2026/02/04,CUST-1034,Running Shoes Elite,1,93.77,JP
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,2,118.87,JP
ORD-000036,2026/02/06,CUST-1036,4K Webcam Pro,1,103.81,IN
ORD-000037,2026/02/07,CUST-1037,External SSD 1TB,3,102.76,CN
ORD-000038,2026/02/08,CUST-1038,Portable Power Bank,2,125.66,FR
ORD-000039,2026/02/09,CUST-1039,Smart Watch Series 5,3,36.68,US
ORD-000040,2026/02/10,CUST-1040,Monitor Arm Dual,3,104.64,FR
ORD-000041,2026/02/11,CUST-1041,Wireless Headphones Pro,1,24.04,US
ORD-000042,2026/02/12,CUST-1042,Smart Watch Series 5,2,127.8,BR
ORD-000043,2026/02/13,CUST-1043,Yoga Mat Premium,2,96.24,AU
ORD-000044,2026/02/14,CUST-1044,Portable Power Bank,3,105.22,AU
ORD-000045,2026/02/15,CUST-1045,Wireless Charger Pad,1,25.2,CN
ORD-000046,2026/02/16,CUST-1046,External SSD 1TB,3,129.72,CN
ORD-000047,2026/02/17,CUST-1047,Bluetooth Speaker Mini,1,120.89,AU
ORD-000048,2026/02/18,CUST-1048,Wireless Headphones Pro,1,88.38,US
ORD-000049,2026/02/19,CUST-1049,Bluetooth Speaker Mini,3,89.38,UK
ORD-000050,2026/02/20,CUST-1050,Leather Wallet Classic,2,34.95,US
ORD-000051,2026/02/21,CUST-1051,LED Desk Lamp,1,57.44,IN
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,2,60.37,IN
ORD-000053,2026/02/23,CUST-1053,Air Purifier Small,2,114.17,IN
ORD-000054,2026/02/24,CUST-1054,Air Purifier Small,1,57.83,AU
ORD-000055,2026/02/25,CUST-1055,Stainless Steel Water Bottle,2,46.62,IN
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,1,72.2,IN
ORD-000057,2026/02/27,CUST-1057,Wireless Charger Pad,2,67.64,CN
ORD-000058,2026/02/28,CUST-1058,LED Desk Lamp,3,69.63,DE
ORD-000059,2026/03/01,CUST-1059,Standing Desk Converter,1,72.69,JP
ORD-000060,2026/03/02,CUST-1060,Noise Cancelling Earbuds,2,37.95,IN
ORD-000061,2026/03/03,CUST-1061,Yoga Mat Premium,1,141.39,DE
ORD-000062,2026/03/04,CUST-1062,Air Purifier Small,3,109.38,US
ORD-000063,2026/03/05,CUST-1063,Portable Power Bank,2,105.1,IN
ORD-000064,2026/03/06,CUST-1064,External SSD 1TB,2,129.36,CN
ORD-000065,2026/03/07,CUST-1065,Wireless Mouse Silent,1,27.58,US
ORD-000066,2026/03/08,CUST-1066,Standing Desk Converter,3,125.38,CN
ORD-000067,2026/03/09,CUST-1067,Running Shoes Elite,2,79.63,DE
ORD-000068,2026/03/10,CUST-1068,Smart Watch Series 5,2,133.56,BR
ORD-000069,2026/03/11,CUST-1069,Leather Wallet Classic,2,81.9,DE
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,1,35.52,CN
ORD-000071,2026/03/13,CUST-1071,Leather Wallet Classic,3,137.71,US
ORD-000072,2026/03/14,CUST-1072,Wireless Mouse Silent,2,137.88,US
ORD-000073,2026/03/15,CUST-1073,Smart Watch Series 5,1,55.78,IN
ORD-000074,2026/03/16,CUST-1074,Monitor Arm Dual,3,135.5,FR
ORD-000075,2026/03/17,CUST-1075,Bluetooth Speaker Mini,3,72.2,CA
ORD-000076,2026/03/18,CUST-1076,External SSD 1TB,3,20.68,BR
ORD-000077,2026/03/19,CUST-1077,Mechanical Keyboard RGB,2,59.62,DE
ORD-000078,2026/03/20,CUST-1078,Smart Watch Series 5,1,143.56,UK
ORD-000079,2026/03/21,CUST-1079,Stainless Steel Water Bottle,1,58.61,JP
ORD-000080,2026/03/22,CUST-1080,Smart Watch Series 5,2,74.19,CA
ORD-000081,2026/03/23,CUST-1081,Monitor Arm Dual,3,28.29,US
ORD-000082,2026/03/24,CUST-1082,Ergonomic Office Chair,2,48.03,IN
ORD-000083,2026/03/25,CUST-1083,Leather Wallet Classic,3,21.56,BR
ORD-000084,2026/03/26,CUST-1084,Leather Wallet Classic,2,30.24,IN
ORD-000085,2026/03/27,CUST-1085,Bluetooth Speaker Mini,2,144.3,AU
ORD-000086,2026/03/28,CUST-1086,Organic Cotton T-Shirt,1,23.01,UK
ORD-000087,2026/03/29,CUST-1087,Running Shoes Elite,2,86.08,CN
