order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Organic Cotton T-Shirt,2,29.97,JP
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,1,88.55,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,2,78.87,UK
ORD-000004,2026/01/05,CUST-1004,Running Shoes Elite,3,73.43,UK
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,2,105.79,FR
ORD-000006,2026/01/07,CUST-1006,Bluetooth Speaker Mini,1,108.35,FR
ORD-000007,2026/01/08,CUST-1007,Stainless Steel Water Bottle,1,129.27,JP
ORD-000008,2026/01/09,CUST-1008,Wireless Charger Pad,1,67.13,US
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,1,60.11,CA
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,2,138.47,CN
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,2,106.16,UK
ORD-000012,2026/01/13,CUST-1012,Smart Watch Series 5,1,87.01,DE
ORD-000013,2026/01/14,CUST-1013,Ergonomic Office Chair,1,63.49,CA
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,1,61.61,CN
ORD-000015,2026/01/16,CUST-1015,Noise Cancelling Earbuds,3,116.96,US
ORD-000016,2026/01/17,CUST-1016,Noise Cancelling Earbuds,3,101.56,JP
ORD-000017,2026/01/18,CUST-1017,Mechanical Keyboard RGB,3,124.23,BR
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,2,87.03,BR
ORD-000019,2026/01/20,CUST-1019,Mechanical Keyboard RGB,1,25.09,AU
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,1,105.33,BR
ORD-000021,2026/01/22,CUST-1021,Stainless Steel Water Bottle,3,94.42,DE
ORD-000022,2026/01/23,CUST-1022,Wireless Headphones Pro,1,44.85,IN
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,2,124.18,AU
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,2,111.81,IN
ORD-000025,2026/01/26,CUST-1025,Running Shoes Elite,1,60.4,UK
ORD-000026,2026/01/27,CUST-1026,Monitor Arm Dual,1,56.64,DE
ORD-000027,2026/01/28,CUST-1027,Wireless Charger Pad,1,97.19,US
ORD-000028,2026/01/29,CUST-1028,Yoga Mat Premium,2,146.06,IN
ORD-000029,2026/01/30,CUST-1029,4K Webcam Pro,3,76.37,CA
ORD-000030,2026/01/31,CUST-1030,External SSD 1TB,3,148.89,UK
ORD-000031,2026/02/01,CUST-1031,Noise Cancelling Earbuds,1,90.63,CN
ORD-000032,2026/02/02,CUST-1032,Stainless Steel Water Bottle,2,139.3,US
ORD-000033,2026/02/03,CUST-1033,Smart Watch Series 5,2,45.12,CA
ORD-000034,2026/02/04,CUST-1034,Bluetooth Speaker Mini,1,43.39,AU
ORD-000035,2026/02/05,CUST-1035,Stainless Steel Water Bottle,2,25.24,DE
ORD-000036,2026/02/06,CUST-1036,Bluetooth Speaker Mini,3,89.6,BR
ORD-000037,2026/02/07,CUST-1037,LED Desk Lamp,3,56.12,JP
ORD-000038,2026/02/08,CUST-1038,Wireless Headphones Pro,3,33.07,CN
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,2,85.87,AU
ORD-000040,2026/02/10,CUST-1040,Mechanical Keyboard RGB,1,105.85,UK
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,1,87.46,DE
ORD-000042,2026/02/12,CUST-1042,Organic Cotton T-Shirt,2,102.89,CA
ORD-000043,2026/02/13,CUST-1043,Smart Watch Series 5,2,95.98,UK
ORD-000044,2026/02/14,CUST-1044,External SSD 1TB,3,100.66,CN
ORD-000045,2026/02/15,CUST-1045,Wireless Mouse Silent,2,63.72,BR
ORD-000046,2026/02/16,CUST-1046,Bluetooth Speaker Mini,1,84.32,US
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,3,90.55,JP
ORD-000048,2026/02/18,CUST-1048,Smart Watch Series 5,3,95.91,DE
ORD-000049,2026/02/19,CUST-1049,Bluetooth Speaker Mini,1,89.64,JP
ORD-000050,2026/02/20,CUST-1050,Wireless Mouse Silent,3,41.86,US
ORD-000051,2026/02/21,CUST-1051,Monitor Arm Dual,1,49.25,UK
ORD-000052,2026/02/22,CUST-1052,Smart Watch Series 5,3,127.79,CA
ORD-000053,2026/02/23,CUST-1053,Standing Desk Converter,3,118.65,CN
ORD-000054,2026/02/24,CUST-1054,Monitor Arm Dual,1,145.71,UK
ORD-000055,2026/02/25,CUST-1055,Wireless Mouse Silent,1,80.1,CN
ORD-000056,2026/02/26,CUST-1056,Organic Cotton T-Shirt,1,94.82,JP
ORD-000057,2026/02/27,CUST-1057,Mechanical Keyboard RGB,3,48.93,CA
ORD-000058,2026/02/28,CUST-1058,Yoga Mat Premium,2,107.72,CN
ORD-000059,2026/03/01,CUST-1059,Ergonomic Office Chair,3,140.83,IN
ORD-000060,2026/03/02,CUST-1060,Air Purifier Small,1,68.63,CA
ORD-000061,2026/03/03,CUST-1061,Smart Watch Series 5,1,102.19,CA
ORD-000062,2026/03/04,CUST-1062,LED Desk Lamp,3,109.31,BR
ORD-000063,2026/03/05,CUST-1063,Mechanical Keyboard RGB,1,136.05,JP
ORD-000064,2026/03/06,CUST-1064,Monitor Arm Dual,2,27.83,AU
ORD-000065,2026/03/07,CUST-1065,Organic Cotton T-Shirt,3,96.89,CA
ORD-000066,2026/03/08,CUST-1066,Running Shoes Elite,1,99.74,CA
ORD-000067,2026/03/09,CUST-1067,Monitor Arm Dual,3,68.91,BR
ORD-000068,2026/03/10,CUST-1068,Air Purifier Small,2,120.89,FR
ORD-000069,2026/03/11,CUST-1069,Wireless Mouse Silent,1,120.12,IN
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,2,98.52,JP
ORD-000071,2026/03/13,CUST-1071,Mechanical Keyboard RGB,3,31.0,UK
ORD-000072,2026/03/14,CUST-1072,Wireless Charger Pad,1,116.97,IN
ORD-000073,2026/03/15,CUST-1073,Leather Wallet Classic,2,35.04,CA
ORD-000074,2026/03/16,CUST-1074,LED Desk Lamp,3,69.14,IN
ORD-000075,2026/03/17,CUST-1075,Noise Cancelling Earbuds,2,102.45,CN
ORD-000076,2026/03/18,CUST-1076,Leather Wallet Classic,3,87.02,CA
ORD-000077,2026/03/19,CUST-1077,Wireless Mouse Silent,1,122.78,CN
ORD-000078,2026/03/20,CUST-1078,Portable Power Bank,3,64.94,CA
ORD-000079,2026/03/21,CUST-1079,4K Webcam Pro,2,70.98,JP
ORD-000080,2026/03/22,CUST-1080,Standing Desk Converter,2,100.92,US
ORD-000081,2026/03/23,CUST-1081,Bluetooth Speaker Mini,2,131.66,FR
ORD-000082,2026/03/24,CUST-1082,Standing Desk Converter,1,48.89,CA
ORD-000083,2026/03/25,CUST-1083,Bluetooth Speaker Mini,2,50.7,JP
ORD-000084,2026/03/26,CUST-1084,Standing Desk Converter,3,135.41,JP
ORD-000085,2026/03/27,CUST-1085,Wireless Mouse Silent,2,71.98,FR
ORD-000086,2026/03/28,CUST-1086,Smart Watch Series 5,3,134.55,CN
ORD-000087,2026/03/29,CUST-1087,Bluetooth Speaker Mini,1,39.17,JP
ORD-000088,2026/03/30,CUST-1088,Ergonomic Office Chair,2,36.71,CA
ORD-000089,2026/03/31,CUST-1089,Noise Cancelling Earbuds,2,93.57,CN
ORD-000090,2026/04/01,CUST-1090,Stainless Steel Water Bottle,1,34.74,UK
ORD-000091,2026/04/02,CUST-1091,Portable Power Bank,2,138.02,DE
ORD-000092,2026/04/03,CUST-1092,Yoga Mat Premium,2,31.36,IN
ORD-000093,2026/04/04,CUST-1093,External SSD 1TB,1,105.53,CN
ORD-000094,2026/04/05,CUST-1094,Standing Desk Converter,1,94.47,IN
ORD-000095,2026/04/06,CUST-1095,Bluetooth Speaker Mini,1,138.71,AU
ORD-000096,2026/04/07,CUST-1096,LED Desk Lamp,2,28.67,DE
ORD-000097,2026/04/08,CUST-1097,Wireless Charger Pad,3,58.32,DE
ORD-000098,2026/04/09,CUST-1098,Standing Desk Converter,1,69.63,AU
ORD-000099,2026/04/10,CUST-1099,Stainless Steel Water Bottle,3,20.56,AU
ORD-000100,2026/04/11,CUST-1100,4K Webcam Pro,3,69.63,CA
ORD-000101,2026/04/12,CUST-1101,LED Desk Lamp,3,21.01,US
ORD-000102,2026/04/13,CUST-1102,Bluetooth Speaker Mini,2,149.25,DE
ORD-000103,2026/04/14,CUST-1103,Monitor Arm Dual,2,102.59,CA
ORD-000104,2026/04/15,CUST-1104,Standing Desk Converter,1,58.39,US
ORD-000105,2026/04/16,CUST-1105,Wireless Charger Pad,2,38.11,CA
ORD-000106,2026/04/17,CUST-1106,Air Purifier Small,3,147.64,IN
ORD-000107,2026/04/18,CUST-1107,Standing Desk Converter,2,109.43,JP
ORD-000108,2026/04/19,CUST-1108,External SSD 1TB,1,148.8,FR
ORD-000109,2026/04/20,CUST-1109,Noise Cancelling Earbuds,2,97.15,US
ORD-000110,2026/04/21,CUST-1110,Ergonomic Office Chair,2,112.12,US
ORD-000111,2026/04/22,CUST-1111,Leather Wallet Classic,2,136.7,CN
ORD-000112,2026/04/23,CUST-1112,Leather Wallet Classic,3,142.7,AU
ORD-000113,2026/04/24,CUST-1113,Stainless Steel Water Bottle,3,148.53,IN
ORD-000114,2026/04/25,CUST-1114,Stainless Steel Water Bottle,1,120.29,UK
ORD-000115,2026/04/26,CUST-1115,Wireless Headphones Pro,2,97.2,IN
