order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,2,0.0,US
ORD-000002,2026/01/03,CUST-1002,Wireless Mouse Silent,2,98.04,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,1,69.53,US
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,2,61.36,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,1,72.48,US
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,1,62.25,US
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,1,0.0,US
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,1,41.68,US
ORD-000009,2026/01/10,CUST-1009,LED Desk Lamp,1,87.77,US
ORD-000010,2026/01/11,CUST-1010,Mechanical Keyboard RGB,1,35.0,US
ORD-000011,2026/01/12,CUST-1011,Smart Watch Series 5,2,81.56,US
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,2,0.0,US
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,2,73.42,US
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,1,0.0,US
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,2,41.81,US
ORD-000016,2026/01/17,CUST-1016,Standing Desk Converter,1,38.6,US
ORD-000017,2026/01/18,CUST-1017,Smart Watch Series 5,2,58.88,US
ORD-000018,2026/01/19,CUST-1018,Wireless Headphones Pro,2,0.0,US
ORD-000019,2026/01/20,CUST-1019,Monitor Arm Dual,1,70.85,US
ORD-000020,2026/01/21,CUST-1020,Running Shoes Elite,2,84.39,US
ORD-000021,2026/01/22,CUST-1021,Wireless Mouse Silent,1,0.0,US
ORD-000022,2026/01/23,CUST-1022,Yoga Mat Premium,2,60.2,US
ORD-000023,2026/01/24,CUST-1023,Air Purifier Small,2,70.72,US
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,2,97.82,US
ORD-000025,2026/01/26,CUST-1025,Ergonomic Office Chair,1,83.06,US
ORD-000026,2026/01/27,CUST-1026,Wireless Headphones Pro,1,0.0,US
ORD-000027,2026/01/28,CUST-1027,Smart Watch Series 5,1,65.1,US
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,1,97.16,US
ORD-000029,2026/01/30,CUST-1029,Air Purifier Small,1,67.87,US
ORD-000030,2026/01/31,CUST-1030,Stainless Steel Water Bottle,1,44.9,US
ORD-000031,2026/02/01,CUST-1031,Mechanical Keyboard RGB,2,66.97,US
ORD-000032,2026/02/02,CUST-1032,Wireless Mouse Silent,1,0.0,US
ORD-000033,2026/02/03,CUST-1033,Wireless Charger Pad,1,0.0,US
ORD-000034,2026/02/04,CUST-1034,Standing Desk Converter,2,0.0,US
ORD-000035,2026/02/05,CUST-1035,Stainless Steel Water Bottle,2,59.06,US
ORD-000036,2026/02/06,CUST-1036,4K Webcam Pro,1,89.75,US
ORD-000037,2026/02/07,CUST-1037,Bluetooth Speaker Mini,2,87.57,US
ORD-000038,2026/02/08,CUST-1038,Smart Watch Series 5,1,93.62,US
ORD-000039,2026/02/09,CUST-1039,Leather Wallet Classic,1,34.54,US
ORD-000040,2026/02/10,CUST-1040,Leather Wallet Classic,2,39.8,US
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,1,0.0,US
ORD-000042,2026/02/12,CUST-1042,Air Purifier Small,1,42.96,US
ORD-000043,2026/02/13,CUST-1043,Smart Watch Series 5,1,0.0,US
ORD-000044,2026/02/14,CUST-1044,Noise Cancelling Earbuds,1,86.71,US
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,2,68.64,US
ORD-000046,2026/02/16,CUST-1046,Stainless Steel Water Bottle,2,91.97,US
ORD-000047,2026/02/17,CUST-1047,Mechanical Keyboard RGB,1,32.44,US
ORD-000048,2026/02/18,CUST-1048,Bluetooth Speaker Mini,1,0.0,US
ORD-000049,2026/02/19,CUST-1049,Smart Watch Series 5,2,32.87,US
ORD-000050,2026/02/20,CUST-1050,Wireless Mouse Silent,1,73.92,US
ORD-000051,2026/02/21,CUST-1051,Stainless Steel Water Bottle,1,60.81,US
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,2,88.31,US
ORD-000053,2026/02/23,CUST-1053,Ergonomic Office Chair,2,36.72,US
ORD-000054,2026/02/24,CUST-1054,Organic Cotton T-Shirt,1,52.42,US
ORD-000055,2026/02/25,CUST-1055,Yoga Mat Premium,1,0.0,US
ORD-000056,2026/02/26,CUST-1056,Standing Desk Converter,2,0.0,US
ORD-000057,2026/02/27,CUST-1057,Smart Watch Series 5,1,0.0,US
ORD-000058,2026/02/28,CUST-1058,Mechanical Keyboard RGB,2,59.57,US
ORD-000059,2026/03/01,CUST-1059,Standing Desk Converter,2,32.05,US
ORD-000060,2026/03/02,CUST-1060,Noise Cancelling Earbuds,1,0.0,US
ORD-000061,2026/03/03,CUST-1061,Monitor Arm Dual,1,85.62,US
ORD-000062,2026/03/04,CUST-1062,External SSD 1TB,1,0.0,US
ORD-000063,2026/03/05,CUST-1063,Leather Wallet Classic,2,32.73,US
ORD-000064,2026/03/06,CUST-1064,4K Webcam Pro,2,0.0,US
ORD-000065,2026/03/07,CUST-1065,Mechanical Keyboard RGB,2,0.0,US
ORD-000066,2026/03/08,CUST-1066,Wireless Mouse Silent,2,0.0,US
ORD-000067,2026/03/09,CUST-1067,Running Shoes Elite,1,44.0,US
ORD-000068,2026/03/10,CUST-1068,Running Shoes Elite,1,49.28,US
ORD-000069,2026/03/11,CUST-1069,Standing Desk Converter,1,60.79,US
ORD-000070,2026/03/12,CUST-1070,Wireless Charger Pad,1,78.71,US
ORD-000071,2026/03/13,CUST-1071,Standing Desk Converter,2,0.0,US
ORD-000072,2026/03/14,CUST-1072,Yoga Mat Premium,1,45.95,US
ORD-000073,2026/03/15,CUST-1073,Stainless Steel Water Bottle,1,39.23,US
ORD-000074,2026/03/16,CUST-1074,Running Shoes Elite,1,93.14,US
ORD-000075,2026/03/17,CUST-1075,4K Webcam Pro,1,0.0,US
ORD-000076,2026/03/18,CUST-1076,4K Webcam Pro,1,0.0,US
ORD-000077,2026/03/19,CUST-1077,Yoga Mat Premium,2,65.64,US
ORD-000078,2026/03/20,CUST-1078,Noise Cancelling Earbuds,1,0.0,US
ORD-000079,2026/03/21,CUST-1079,Mechanical Keyboard RGB,2,0.0,US
ORD-000080,2026/03/22,CUST-1080,Wireless Mouse Silent,2,55.26,US
ORD-000081,2026/03/23,CUST-1081,Portable Power Bank,2,46.6,US
ORD-000082,2026/03/24,CUST-1082,Portable Power Bank,2,0.0,US
ORD-000083,2026/03/25,CUST-1083,Wireless Headphones Pro,1,0.0,US
ORD-000084,2026/03/26,CUST-1084,Leather Wallet Classic,2,79.76,US
ORD-000085,2026/03/27,CUST-1085,Standing Desk Converter,2,70.56,US
ORD-000086,2026/03/28,CUST-1086,Noise Cancelling Earbuds,1,57.42,US
ORD-000087,2026/03/29,CUST-1087,LED Desk Lamp,1,49.05,US
ORD-000088,2026/03/30,CUST-1088,Noise Cancelling Earbuds,2,62.12,US
ORD-000089,2026/03/31,CUST-1089,Running Shoes Elite,2,80.52,US
