order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Bluetooth Speaker Mini,2,86.05,US
ORD-000002,2026/01/03,CUST-1002,Wireless Charger Pad,2,21.75,US
ORD-000003,2026/01/04,CUST-1003,Wireless Charger Pad,3,88.62,US
ORD-000004,2026/01/05,CUST-1004,Noise Cancelling Earbuds,3,35.36,US
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,3,87.3,US
ORD-000006,2026/01/07,CUST-1006,Wireless Charger Pad,1,76.79,US
ORD-000007,2026/01/08,CUST-1007,Wireless Charger Pad,2,44.26,US
ORD-000008,2026/01/09,CUST-1008,Standing Desk Converter,1,41.85,US
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,1,22.65,US
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,1,79.42,US
ORD-000011,2026/01/12,CUST-1011,Standing Desk Converter,3,67.95,US
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,3,50.22,US
ORD-000013,2026/01/14,CUST-1013,Wireless Charger Pad,1,53.44,US
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,1,65.88,US
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,3,67.5,US
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,1,20.07,US
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,2,42.05,US
ORD-000018,2026/01/19,CUST-1018,Wireless Charger Pad,2,46.39,US
ORD-000019,2026/01/20,CUST-1019,Wireless Charger Pad,1,26.18,US
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,3,26.55,US
ORD-000021,2026/01/22,CUST-1021,Wireless Charger Pad,3,71.69,US
ORD-000022,2026/01/23,CUST-1022,Wireless Charger Pad,2,66.21,US
ORD-000023,2026/01/24,CUST-1023,Wireless Charger Pad,3,46.48,US
ORD-000024,2026/01/25,CUST-1024,Wireless Charger Pad,3,51.19,US
ORD-000025,2026/01/26,CUST-1025,Wireless Charger Pad,3,61.56,US
ORD-000026,2026/01/27,CUST-1026,LED Desk Lamp,1,58.0,US
ORD-000027,2026/01/28,CUST-1027,Wireless Charger Pad,3,46.05,US
ORD-000028,2026/01/29,CUST-1028,Wireless Charger Pad,1,76.03,US
ORD-000029,2026/01/30,CUST-1029,Wireless Mouse Silent,3,28.77,US
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,3,88.63,US
ORD-000031,2026/02/01,CUST-1031,Wireless Charger Pad,1,43.29,US
ORD-000032,2026/02/02,CUST-1032,Wireless Mouse Silent,3,42.23,US
ORD-000033,2026/02/03,CUST-1033,Wireless Charger Pad,2,45.73,US
