order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,5,59.86,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,5,110.92,BR
ORD-000003,2026/01/04,CUST-1003,4K Webcam Pro,3,236.65,JP
ORD-000004,2026/01/05,CUST-1004,Portable Power Bank,2,150.24,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,3,92.65,IN
ORD-000006,2026/01/07,CUST-1006,External SSD 1TB,3,281.58,CN
ORD-000007,2026/01/08,CUST-1007,Wireless Charger Pad,3,38.19,JP
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,3,120.82,AU
ORD-000009,2026/01/10,CUST-1009,Running Shoes Elite,5,128.32,JP
ORD-000010,2026/01/11,CUST-1010,Noise Cancelling Earbuds,2,81.56,UK
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,1,33.88,BR
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,5,39.03,UK
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,2,257.93,FR
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,4,200.43,CN
ORD-000015,2026/01/16,CUST-1015,LED Desk Lamp,1,64.02,CA
ORD-000016,2026/01/17,CUST-1016,Air Purifier Small,2,99.82,JP
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,2,122.76,FR
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,1,67.84,AU
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,1,251.33,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,3,130.0,CA
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,1,144.93,DE
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,4,104.33,UK
ORD-000023,2026/01/24,CUST-1023,Ergonomic Office Chair,5,58.54,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,2,274.96,JP
ORD-000025,2026/01/26,CUST-1025,Running Shoes Elite,4,106.7,JP
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,2,262.63,US
ORD-000027,2026/01/28,CUST-1027,Wireless Mouse Silent,1,138.78,IN
ORD-000028,2026/01/29,CUST-1028,Ergonomic Office Chair,5,218.55,BR
ORD-000029,2026/01/30,CUST-1029,Yoga Mat Premium,5,164.48,CA
ORD-000030,2026/01/31,CUST-1030,Monitor Arm Dual,2,176.24,DE
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,2,49.99,JP
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,4,264.67,UK
ORD-000033,2026/02/03,CUST-1033,Running Shoes Elite,5,233.37,CN
ORD-000034,2026/02/04,CUST-1034,Leather Wallet Classic,1,254.96,JP
ORD-000035,2026/02/05,CUST-1035,Yoga Mat Premium,4,134.79,BR
ORD-000036,2026/02/06,CUST-1036,Noise Cancelling Earbuds,4,297.59,UK
ORD-000037,2026/02/07,CUST-1037,Portable Power Bank,2,38.97,US
ORD-000038,2026/02/08,CUST-1038,Wireless Charger Pad,3,119.12,US
ORD-000039,2026/02/09,CUST-1039,Monitor Arm Dual,4,282.83,JP
ORD-000040,2026/02/10,CUST-1040,4K Webcam Pro,2,112.19,JP
