order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Smart Watch Series 5,1,37.36,US
ORD-000002,2026/01/03,CUST-1002,Wireless Mouse Silent,2,24.62,US
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,1,34.22,US
ORD-000004,2026/01/05,CUST-1004,Standing Desk Converter,2,15.66,US
ORD-000005,2026/01/06,CUST-1005,Bluetooth Speaker Mini,2,38.22,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,29.95,US
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,1,24.52,US
ORD-000008,2026/01/09,CUST-1008,External SSD 1TB,1,16.89,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,2,19.23,US
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,2,34.38,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,2,30.61,US
ORD-000012,2026/01/13,CUST-1012,Portable Power Bank,1,17.9,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,2,38.9,US
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,2,20.59,US
ORD-000015,2026/01/16,CUST-1015,Running Shoes Elite,2,33.29,US
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,1,19.85,US
ORD-000017,2026/01/18,CUST-1017,Smart Watch Series 5,2,12.2,US
ORD-000018,2026/01/19,CUST-1018,Mechanical Keyboard RGB,2,19.42,US
ORD-000019,2026/01/20,CUST-1019,External SSD 1TB,1,16.91,US
ORD-000020,2026/01/21,CUST-1020,Standing Desk Converter,2,24.73,US
ORD-000021,2026/01/22,CUST-1021,External SSD 1TB,2,26.35,US
ORD-000022,2026/01/23,CUST-1022,Smart Watch Series 5,2,31.52,US
ORD-000023,2026/01/24,CUST-1023,Mechanical Keyboard RGB,1,23.31,US
