order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,瑜伽垫高级,1,153.54,CN
ORD-000002,2026/01/03,CUST-1002,跑鞋精英版,1,101.71,CN
ORD-000003,2026/01/04,CUST-1003,瑜伽垫高级,2,90.08,CN
ORD-000004,2026/01/05,CUST-1004,无线耳机Pro,2,165.58,CN
ORD-000005,2026/01/06,CUST-1005,降噪耳机,2,139.94,CN
ORD-000006,2026/01/07,CUST-1006,蓝牙音箱Mini,1,120.94,CN
ORD-000007,2026/01/08,CUST-1007,蓝牙音箱Mini,3,41.38,CN
ORD-000008,2026/01/09,CUST-1008,智能手表5代,3,83.2,CN
ORD-000009,2026/01/10,CUST-1009,跑鞋精英版,3,199.16,CN
ORD-000010,2026/01/11,CUST-1010,皮革钱包,3,163.96,CN
ORD-000011,2026/01/12,CUST-1011,无线耳机Pro,1,75.13,CN
ORD-000012,2026/01/13,CUST-1012,跑鞋精英版,3,83.05,CN
ORD-000013,2026/01/14,CUST-1013,智能手表5代,1,156.73,CN
ORD-000014,2026/01/15,CUST-1014,降噪耳机,2,81.2,CN
ORD-000015,2026/01/16,CUST-1015,降噪耳机,1,186.17,CN
ORD-000016,2026/01/17,CUST-1016,瑜伽垫高级,1,129.6,CN
ORD-000017,2026/01/18,CUST-1017,降噪耳机,3,45.09,CN
ORD-000018,2026/01/19,CUST-1018,无线耳机Pro,1,179.23,CN
ORD-000019,2026/01/20,CUST-1019,皮革钱包,3,174.38,CN
ORD-000020,2026/01/21,CUST-1020,有机棉T恤,2,80.0,CN
ORD-000021,2026/01/22,CUST-1021,智能手表5代,1,65.79,CN
ORD-000022,2026/01/23,CUST-1022,跑鞋精英版,2,198.52,CN
ORD-000023,2026/01/24,CUST-1023,蓝牙音箱Mini,1,168.82,CN
ORD-000024,2026/01/25,CUST-1024,皮革钱包,3,127.21,CN
ORD-000025,2026/01/26,CUST-1025,皮革钱包,3,185.3,CN
ORD-000026,2026/01/27,CUST-1026,无线充电器,3,97.89,CN
ORD-000027,2026/01/28,CUST-1027,瑜伽垫高级,2,51.51,CN
ORD-000028,2026/01/29,CUST-1028,瑜伽垫高级,1,196.74,CN
ORD-000029,2026/01/30,CUST-1029,跑鞋精英版,2,197.9,CN
ORD-000030,2026/01/31,CUST-1030,无线耳机Pro,2,32.02,CN
ORD-000031,2026/02/01,CUST-1031,皮革钱包,1,96.8,CN
ORD-000032,2026/02/02,CUST-1032,瑜伽垫高级,1,113.65,CN
ORD-000033,2026/02/03,CUST-1033,皮革钱包,1,108.96,CN
ORD-000034,2026/02/04,CUST-1034,跑鞋精英版,1,96.9,CN
ORD-000035,2026/02/05,CUST-1035,降噪耳机,3,140.01,CN
ORD-000036,2026/02/06,CUST-1036,无线充电器,2,44.84,CN
ORD-000037,2026/02/07,CUST-1037,降噪耳机,2,188.55,CN
ORD-000038,2026/02/08,CUST-1038,跑鞋精英版,3,173.41,CN
ORD-000039,2026/02/09,CUST-1039,有机棉T恤,2,49.22,CN
ORD-000040,2026/02/10,CUST-1040,蓝牙音箱Mini,3,80.85,CN
ORD-000041,2026/02/11,CUST-1041,无线耳机Pro,2,152.73,CN
ORD-000042,2026/02/12,CUST-1042,蓝牙音箱Mini,1,69.19,CN
ORD-000043,2026/02/13,CUST-1043,无线充电器,2,122.66,CN
ORD-000044,2026/02/14,CUST-1044,智能手表5代,1,137.0,CN
ORD-000045,2026/02/15,CUST-1045,无线充电器,1,150.7,CN
ORD-000046,2026/02/16,CUST-1046,跑鞋精英版,1,66.6,CN
ORD-000047,2026/02/17,CUST-1047,有机棉T恤,2,154.97,CN
ORD-000048,2026/02/18,CUST-1048,无线耳机Pro,3,122.26,CN
ORD-000049,2026/02/19,CUST-1049,蓝牙音箱Mini,1,61.59,CN
ORD-000050,2026/02/20,CUST-1050,跑鞋精英版,1,189.48,CN
ORD-000051,2026/02/21,CUST-1051,蓝牙音箱Mini,3,33.22,CN
ORD-000052,2026/02/22,CUST-1052,瑜伽垫高级,2,175.07,CN
ORD-000053,2026/02/23,CUST-1053,智能手表5代,2,35.17,CN
ORD-000054,2026/02/24,CUST-1054,不锈钢保温杯,3,145.22,CN
ORD-000055,2026/02/25,CUST-1055,跑鞋精英版,1,55.72,CN
ORD-000056,2026/02/26,CUST-1056,蓝牙音箱Mini,3,30.48,CN
ORD-000057,2026/02/27,CUST-1057,蓝牙音箱Mini,2,168.19,CN
ORD-000058,2026/02/28,CUST-1058,无线充电器,2,47.51,CN
ORD-000059,2026/03/01,CUST-1059,降噪耳机,1,126.22,CN
ORD-000060,2026/03/02,CUST-1060,蓝牙音箱Mini,2,189.63,CN
ORD-000061,2026/03/03,CUST-1061,无线充电器,2,170.11,CN
ORD-000062,2026/03/04,CUST-1062,降噪耳机,2,41.97,CN
ORD-000063,2026/03/05,CUST-1063,不锈钢保温杯,1,178.57,CN
