order_id,date,customer_id,product_name,quantity,price,country
ORD-0001,2026/01/01,CUST-1000,Smart Watch,4,98.13,FR
ORD-0002,2026/01/02,CUST-1001,Desk Lamp,2,101.85,US
ORD-0003,2026/01/03,CUST-1002,Laptop Stand,1,246.73,US
ORD-0004,2026/01/04,CUST-1003,Smart Watch,5,277.51,FR
ORD-0005,2026/01/05,CUST-1004,Running Shoes,1,113.13,FR
ORD-0006,2026/01/06,CUST-1005,Smart Watch,1,209.74,US
ORD-0007,2026/01/07,CUST-1006,Wireless Headphones,3,96.09,CA
ORD-0008,2026/01/08,CUST-1007,Water Bottle,5,61.79,CA
ORD-0009,2026/01/09,CUST-1008,Backpack,5,229.25,FR
ORD-0010,2026/01/10,CUST-1009,Yoga Mat,4,16.78,AU
ORD-0011,2026/01/11,CUST-1010,Running Shoes,2,86.57,UK
ORD-0012,2026/01/12,CUST-1011,Laptop Stand,4,260.51,US
ORD-0013,2026/01/13,CUST-1012,Yoga Mat,3,268.05,CA
ORD-0014,2026/01/14,CUST-1013,Smart Watch,2,11.91,DE
ORD-0015,2026/01/15,CUST-1014,Bluetooth Speaker,2,239.3,UK
ORD-0016,2026/01/16,CUST-1015,Wireless Headphones,1,71.03,JP
ORD-0017,2026/01/17,CUST-1016,Backpack,1,286.73,CA
ORD-0018,2026/01/18,CUST-1017,Phone Case,3,282.97,DE
ORD-0019,2026/01/19,CUST-1018,Running Shoes,2,188.82,DE
ORD-0020,2026/01/20,CUST-1019,Bluetooth Speaker,5,13.3,US
ORD-0021,2026/01/21,CUST-1020,Smart Watch,2,100.41,US
ORD-0022,2026/01/22,CUST-1021,Running Shoes,4,108.38,AU
ORD-0023,2026/01/23,CUST-1022,Smart Watch,4,208.41,CA
ORD-0024,2026/01/24,CUST-1023,Sunglasses,5,262.7,US
ORD-0025,2026/01/25,CUST-1024,Sunglasses,4,228.94,UK
ORD-0026,2026/01/26,CUST-1025,Wireless Headphones,4,284.72,US
ORD-0027,2026/01/27,CUST-1026,Running Shoes,2,63.74,DE
ORD-0028,2026/01/28,CUST-1027,Coffee Maker,2,172.24,FR
ORD-0029,2026/01/29,CUST-1028,Sunglasses,4,185.27,DE
ORD-0030,2026/01/30,CUST-1029,Bluetooth Speaker,1,161.35,US
ORD-0031,2026/01/31,CUST-1030,Wireless Headphones,2,284.47,UK
ORD-0032,2026/02/01,CUST-1031,Phone Case,1,235.05,JP
ORD-0033,2026/02/02,CUST-1032,Laptop Stand,1,231.13,JP
ORD-0034,2026/02/03,CUST-1033,Sunglasses,4,72.57,US
ORD-0035,2026/02/04,CUST-1034,Water Bottle,1,180.9,FR
ORD-0036,2026/02/05,CUST-1035,Water Bottle,4,127.42,FR
ORD-0037,2026/02/06,CUST-1036,Bluetooth Speaker,4,62.86,UK
ORD-0038,2026/02/07,CUST-1037,Water Bottle,2,157.3,FR
ORD-0039,2026/02/08,CUST-1038,Sunglasses,4,181.24,CA
ORD-0040,2026/02/09,CUST-1039,Backpack,3,96.08,CA
ORD-0041,2026/02/10,CUST-1040,Coffee Maker,4,86.57,FR
ORD-0042,2026/02/11,CUST-1041,Bluetooth Speaker,2,165.62,CA
ORD-0043,2026/02/12,CUST-1042,Yoga Mat,5,209.41,JP
ORD-0044,2026/02/13,CUST-1043,Phone Case,3,27.04,CA
ORD-0045,2026/02/14,CUST-1044,Running Shoes,3,287.16,AU
ORD-0046,2026/02/15,CUST-1045,Laptop Stand,1,55.52,US
ORD-0047,2026/02/16,CUST-1046,Running Shoes,2,183.27,UK
ORD-0048,2026/02/17,CUST-1047,Desk Lamp,4,142.78,JP
ORD-0049,2026/02/18,CUST-1048,Desk Lamp,2,150.07,DE
ORD-0050,2026/02/19,CUST-1049,Running Shoes,2,263.51,JP
ORD-0051,2026/02/20,CUST-1000,Running Shoes,3,178.76,CA
ORD-0052,2026/02/21,CUST-1001,Smart Watch,1,176.71,DE
ORD-0053,2026/02/22,CUST-1002,Smart Watch,3,161.07,UK
ORD-0054,2026/02/23,CUST-1003,Yoga Mat,4,155.94,AU
ORD-0055,2026/02/24,CUST-1004,Yoga Mat,1,121.59,DE
ORD-0056,2026/02/25,CUST-1005,Desk Lamp,2,122.78,CA
ORD-0057,2026/02/26,CUST-1006,Smart Watch,1,279.62,CA
ORD-0058,2026/02/27,CUST-1007,Wireless Headphones,2,252.35,FR
ORD-0059,2026/02/28,CUST-1008,Running Shoes,5,236.68,DE
ORD-0060,2026/03/01,CUST-1009,Coffee Maker,1,39.71,US
ORD-0061,2026/03/02,CUST-1010,Desk Lamp,5,248.53,FR
ORD-0062,2026/03/03,CUST-1011,Wireless Headphones,1,120.22,US
ORD-0063,2026/03/04,CUST-1012,Yoga Mat,4,236.59,US
ORD-0064,2026/03/05,CUST-1013,Wireless Headphones,1,252.43,AU
ORD-0065,2026/03/06,CUST-1014,Running Shoes,3,217.59,FR
ORD-0066,2026/03/07,CUST-1015,Smart Watch,4,143.08,UK
ORD-0067,2026/03/08,CUST-1016,Sunglasses,2,200.93,FR
ORD-0068,2026/03/09,CUST-1017,Sunglasses,5,297.88,JP
ORD-0069,2026/03/10,CUST-1018,Smart Watch,3,79.75,AU
ORD-0070,2026/03/11,CUST-1019,Running Shoes,2,204.5,UK
ORD-0071,2026/03/12,CUST-1020,Smart Watch,1,129.26,US
ORD-0072,2026/03/13,CUST-1021,Smart Watch,5,270.98,JP
ORD-0073,2026/03/14,CUST-1022,Coffee Maker,4,39.08,UK
ORD-0074,2026/03/15,CUST-1023,Wireless Headphones,1,85.67,UK
ORD-0075,2026/03/16,CUST-1024,Backpack,4,292.43,DE
ORD-0076,2026/03/17,CUST-1025,Yoga Mat,1,137.57,UK
ORD-0077,2026/03/18,CUST-1026,Bluetooth Speaker,3,291.25,CA
ORD-0078,2026/03/19,CUST-1027,Phone Case,2,260.28,FR
ORD-0079,2026/03/20,CUST-1028,Water Bottle,5,55.52,FR
ORD-0080,2026/03/21,CUST-1029,Coffee Maker,4,217.48,FR
ORD-0081,2026/03/22,CUST-1030,Yoga Mat,5,256.43,FR
ORD-0082,2026/03/23,CUST-1031,Laptop Stand,1,67.17,FR
ORD-0083,2026/03/24,CUST-1032,Backpack,3,172.03,AU
ORD-0084,2026/03/25,CUST-1033,Sunglasses,3,133.5,AU
ORD-0085,2026/03/26,CUST-1034,Running Shoes,4,260.61,DE
ORD-0086,2026/03/27,CUST-1035,Laptop Stand,3,231.56,DE
ORD-0087,2026/03/28,CUST-1036,Bluetooth Speaker,1,245.0,JP
ORD-0088,2026/03/29,CUST-1037,Running Shoes,2,130.72,FR
ORD-0089,2026/03/30,CUST-1038,Coffee Maker,4,130.46,JP
ORD-0090,2026/03/31,CUST-1039,Water Bottle,2,154.26,JP
ORD-0091,2026/04/01,CUST-1040,Wireless Headphones,4,24.5,JP
ORD-0092,2026/04/02,CUST-1041,Phone Case,4,21.3,UK
ORD-0093,2026/04/03,CUST-1042,Bluetooth Speaker,3,39.51,DE
ORD-0094,2026/04/04,CUST-1043,Coffee Maker,3,250.0,FR
ORD-0095,2026/04/05,CUST-1044,Backpack,3,13.18,JP
ORD-0096,2026/04/06,CUST-1045,Running Shoes,4,14.53,US
ORD-0097,2026/04/07,CUST-1046,Wireless Headphones,5,85.2,US
ORD-0098,2026/04/08,CUST-1047,Backpack,4,150.37,US
ORD-0099,2026/04/09,CUST-1048,Sunglasses,5,131.03,AU
ORD-0100,2026/04/10,CUST-1049,Sunglasses,2,20.81,JP
ORD-0101,2026/04/11,CUST-1000,Sunglasses,2,254.94,DE
ORD-0102,2026/04/12,CUST-1001,Wireless Headphones,4,35.01,DE
ORD-0103,2026/04/13,CUST-1002,Backpack,2,247.51,CA
ORD-0104,2026/04/14,CUST-1003,Wireless Headphones,1,114.52,UK
ORD-0105,2026/04/15,CUST-1004,Smart Watch,2,198.53,UK
ORD-0106,2026/04/16,CUST-1005,Water Bottle,1,227.03,AU
ORD-0107,2026/04/17,CUST-1006,Running Shoes,4,33.68,JP
ORD-0108,2026/04/18,CUST-1007,Desk Lamp,2,151.04,FR
ORD-0109,2026/04/19,CUST-1008,Water Bottle,1,115.3,DE
ORD-0110,2026/04/20,CUST-1009,Wireless Headphones,5,13.98,CA
ORD-0111,2026/04/21,CUST-1010,Water Bottle,1,153.53,FR
ORD-0112,2026/04/22,CUST-1011,Sunglasses,1,271.12,DE
ORD-0113,2026/04/23,CUST-1012,Yoga Mat,4,223.7,DE
ORD-0114,2026/04/24,CUST-1013,Phone Case,5,291.89,AU
ORD-0115,2026/04/25,CUST-1014,Desk Lamp,3,183.17,JP
ORD-0116,2026/04/26,CUST-1015,Running Shoes,5,188.79,AU
ORD-0117,2026/04/27,CUST-1016,Smart Watch,3,171.64,US
ORD-0118,2026/04/28,CUST-1017,Water Bottle,4,67.08,FR
ORD-0119,2026/04/29,CUST-1018,Sunglasses,1,23.23,FR
ORD-0120,2026/04/30,CUST-1019,Water Bottle,5,152.04,FR
ORD-0121,2026/05/01,CUST-1020,Sunglasses,4,20.14,JP
ORD-0122,2026/05/02,CUST-1021,Smart Watch,2,271.14,JP
ORD-0123,2026/05/03,CUST-1022,Wireless Headphones,5,167.34,US
ORD-0124,2026/05/04,CUST-1023,Wireless Headphones,4,270.37,AU
ORD-0125,2026/05/05,CUST-1024,Desk Lamp,3,299.55,US
ORD-0126,2026/05/06,CUST-1025,Bluetooth Speaker,1,151.12,JP
ORD-0127,2026/05/07,CUST-1026,Smart Watch,4,11.43,CA
ORD-0128,2026/05/08,CUST-1027,Wireless Headphones,4,33.13,FR
ORD-0129,2026/05/09,CUST-1028,Bluetooth Speaker,3,140.0,JP
ORD-0130,2026/05/10,CUST-1029,Backpack,1,250.04,DE
ORD-0131,2026/05/11,CUST-1030,Bluetooth Speaker,3,98.58,CA
ORD-0132,2026/05/12,CUST-1031,Sunglasses,3,40.78,UK
ORD-0133,2026/05/13,CUST-1032,Smart Watch,2,193.8,DE
ORD-0134,2026/05/14,CUST-1033,Sunglasses,4,105.31,JP
ORD-0135,2026/05/15,CUST-1034,Sunglasses,1,295.91,UK
ORD-0136,2026/05/16,CUST-1035,Coffee Maker,1,167.17,UK
ORD-0137,2026/05/17,CUST-1036,Water Bottle,1,24.06,DE
ORD-0138,2026/05/18,CUST-1037,Laptop Stand,3,298.17,JP
ORD-0139,2026/05/19,CUST-1038,Desk Lamp,1,22.44,JP
ORD-0140,2026/05/20,CUST-1039,Laptop Stand,5,106.8,UK
ORD-0141,2026/05/21,CUST-1040,Desk Lamp,4,107.16,UK
ORD-0142,2026/05/22,CUST-1041,Backpack,1,228.39,JP
ORD-0143,2026/05/23,CUST-1042,Sunglasses,2,289.47,US
ORD-0144,2026/05/24,CUST-1043,Laptop Stand,1,16.54,CA
ORD-0145,2026/05/25,CUST-1044,Water Bottle,4,290.32,US
ORD-0146,2026/05/26,CUST-1045,Yoga Mat,2,233.79,CA
ORD-0147,2026/05/27,CUST-1046,Smart Watch,1,186.99,DE
ORD-0148,2026/05/28,CUST-1047,Coffee Maker,4,79.24,DE
ORD-0149,2026/05/29,CUST-1048,Coffee Maker,3,150.65,CA
ORD-0150,2026/05/30,CUST-1049,Sunglasses,4,206.56,UK
