order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Water Bottle 💧,3,42.87,US
ORD-000002,2026/01/03,CUST-1002,Sneakers 👟,2,44.37,US
ORD-000003,2026/01/04,CUST-1003,Water Bottle 💧,1,80.45,US
ORD-000004,2026/01/05,CUST-1004,Wireless Headphones 🎧,2,71.23,US
ORD-000005,2026/01/06,CUST-1005,Wireless Headphones 🎧,1,56.31,US
ORD-000006,2026/01/07,CUST-1006,Yoga Mat 🧘,1,28.46,US
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones 🎧,3,38.24,US
ORD-000008,2026/01/09,CUST-1008,Water Bottle 💧,2,23.32,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat 🧘,1,72.74,US
ORD-000010,2026/01/11,CUST-1010,Coffee ☕,2,50.74,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat 🧘,1,85.35,US
ORD-000012,2026/01/13,CUST-1012,T-Shirt 👕,2,49.81,US
ORD-000013,2026/01/14,CUST-1013,T-Shirt 👕,2,71.97,US
ORD-000014,2026/01/15,CUST-1014,Sneakers 👟,3,70.33,US
ORD-000015,2026/01/16,CUST-1015,Water Bottle 💧,1,56.54,US
ORD-000016,2026/01/17,CUST-1016,T-Shirt 👕,1,29.14,US
ORD-000017,2026/01/18,CUST-1017,Water Bottle 💧,3,56.46,US
ORD-000018,2026/01/19,CUST-1018,Water Bottle 💧,1,97.17,US
ORD-000019,2026/01/20,CUST-1019,Sneakers 👟,1,80.46,US
ORD-000020,2026/01/21,CUST-1020,Sneakers 👟,3,83.7,US
ORD-000021,2026/01/22,CUST-1021,T-Shirt 👕,1,59.49,US
ORD-000022,2026/01/23,CUST-1022,T-Shirt 👕,3,45.88,US
ORD-000023,2026/01/24,CUST-1023,Water Bottle 💧,2,61.66,US
ORD-000024,2026/01/25,CUST-1024,Sneakers 👟,2,25.68,US
ORD-000025,2026/01/26,CUST-1025,Coffee ☕,1,28.18,US
ORD-000026,2026/01/27,CUST-1026,T-Shirt 👕,2,56.89,US
ORD-000027,2026/01/28,CUST-1027,Coffee ☕,1,89.04,US
ORD-000028,2026/01/29,CUST-1028,Wireless Headphones 🎧,2,46.59,US
ORD-000029,2026/01/30,CUST-1029,Yoga Mat 🧘,2,45.64,US
ORD-000030,2026/01/31,CUST-1030,Yoga Mat 🧘,3,88.6,US
ORD-000031,2026/02/01,CUST-1031,Coffee ☕,2,79.87,US
ORD-000032,2026/02/02,CUST-1032,Yoga Mat 🧘,1,59.74,US
ORD-000033,2026/02/03,CUST-1033,Water Bottle 💧,3,35.68,US
ORD-000034,2026/02/04,CUST-1034,Sneakers 👟,2,84.76,US
ORD-000035,2026/02/05,CUST-1035,Sneakers 👟,3,80.7,US
ORD-000036,2026/02/06,CUST-1036,Wireless Headphones 🎧,1,41.65,US
ORD-000037,2026/02/07,CUST-1037,Sneakers 👟,2,49.89,US
ORD-000038,2026/02/08,CUST-1038,Water Bottle 💧,2,57.88,US
ORD-000039,2026/02/09,CUST-1039,T-Shirt 👕,2,43.44,US
ORD-000040,2026/02/10,CUST-1040,Coffee ☕,2,70.54,US
ORD-000041,2026/02/11,CUST-1041,Yoga Mat 🧘,1,45.07,US
ORD-000042,2026/02/12,CUST-1042,Sneakers 👟,2,29.64,US
ORD-000043,2026/02/13,CUST-1043,T-Shirt 👕,1,32.19,US
ORD-000044,2026/02/14,CUST-1044,T-Shirt 👕,3,20.05,US
ORD-000045,2026/02/15,CUST-1045,Wireless Headphones 🎧,2,79.18,US
ORD-000046,2026/02/16,CUST-1046,Wireless Headphones 🎧,2,67.74,US
ORD-000047,2026/02/17,CUST-1047,Yoga Mat 🧘,2,22.65,US
ORD-000048,2026/02/18,CUST-1048,Yoga Mat 🧘,2,31.19,US
ORD-000049,2026/02/19,CUST-1049,Water Bottle 💧,1,60.29,US
ORD-000050,2026/02/20,CUST-1050,Water Bottle 💧,3,59.13,US
ORD-000051,2026/02/21,CUST-1051,Yoga Mat 🧘,1,41.17,US
ORD-000052,2026/02/22,CUST-1052,Yoga Mat 🧘,2,48.31,US
ORD-000053,2026/02/23,CUST-1053,Water Bottle 💧,2,56.48,US
ORD-000054,2026/02/24,CUST-1054,Yoga Mat 🧘,1,29.91,US
