ORD-000001,2026/01/02,CUST-1001,Wireless Charger Pad,4,223.59,BR
ORD-000002,2026/01/03,CUST-1002,Running Shoes Elite,4,171.49,UK
ORD-000003,2026/01/04,CUST-1003,Wireless Mouse Silent,1,62.15,UK
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,1,237.67,FR
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,2,199.48,DE
ORD-000006,2026/01/07,CUST-1006,Monitor Arm Dual,1,126.18,UK
ORD-000007,2026/01/08,CUST-1007,LED Desk Lamp,5,284.94,DE
ORD-000008,2026/01/09,CUST-1008,External SSD 1TB,4,108.92,FR
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,3,179.11,AU
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,4,176.44,BR
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,1,49.68,DE
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,5,155.92,DE
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,1,238.57,AU
ORD-000014,2026/01/15,CUST-1014,Leather Wallet Classic,1,138.37,US
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,1,225.47,CN
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,3,206.34,AU
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,5,150.38,BR
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,2,102.97,IN
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,2,114.74,AU
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,1,45.79,IN
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,2,108.81,UK
ORD-000022,2026/01/23,CUST-1022,Wireless Headphones Pro,2,139.32,AU
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,2,191.29,UK
ORD-000024,2026/01/25,CUST-1024,Yoga Mat Premium,2,270.67,CA
ORD-000025,2026/01/26,CUST-1025,External SSD 1TB,4,187.29,IN
ORD-000026,2026/01/27,CUST-1026,External SSD 1TB,1,75.86,UK
ORD-000027,2026/01/28,CUST-1027,External SSD 1TB,3,105.37,JP
ORD-000028,2026/01/29,CUST-1028,LED Desk Lamp,5,32.01,FR
ORD-000029,2026/01/30,CUST-1029,Bluetooth Speaker Mini,4,105.52,IN
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,3,128.98,DE
ORD-000031,2026/02/01,CUST-1031,Standing Desk Converter,3,77.8,IN
ORD-000032,2026/02/02,CUST-1032,Running Shoes Elite,2,70.53,BR
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,3,118.89,FR
ORD-000034,2026/02/04,CUST-1034,Smart Watch Series 5,5,69.99,IN
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,3,142.03,CA
ORD-000036,2026/02/06,CUST-1036,Wireless Charger Pad,3,128.13,FR
ORD-000037,2026/02/07,CUST-1037,Smart Watch Series 5,1,245.06,US
ORD-000038,2026/02/08,CUST-1038,Air Purifier Small,4,197.98,JP
ORD-000039,2026/02/09,CUST-1039,External SSD 1TB,4,215.53,UK
ORD-000040,2026/02/10,CUST-1040,Leather Wallet Classic,2,207.97,FR
ORD-000041,2026/02/11,CUST-1041,Bluetooth Speaker Mini,4,294.89,FR
ORD-000042,2026/02/12,CUST-1042,Running Shoes Elite,5,149.23,BR
ORD-000043,2026/02/13,CUST-1043,Wireless Charger Pad,4,30.56,UK
ORD-000044,2026/02/14,CUST-1044,Standing Desk Converter,2,118.21,DE
ORD-000045,2026/02/15,CUST-1045,Mechanical Keyboard RGB,5,63.72,FR
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,2,130.32,BR
ORD-000047,2026/02/17,CUST-1047,Organic Cotton T-Shirt,2,175.86,AU
ORD-000048,2026/02/18,CUST-1048,Mechanical Keyboard RGB,3,273.87,UK
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,3,285.64,JP
ORD-000050,2026/02/20,CUST-1050,Mechanical Keyboard RGB,2,146.98,CN
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,2,137.86,CN
ORD-000052,2026/02/22,CUST-1052,4K Webcam Pro,1,289.0,CA
ORD-000053,2026/02/23,CUST-1053,Stainless Steel Water Bottle,2,77.4,UK
ORD-000054,2026/02/24,CUST-1054,Wireless Headphones Pro,4,40.41,BR
ORD-000055,2026/02/25,CUST-1055,Running Shoes Elite,2,79.4,IN
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,3,108.12,UK
ORD-000057,2026/02/27,CUST-1057,Bluetooth Speaker Mini,2,289.34,BR
ORD-000058,2026/02/28,CUST-1058,Organic Cotton T-Shirt,4,83.08,UK
ORD-000059,2026/03/01,CUST-1059,Standing Desk Converter,5,212.65,US
ORD-000060,2026/03/02,CUST-1060,Air Purifier Small,3,104.29,CA
ORD-000061,2026/03/03,CUST-1061,Wireless Charger Pad,2,30.65,UK
ORD-000062,2026/03/04,CUST-1062,Air Purifier Small,5,131.7,US
ORD-000063,2026/03/05,CUST-1063,Air Purifier Small,3,66.69,AU
ORD-000064,2026/03/06,CUST-1064,LED Desk Lamp,1,32.14,CN
ORD-000065,2026/03/07,CUST-1065,Running Shoes Elite,1,127.28,DE
ORD-000066,2026/03/08,CUST-1066,Smart Watch Series 5,2,209.64,DE
ORD-000067,2026/03/09,CUST-1067,Air Purifier Small,3,117.76,IN
ORD-000068,2026/03/10,CUST-1068,Running Shoes Elite,5,143.34,US
ORD-000069,2026/03/11,CUST-1069,External SSD 1TB,4,297.64,US
ORD-000070,2026/03/12,CUST-1070,Organic Cotton T-Shirt,3,182.35,US
ORD-000071,2026/03/13,CUST-1071,Bluetooth Speaker Mini,5,34.21,AU
ORD-000072,2026/03/14,CUST-1072,Monitor Arm Dual,1,170.43,UK
ORD-000073,2026/03/15,CUST-1073,LED Desk Lamp,3,132.24,IN
ORD-000074,2026/03/16,CUST-1074,Organic Cotton T-Shirt,5,176.91,BR
ORD-000075,2026/03/17,CUST-1075,Air Purifier Small,3,36.44,US
ORD-000076,2026/03/18,CUST-1076,Air Purifier Small,2,260.35,DE
ORD-000077,2026/03/19,CUST-1077,Wireless Headphones Pro,3,192.24,DE
ORD-000078,2026/03/20,CUST-1078,Wireless Headphones Pro,3,182.46,FR
ORD-000079,2026/03/21,CUST-1079,Stainless Steel Water Bottle,4,218.62,FR
ORD-000080,2026/03/22,CUST-1080,Stainless Steel Water Bottle,2,258.12,JP
ORD-000081,2026/03/23,CUST-1081,Wireless Headphones Pro,5,263.02,UK
ORD-000082,2026/03/24,CUST-1082,Mechanical Keyboard RGB,4,111.3,BR
ORD-000083,2026/03/25,CUST-1083,LED Desk Lamp,3,295.49,DE
ORD-000084,2026/03/26,CUST-1084,Monitor Arm Dual,4,232.37,US
ORD-000085,2026/03/27,CUST-1085,4K Webcam Pro,1,261.93,CA
ORD-000086,2026/03/28,CUST-1086,Portable Power Bank,1,263.88,JP
ORD-000087,2026/03/29,CUST-1087,Leather Wallet Classic,3,79.64,FR
ORD-000088,2026/03/30,CUST-1088,Wireless Headphones Pro,4,151.21,BR
ORD-000089,2026/03/31,CUST-1089,Mechanical Keyboard RGB,4,44.9,JP
