order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Yoga Mat 🧘,2,40.19,US
ORD-000002,2026/01/03,CUST-1002,T-Shirt 👕,3,77.61,US
ORD-000003,2026/01/04,CUST-1003,Coffee ☕,2,75.67,US
ORD-000004,2026/01/05,CUST-1004,Yoga Mat 🧘,2,25.16,US
ORD-000005,2026/01/06,CUST-1005,Yoga Mat 🧘,3,40.71,US
ORD-000006,2026/01/07,CUST-1006,Water Bottle 💧,2,35.75,US
ORD-000007,2026/01/08,CUST-1007,Water Bottle 💧,1,65.31,US
ORD-000008,2026/01/09,CUST-1008,Yoga Mat 🧘,3,43.83,US
ORD-000009,2026/01/10,CUST-1009,Sneakers 👟,3,94.23,US
ORD-000010,2026/01/11,CUST-1010,Sneakers 👟,3,88.91,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat 🧘,3,37.32,US
ORD-000012,2026/01/13,CUST-1012,Yoga Mat 🧘,3,94.57,US
ORD-000013,2026/01/14,CUST-1013,Coffee ☕,2,64.84,US
ORD-000014,2026/01/15,CUST-1014,T-Shirt 👕,3,90.76,US
ORD-000015,2026/01/16,CUST-1015,Wireless Headphones 🎧,1,68.63,US
ORD-000016,2026/01/17,CUST-1016,Sneakers 👟,3,72.8,US
ORD-000017,2026/01/18,CUST-1017,T-Shirt 👕,2,42.65,US
ORD-000018,2026/01/19,CUST-1018,Coffee ☕,3,73.85,US
ORD-000019,2026/01/20,CUST-1019,Yoga Mat 🧘,3,52.88,US
ORD-000020,2026/01/21,CUST-1020,Water Bottle 💧,3,50.57,US
ORD-000021,2026/01/22,CUST-1021,Coffee ☕,1,67.95,US
ORD-000022,2026/01/23,CUST-1022,T-Shirt 👕,3,31.15,US
ORD-000023,2026/01/24,CUST-1023,Coffee ☕,3,50.74,US
ORD-000024,2026/01/25,CUST-1024,Sneakers 👟,1,58.93,US
ORD-000025,2026/01/26,CUST-1025,T-Shirt 👕,3,98.77,US
ORD-000026,2026/01/27,CUST-1026,Sneakers 👟,3,27.64,US
ORD-000027,2026/01/28,CUST-1027,Wireless Headphones 🎧,1,53.91,US
ORD-000028,2026/01/29,CUST-1028,Sneakers 👟,1,90.18,US
ORD-000029,2026/01/30,CUST-1029,T-Shirt 👕,1,90.04,US
ORD-000030,2026/01/31,CUST-1030,Water Bottle 💧,2,28.59,US
ORD-000031,2026/02/01,CUST-1031,Coffee ☕,3,43.6,US
ORD-000032,2026/02/02,CUST-1032,Yoga Mat 🧘,3,81.29,US
ORD-000033,2026/02/03,CUST-1033,Yoga Mat 🧘,2,23.61,US
ORD-000034,2026/02/04,CUST-1034,Water Bottle 💧,1,56.59,US
ORD-000035,2026/02/05,CUST-1035,Wireless Headphones 🎧,1,54.63,US
ORD-000036,2026/02/06,CUST-1036,Coffee ☕,2,50.41,US
ORD-000037,2026/02/07,CUST-1037,Sneakers 👟,3,98.47,US
ORD-000038,2026/02/08,CUST-1038,Coffee ☕,2,67.88,US
ORD-000039,2026/02/09,CUST-1039,T-Shirt 👕,2,97.4,US
ORD-000040,2026/02/10,CUST-1040,Coffee ☕,1,59.43,US
ORD-000041,2026/02/11,CUST-1041,T-Shirt 👕,3,47.35,US
ORD-000042,2026/02/12,CUST-1042,Sneakers 👟,3,79.84,US
ORD-000043,2026/02/13,CUST-1043,Yoga Mat 🧘,2,32.32,US
ORD-000044,2026/02/14,CUST-1044,Water Bottle 💧,1,59.49,US
ORD-000045,2026/02/15,CUST-1045,Sneakers 👟,2,29.25,US
ORD-000046,2026/02/16,CUST-1046,Wireless Headphones 🎧,3,76.6,US
ORD-000047,2026/02/17,CUST-1047,Sneakers 👟,3,37.69,US
ORD-000048,2026/02/18,CUST-1048,T-Shirt 👕,1,94.61,US
ORD-000049,2026/02/19,CUST-1049,Wireless Headphones 🎧,2,41.32,US
ORD-000050,2026/02/20,CUST-1050,Water Bottle 💧,1,40.68,US
ORD-000051,2026/02/21,CUST-1051,Yoga Mat 🧘,1,40.09,US
ORD-000052,2026/02/22,CUST-1052,Coffee ☕,2,29.59,US
ORD-000053,2026/02/23,CUST-1053,Coffee ☕,2,69.9,US
ORD-000054,2026/02/24,CUST-1054,Wireless Headphones 🎧,3,48.48,US
ORD-000055,2026/02/25,CUST-1055,Yoga Mat 🧘,3,45.34,US
ORD-000056,2026/02/26,CUST-1056,Coffee ☕,2,65.84,US
ORD-000057,2026/02/27,CUST-1057,Yoga Mat 🧘,3,61.63,US
ORD-000058,2026/02/28,CUST-1058,T-Shirt 👕,3,64.18,US
ORD-000059,2026/03/01,CUST-1059,Yoga Mat 🧘,1,78.28,US
ORD-000060,2026/03/02,CUST-1060,Sneakers 👟,1,34.16,US
ORD-000061,2026/03/03,CUST-1061,Water Bottle 💧,2,36.51,US
ORD-000062,2026/03/04,CUST-1062,Coffee ☕,3,54.97,US
ORD-000063,2026/03/05,CUST-1063,Water Bottle 💧,1,53.85,US
ORD-000064,2026/03/06,CUST-1064,Water Bottle 💧,1,54.45,US
ORD-000065,2026/03/07,CUST-1065,Water Bottle 💧,1,55.45,US
ORD-000066,2026/03/08,CUST-1066,Wireless Headphones 🎧,1,69.2,US
ORD-000067,2026/03/09,CUST-1067,Sneakers 👟,1,40.63,US
ORD-000068,2026/03/10,CUST-1068,T-Shirt 👕,2,32.49,US
