ORD-000001,2026/01/02,CUST-1001,Running Shoes Elite,1,43.03,US
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,1,43.9,US
ORD-000003,2026/01/04,CUST-1003,Standing Desk Converter,1,58.78,US
ORD-000004,2026/01/05,CUST-1004,Air Purifier Small,1,34.0,US
ORD-000005,2026/01/06,CUST-1005,Yoga Mat Premium,1,28.02,US
ORD-000006,2026/01/07,CUST-1006,Monitor Arm Dual,1,51.97,US
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,1,31.47,US
ORD-000008,2026/01/09,CUST-1008,Air Purifier Small,1,55.83,US
ORD-000009,2026/01/10,CUST-1009,Organic Cotton T-Shirt,2,59.88,US
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,4,98.1,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,6,99.07,US
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,4,148.07,US
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,2,24.36,US
ORD-000014,2026/01/15,CUST-1014,Monitor Arm Dual,1,54.9,US
ORD-000015,2026/01/16,CUST-1015,Wireless Mouse Silent,2,51.3,US
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,2,35.46,US
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,1,33.72,US
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,1,40.27,US
ORD-000019,2026/01/20,CUST-1019,Standing Desk Converter,2,38.66,US
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,1,44.19,US
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,1,37.09,US
ORD-000022,2026/01/23,CUST-1022,Standing Desk Converter,4,136.18,US
ORD-000023,2026/01/24,CUST-1023,Wireless Mouse Silent,7,119.92,US
ORD-000024,2026/01/25,CUST-1024,Portable Power Bank,6,192.87,US
ORD-000025,2026/01/26,CUST-1025,Air Purifier Small,2,50.39,US
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,2,38.94,US
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,2,26.79,US
ORD-000028,2026/01/29,CUST-1028,Wireless Mouse Silent,1,35.2,US
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,2,36.35,US
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,2,28.17,US
ORD-000031,2026/02/01,CUST-1031,Wireless Charger Pad,2,49.52,US
ORD-000032,2026/02/02,CUST-1032,External SSD 1TB,2,50.9,US
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,1,51.91,US
ORD-000034,2026/02/04,CUST-1034,Wireless Charger Pad,4,131.19,US
ORD-000035,2026/02/05,CUST-1035,Bluetooth Speaker Mini,7,65.22,US
ORD-000036,2026/02/06,CUST-1036,Monitor Arm Dual,8,87.84,US
ORD-000037,2026/02/07,CUST-1037,Organic Cotton T-Shirt,1,49.2,US
