order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Charger Pad,1,36.06,US
ORD-000002,2026/01/03,CUST-1002,Portable Power Bank,2,47.82,US
ORD-000003,2026/01/04,CUST-1003,Portable Power Bank,1,41.35,US
ORD-000004,2026/01/05,CUST-1004,Portable Power Bank,2,65.84,US
ORD-000005,2026/01/06,CUST-1005,Portable Power Bank,2,76.98,US
ORD-000006,2026/01/07,CUST-1006,Portable Power Bank,3,81.57,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,2,78.18,US
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,3,24.03,US
ORD-000009,2026/01/10,CUST-1009,Portable Power Bank,2,40.53,US
ORD-000010,2026/01/11,CUST-1010,Ergonomic Office Chair,2,22.17,US
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,3,41.89,US
ORD-000012,2026/01/13,CUST-1012,Portable Power Bank,1,31.73,US
ORD-000013,2026/01/14,CUST-1013,Yoga Mat Premium,1,46.27,US
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,2,58.18,US
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,1,63.23,US
ORD-000016,2026/01/17,CUST-1016,Portable Power Bank,3,35.46,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,2,74.97,US
ORD-000018,2026/01/19,CUST-1018,Wireless Charger Pad,1,22.4,US
ORD-000019,2026/01/20,CUST-1019,Portable Power Bank,1,76.78,US
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,1,22.1,US
ORD-000021,2026/01/22,CUST-1021,Portable Power Bank,3,56.73,US
ORD-000022,2026/01/23,CUST-1022,Portable Power Bank,1,69.76,US
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,1,63.63,US
ORD-000024,2026/01/25,CUST-1024,Portable Power Bank,2,38.83,US
ORD-000025,2026/01/26,CUST-1025,Portable Power Bank,3,39.18,US
ORD-000026,2026/01/27,CUST-1026,Portable Power Bank,1,66.28,US
ORD-000027,2026/01/28,CUST-1027,Portable Power Bank,2,44.05,US
ORD-000028,2026/01/29,CUST-1028,Portable Power Bank,2,79.67,US
ORD-000029,2026/01/30,CUST-1029,Portable Power Bank,1,33.77,US
ORD-000030,2026/01/31,CUST-1030,Portable Power Bank,2,83.31,US
ORD-000031,2026/02/01,CUST-1031,Portable Power Bank,1,35.17,US
ORD-000032,2026/02/02,CUST-1032,Portable Power Bank,3,22.24,US
ORD-000033,2026/02/03,CUST-1033,Smart Watch Series 5,3,56.7,US
ORD-000034,2026/02/04,CUST-1034,Smart Watch Series 5,3,34.7,US
ORD-000035,2026/02/05,CUST-1035,Portable Power Bank,2,20.02,US
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,1,28.18,US
ORD-000037,2026/02/07,CUST-1037,Portable Power Bank,3,23.81,US
ORD-000038,2026/02/08,CUST-1038,Portable Power Bank,2,58.15,US
ORD-000039,2026/02/09,CUST-1039,Air Purifier Small,2,44.94,US
ORD-000040,2026/02/10,CUST-1040,Portable Power Bank,3,36.13,US
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,1,73.89,US
ORD-000042,2026/02/12,CUST-1042,Portable Power Bank,3,42.25,US
ORD-000043,2026/02/13,CUST-1043,Portable Power Bank,3,81.9,US
ORD-000044,2026/02/14,CUST-1044,Portable Power Bank,1,45.46,US
ORD-000045,2026/02/15,CUST-1045,Portable Power Bank,3,50.44,US
ORD-000046,2026/02/16,CUST-1046,Portable Power Bank,2,65.02,US
ORD-000047,2026/02/17,CUST-1047,Portable Power Bank,2,86.44,US
ORD-000048,2026/02/18,CUST-1048,Portable Power Bank,3,86.66,US
ORD-000049,2026/02/19,CUST-1049,Wireless Charger Pad,3,71.17,US
ORD-000050,2026/02/20,CUST-1050,Portable Power Bank,1,50.54,US
ORD-000051,2026/02/21,CUST-1051,Stainless Steel Water Bottle,1,59.49,US
ORD-000052,2026/02/22,CUST-1052,Portable Power Bank,3,27.09,US
ORD-000053,2026/02/23,CUST-1053,Noise Cancelling Earbuds,2,49.58,US
ORD-000054,2026/02/24,CUST-1054,Portable Power Bank,2,78.5,US
ORD-000055,2026/02/25,CUST-1055,Portable Power Bank,2,54.17,US
ORD-000056,2026/02/26,CUST-1056,Yoga Mat Premium,2,68.88,US
ORD-000057,2026/02/27,CUST-1057,Portable Power Bank,3,20.16,US
ORD-000058,2026/02/28,CUST-1058,Ergonomic Office Chair,2,48.63,US
ORD-000059,2026/03/01,CUST-1059,Wireless Headphones Pro,1,87.31,US
ORD-000060,2026/03/02,CUST-1060,Portable Power Bank,2,37.16,US
ORD-000061,2026/03/03,CUST-1061,Portable Power Bank,2,63.42,US
ORD-000062,2026/03/04,CUST-1062,Portable Power Bank,1,85.48,US
ORD-000063,2026/03/05,CUST-1063,Portable Power Bank,3,61.89,US
ORD-000064,2026/03/06,CUST-1064,Stainless Steel Water Bottle,1,82.89,US
ORD-000065,2026/03/07,CUST-1065,Wireless Mouse Silent,1,58.8,US
ORD-000066,2026/03/08,CUST-1066,Portable Power Bank,2,24.83,US
ORD-000067,2026/03/09,CUST-1067,Portable Power Bank,1,71.97,US
ORD-000068,2026/03/10,CUST-1068,Portable Power Bank,2,53.36,US
ORD-000069,2026/03/11,CUST-1069,Smart Watch Series 5,3,84.25,US
ORD-000070,2026/03/12,CUST-1070,Portable Power Bank,2,63.95,US
ORD-000071,2026/03/13,CUST-1071,Portable Power Bank,1,61.58,US
ORD-000072,2026/03/14,CUST-1072,Monitor Arm Dual,2,58.42,US
ORD-000073,2026/03/15,CUST-1073,Portable Power Bank,2,66.52,US
ORD-000074,2026/03/16,CUST-1074,Portable Power Bank,1,69.77,US
ORD-000075,2026/03/17,CUST-1075,Portable Power Bank,2,50.96,US
ORD-000076,2026/03/18,CUST-1076,Portable Power Bank,3,66.86,US
ORD-000077,2026/03/19,CUST-1077,Portable Power Bank,2,57.66,US
ORD-000078,2026/03/20,CUST-1078,4K Webcam Pro,3,65.3,US
ORD-000079,2026/03/21,CUST-1079,Portable Power Bank,2,23.84,US
ORD-000080,2026/03/22,CUST-1080,Portable Power Bank,3,21.96,US
ORD-000081,2026/03/23,CUST-1081,Portable Power Bank,2,22.13,US
ORD-000082,2026/03/24,CUST-1082,Portable Power Bank,2,47.07,US
ORD-000083,2026/03/25,CUST-1083,Portable Power Bank,3,25.72,US
ORD-000084,2026/03/26,CUST-1084,Portable Power Bank,2,45.68,US
ORD-000085,2026/03/27,CUST-1085,Portable Power Bank,3,51.86,US
ORD-000086,2026/03/28,CUST-1086,Portable Power Bank,2,42.52,US
ORD-000087,2026/03/29,CUST-1087,Portable Power Bank,1,73.85,US
ORD-000088,2026/03/30,CUST-1088,Noise Cancelling Earbuds,1,54.3,US
ORD-000089,2026/03/31,CUST-1089,Portable Power Bank,3,64.15,US
ORD-000090,2026/04/01,CUST-1090,Portable Power Bank,1,79.35,US
ORD-000091,2026/04/02,CUST-1091,External SSD 1TB,2,88.7,US
ORD-000092,2026/04/03,CUST-1092,Portable Power Bank,3,69.25,US
ORD-000093,2026/04/04,CUST-1093,LED Desk Lamp,1,63.38,US
ORD-000094,2026/04/05,CUST-1094,Wireless Charger Pad,3,77.69,US
ORD-000095,2026/04/06,CUST-1095,Portable Power Bank,2,85.03,US
ORD-000096,2026/04/07,CUST-1096,Portable Power Bank,1,34.47,US
ORD-000097,2026/04/08,CUST-1097,Portable Power Bank,3,64.62,US
ORD-000098,2026/04/09,CUST-1098,Portable Power Bank,3,20.94,US
ORD-000099,2026/04/10,CUST-1099,Smart Watch Series 5,2,44.61,US
ORD-000100,2026/04/11,CUST-1100,Portable Power Bank,1,49.58,US
ORD-000101,2026/04/12,CUST-1101,Ergonomic Office Chair,1,31.34,US
ORD-000102,2026/04/13,CUST-1102,Portable Power Bank,3,30.08,US
ORD-000103,2026/04/14,CUST-1103,Portable Power Bank,1,35.32,US
ORD-000104,2026/04/15,CUST-1104,Air Purifier Small,1,39.94,US
ORD-000105,2026/04/16,CUST-1105,Portable Power Bank,1,89.91,US
ORD-000106,2026/04/17,CUST-1106,Portable Power Bank,3,78.91,US
ORD-000107,2026/04/18,CUST-1107,Portable Power Bank,1,51.1,US
ORD-000108,2026/04/19,CUST-1108,Portable Power Bank,3,29.69,US
ORD-000109,2026/04/20,CUST-1109,Standing Desk Converter,1,31.54,US
ORD-000110,2026/04/21,CUST-1110,LED Desk Lamp,3,86.2,US
ORD-000111,2026/04/22,CUST-1111,Portable Power Bank,2,73.2,US
ORD-000112,2026/04/23,CUST-1112,Portable Power Bank,3,20.45,US
ORD-000113,2026/04/24,CUST-1113,Portable Power Bank,3,52.28,US
ORD-000114,2026/04/25,CUST-1114,Portable Power Bank,1,73.45,US
ORD-000115,2026/04/26,CUST-1115,LED Desk Lamp,3,54.7,US
ORD-000116,2026/04/27,CUST-1116,Portable Power Bank,3,34.48,US
ORD-000117,2026/04/28,CUST-1117,Portable Power Bank,2,53.11,US
ORD-000118,2026/04/29,CUST-1118,Portable Power Bank,3,53.4,US
ORD-000119,2026/04/30,CUST-1119,Portable Power Bank,2,88.72,US
ORD-000120,2026/05/01,CUST-1120,Running Shoes Elite,2,87.04,US
ORD-000121,2026/05/02,CUST-1121,Portable Power Bank,2,59.26,US
ORD-000122,2026/05/03,CUST-1122,Portable Power Bank,1,20.96,US
ORD-000123,2026/05/04,CUST-1123,Portable Power Bank,3,66.33,US
ORD-000124,2026/05/05,CUST-1124,Portable Power Bank,3,37.85,US
ORD-000125,2026/05/06,CUST-1125,Portable Power Bank,1,70.51,US
ORD-000126,2026/05/07,CUST-1126,Portable Power Bank,1,50.43,US
ORD-000127,2026/05/08,CUST-1127,Portable Power Bank,3,21.71,US
ORD-000128,2026/05/09,CUST-1128,Portable Power Bank,1,89.5,US
ORD-000129,2026/05/10,CUST-1129,Portable Power Bank,1,72.64,US
ORD-000130,2026/05/11,CUST-1130,Portable Power Bank,1,75.16,US
ORD-000131,2026/05/12,CUST-1131,Portable Power Bank,1,48.72,US
ORD-000132,2026/05/13,CUST-1132,Portable Power Bank,3,76.72,US
ORD-000133,2026/05/14,CUST-1133,Portable Power Bank,3,57.17,US
ORD-000134,2026/05/15,CUST-1134,Mechanical Keyboard RGB,2,87.93,US
ORD-000135,2026/05/16,CUST-1135,Portable Power Bank,3,55.3,US
ORD-000136,2026/05/17,CUST-1136,Portable Power Bank,1,89.18,US
ORD-000137,2026/05/18,CUST-1137,Mechanical Keyboard RGB,1,88.28,US
ORD-000138,2026/05/19,CUST-1138,Portable Power Bank,3,88.13,US
ORD-000139,2026/05/20,CUST-1139,Portable Power Bank,1,79.41,US
ORD-000140,2026/05/21,CUST-1140,Portable Power Bank,3,52.94,US
ORD-000141,2026/05/22,CUST-1141,Stainless Steel Water Bottle,3,51.18,US
ORD-000142,2026/05/23,CUST-1142,Portable Power Bank,1,81.67,US
ORD-000143,2026/05/24,CUST-1143,Portable Power Bank,2,53.65,US
ORD-000144,2026/05/25,CUST-1144,Stainless Steel Water Bottle,2,59.95,US
ORD-000145,2026/05/26,CUST-1145,Portable Power Bank,1,87.45,US
ORD-000146,2026/05/27,CUST-1146,Ergonomic Office Chair,1,38.11,US
ORD-000147,2026/05/28,CUST-1147,External SSD 1TB,2,47.86,US
ORD-000148,2026/05/29,CUST-1148,Portable Power Bank,2,23.35,US
ORD-000149,2026/05/30,CUST-1149,Portable Power Bank,2,45.42,US
ORD-000150,2026/05/31,CUST-1150,Portable Power Bank,1,67.82,US
ORD-000151,2026/06/01,CUST-1151,Yoga Mat Premium,3,28.96,US
ORD-000152,2026/06/02,CUST-1152,Portable Power Bank,2,67.46,US
ORD-000153,2026/06/03,CUST-1153,Portable Power Bank,3,33.59,US
ORD-000154,2026/06/04,CUST-1154,Portable Power Bank,2,85.91,US
ORD-000155,2026/06/05,CUST-1155,Portable Power Bank,2,40.24,US
ORD-000156,2026/06/06,CUST-1156,Leather Wallet Classic,2,28.52,US
ORD-000157,2026/06/07,CUST-1157,Portable Power Bank,3,63.16,US
ORD-000158,2026/06/08,CUST-1158,4K Webcam Pro,1,37.66,US
ORD-000159,2026/06/09,CUST-1159,Portable Power Bank,3,49.55,US
ORD-000160,2026/06/10,CUST-1160,Portable Power Bank,3,24.18,US
ORD-000161,2026/06/11,CUST-1161,Portable Power Bank,3,77.48,US
ORD-000162,2026/06/12,CUST-1162,Portable Power Bank,2,85.59,US
ORD-000163,2026/06/13,CUST-1163,Portable Power Bank,2,52.76,US
ORD-000164,2026/06/14,CUST-1164,Portable Power Bank,3,75.16,US
ORD-000165,2026/06/15,CUST-1165,Portable Power Bank,1,56.77,US
ORD-000166,2026/06/16,CUST-1166,Portable Power Bank,2,59.19,US
ORD-000167,2026/06/17,CUST-1167,Wireless Headphones Pro,3,25.25,US
ORD-000168,2026/06/18,CUST-1168,Portable Power Bank,2,60.49,US
ORD-000169,2026/06/19,CUST-1169,Wireless Charger Pad,1,35.11,US
ORD-000170,2026/06/20,CUST-1170,Monitor Arm Dual,2,32.5,US
ORD-000171,2026/06/21,CUST-1171,Portable Power Bank,1,30.13,US
ORD-000172,2026/06/22,CUST-1172,Portable Power Bank,3,34.05,US
ORD-000173,2026/06/23,CUST-1173,Portable Power Bank,3,82.7,US
ORD-000174,2026/06/24,CUST-1174,Ergonomic Office Chair,2,49.66,US
ORD-000175,2026/06/25,CUST-1175,Organic Cotton T-Shirt,1,71.85,US
ORD-000176,2026/06/26,CUST-1176,Portable Power Bank,2,75.03,US
ORD-000177,2026/06/27,CUST-1177,Smart Watch Series 5,3,75.38,US
ORD-000178,2026/06/28,CUST-1178,Portable Power Bank,1,55.46,US
ORD-000179,2026/06/29,CUST-1179,Portable Power Bank,1,74.2,US
ORD-000180,2026/01/01,CUST-1180,Portable Power Bank,3,45.1,US
ORD-000181,2026/01/02,CUST-1181,Portable Power Bank,3,23.64,US
ORD-000182,2026/01/03,CUST-1182,Wireless Headphones Pro,3,39.69,US
ORD-000183,2026/01/04,CUST-1183,Wireless Mouse Silent,1,23.94,US
ORD-000184,2026/01/05,CUST-1184,Portable Power Bank,1,75.4,US
ORD-000185,2026/01/06,CUST-1185,Portable Power Bank,2,66.29,US
ORD-000186,2026/01/07,CUST-1186,Air Purifier Small,3,41.93,US
ORD-000187,2026/01/08,CUST-1187,Portable Power Bank,1,86.16,US
ORD-000188,2026/01/09,CUST-1188,Portable Power Bank,3,32.45,US
ORD-000189,2026/01/10,CUST-1189,Portable Power Bank,3,37.49,US
ORD-000190,2026/01/11,CUST-1190,Portable Power Bank,2,36.89,US
ORD-000191,2026/01/12,CUST-1191,Portable Power Bank,2,69.69,US
ORD-000192,2026/01/13,CUST-1192,Portable Power Bank,1,47.05,US
ORD-000193,2026/01/14,CUST-1193,Portable Power Bank,2,63.82,US
ORD-000194,2026/01/15,CUST-1194,Mechanical Keyboard RGB,1,67.22,US
ORD-000195,2026/01/16,CUST-1195,Portable Power Bank,3,34.94,US
ORD-000196,2026/01/17,CUST-1196,Portable Power Bank,2,30.45,US
ORD-000197,2026/01/18,CUST-1197,Portable Power Bank,1,69.23,US
ORD-000198,2026/01/19,CUST-1198,Standing Desk Converter,3,63.87,US
ORD-000199,2026/01/20,CUST-1199,Portable Power Bank,3,86.85,US
ORD-000200,2026/01/21,CUST-1000,Portable Power Bank,1,51.62,US
ORD-000201,2026/01/22,CUST-1001,Portable Power Bank,3,71.07,US
ORD-000202,2026/01/23,CUST-1002,Organic Cotton T-Shirt,2,43.86,US
ORD-000203,2026/01/24,CUST-1003,Portable Power Bank,1,40.11,US
ORD-000204,2026/01/25,CUST-1004,Bluetooth Speaker Mini,2,77.69,US
ORD-000205,2026/01/26,CUST-1005,Portable Power Bank,1,62.2,US
ORD-000206,2026/01/27,CUST-1006,Yoga Mat Premium,2,63.67,US
ORD-000207,2026/01/28,CUST-1007,Portable Power Bank,1,44.91,US
ORD-000208,2026/01/29,CUST-1008,Portable Power Bank,1,57.56,US
ORD-000209,2026/01/30,CUST-1009,Portable Power Bank,3,84.17,US
ORD-000210,2026/01/31,CUST-1010,Portable Power Bank,2,75.19,US
ORD-000211,2026/02/01,CUST-1011,Yoga Mat Premium,1,75.93,US
ORD-000212,2026/02/02,CUST-1012,Portable Power Bank,3,79.27,US
ORD-000213,2026/02/03,CUST-1013,Portable Power Bank,1,83.29,US
ORD-000214,2026/02/04,CUST-1014,Portable Power Bank,3,20.43,US
ORD-000215,2026/02/05,CUST-1015,Ergonomic Office Chair,3,49.86,US
ORD-000216,2026/02/06,CUST-1016,LED Desk Lamp,1,37.99,US
ORD-000217,2026/02/07,CUST-1017,Leather Wallet Classic,1,36.06,US
ORD-000218,2026/02/08,CUST-1018,Portable Power Bank,1,64.88,US
ORD-000219,2026/02/09,CUST-1019,Portable Power Bank,2,64.47,US
ORD-000220,2026/02/10,CUST-1020,Portable Power Bank,1,72.11,US
ORD-000221,2026/02/11,CUST-1021,Portable Power Bank,2,89.46,US
ORD-000222,2026/02/12,CUST-1022,Portable Power Bank,2,80.65,US
ORD-000223,2026/02/13,CUST-1023,Portable Power Bank,1,64.87,US
ORD-000224,2026/02/14,CUST-1024,Standing Desk Converter,3,44.67,US
ORD-000225,2026/02/15,CUST-1025,Portable Power Bank,1,79.65,US
ORD-000226,2026/02/16,CUST-1026,Portable Power Bank,1,79.39,US
ORD-000227,2026/02/17,CUST-1027,Portable Power Bank,2,82.71,US
ORD-000228,2026/02/18,CUST-1028,Portable Power Bank,1,59.88,US
