ORD-000001,2026/01/02,CUST-1001,Wireless Charger Pad,4,267.73,CN
ORD-000002,2026/01/03,CUST-1002,Monitor Arm Dual,2,172.08,CN
ORD-000003,2026/01/04,CUST-1003,Monitor Arm Dual,4,149.94,AU
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,3,299.49,DE
ORD-000005,2026/01/06,CUST-1005,Mechanical Keyboard RGB,1,44.7,US
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,3,158.73,DE
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,2,34.93,UK
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,5,112.64,CN
ORD-000009,2026/01/10,CUST-1009,Stainless Steel Water Bottle,5,118.16,IN
ORD-000010,2026/01/11,CUST-1010,Stainless Steel Water Bottle,4,219.12,CA
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,5,162.74,DE
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,4,213.15,JP
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,5,165.06,IN
ORD-000014,2026/01/15,CUST-1014,LED Desk Lamp,3,219.54,AU
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,4,205.86,IN
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,4,218.04,UK
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,269.29,US
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,5,252.12,JP
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,5,271.44,CN
ORD-000020,2026/01/21,CUST-1020,Air Purifier Small,3,89.19,IN
ORD-000021,2026/01/22,CUST-1021,Portable Power Bank,5,40.11,AU
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,4,216.05,BR
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones Pro,3,66.37,IN
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,5,225.71,JP
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,1,181.9,CA
ORD-000026,2026/01/27,CUST-1026,Portable Power Bank,2,202.53,JP
ORD-000027,2026/01/28,CUST-1027,Monitor Arm Dual,3,185.61,JP
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,5,188.79,IN
ORD-000029,2026/01/30,CUST-1029,External SSD 1TB,2,75.15,BR
ORD-000030,2026/01/31,CUST-1030,4K Webcam Pro,1,237.41,FR
ORD-000031,2026/02/01,CUST-1031,4K Webcam Pro,5,278.23,IN
ORD-000032,2026/02/02,CUST-1032,Noise Cancelling Earbuds,4,58.27,CN
ORD-000033,2026/02/03,CUST-1033,4K Webcam Pro,4,284.88,FR
ORD-000034,2026/02/04,CUST-1034,Wireless Mouse Silent,3,298.89,CN
ORD-000035,2026/02/05,CUST-1035,Portable Power Bank,1,91.94,CN
ORD-000036,2026/02/06,CUST-1036,Wireless Headphones Pro,5,254.48,DE
ORD-000037,2026/02/07,CUST-1037,External SSD 1TB,5,144.49,UK
ORD-000038,2026/02/08,CUST-1038,Standing Desk Converter,3,269.41,FR
ORD-000039,2026/02/09,CUST-1039,Noise Cancelling Earbuds,3,209.66,US
ORD-000040,2026/02/10,CUST-1040,Wireless Charger Pad,5,240.16,IN
ORD-000041,2026/02/11,CUST-1041,Stainless Steel Water Bottle,3,61.03,CN
ORD-000042,2026/02/12,CUST-1042,Yoga Mat Premium,2,67.83,CA
ORD-000043,2026/02/13,CUST-1043,Wireless Headphones Pro,4,83.22,UK
ORD-000044,2026/02/14,CUST-1044,Bluetooth Speaker Mini,3,129.32,CA
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,2,229.11,US
ORD-000046,2026/02/16,CUST-1046,Air Purifier Small,4,190.84,AU
ORD-000047,2026/02/17,CUST-1047,Wireless Mouse Silent,3,81.33,UK
ORD-000048,2026/02/18,CUST-1048,Standing Desk Converter,1,172.5,CA
ORD-000049,2026/02/19,CUST-1049,Mechanical Keyboard RGB,3,222.84,AU
ORD-000050,2026/02/20,CUST-1050,Noise Cancelling Earbuds,1,117.43,BR
ORD-000051,2026/02/21,CUST-1051,External SSD 1TB,5,196.79,AU
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,5,104.92,IN
ORD-000053,2026/02/23,CUST-1053,Ergonomic Office Chair,3,48.69,CA
ORD-000054,2026/02/24,CUST-1054,Smart Watch Series 5,3,225.28,US
ORD-000055,2026/02/25,CUST-1055,Noise Cancelling Earbuds,1,185.13,DE
ORD-000056,2026/02/26,CUST-1056,Standing Desk Converter,3,42.67,JP
ORD-000057,2026/02/27,CUST-1057,Portable Power Bank,5,73.18,AU
ORD-000058,2026/02/28,CUST-1058,Wireless Charger Pad,4,77.94,CA
ORD-000059,2026/03/01,CUST-1059,Organic Cotton T-Shirt,4,117.77,CA
ORD-000060,2026/03/02,CUST-1060,Wireless Mouse Silent,4,275.75,DE
ORD-000061,2026/03/03,CUST-1061,Leather Wallet Classic,3,280.61,US
ORD-000062,2026/03/04,CUST-1062,Stainless Steel Water Bottle,1,49.41,JP
ORD-000063,2026/03/05,CUST-1063,Organic Cotton T-Shirt,4,262.08,JP
ORD-000064,2026/03/06,CUST-1064,Wireless Mouse Silent,3,248.4,FR
ORD-000065,2026/03/07,CUST-1065,Smart Watch Series 5,4,114.42,JP
ORD-000066,2026/03/08,CUST-1066,Running Shoes Elite,1,242.25,AU
ORD-000067,2026/03/09,CUST-1067,Wireless Charger Pad,1,239.19,AU
ORD-000068,2026/03/10,CUST-1068,Noise Cancelling Earbuds,4,295.49,IN
ORD-000069,2026/03/11,CUST-1069,Wireless Mouse Silent,1,165.96,AU
ORD-000070,2026/03/12,CUST-1070,Leather Wallet Classic,2,211.47,UK
ORD-000071,2026/03/13,CUST-1071,Smart Watch Series 5,5,230.22,UK
ORD-000072,2026/03/14,CUST-1072,Running Shoes Elite,5,264.68,US
ORD-000073,2026/03/15,CUST-1073,Running Shoes Elite,1,75.67,JP
ORD-000074,2026/03/16,CUST-1074,Stainless Steel Water Bottle,2,255.66,UK
ORD-000075,2026/03/17,CUST-1075,Portable Power Bank,5,206.64,UK
ORD-000076,2026/03/18,CUST-1076,Yoga Mat Premium,3,122.43,BR
ORD-000077,2026/03/19,CUST-1077,Wireless Mouse Silent,2,126.05,DE
ORD-000078,2026/03/20,CUST-1078,Air Purifier Small,3,161.98,AU
ORD-000079,2026/03/21,CUST-1079,Ergonomic Office Chair,4,64.84,JP
ORD-000080,2026/03/22,CUST-1080,Wireless Headphones Pro,3,137.62,AU
ORD-000081,2026/03/23,CUST-1081,External SSD 1TB,5,107.65,CA
ORD-000082,2026/03/24,CUST-1082,Monitor Arm Dual,1,214.85,AU
ORD-000083,2026/03/25,CUST-1083,Noise Cancelling Earbuds,3,208.94,FR
ORD-000084,2026/03/26,CUST-1084,Air Purifier Small,1,164.35,DE
ORD-000085,2026/03/27,CUST-1085,Wireless Mouse Silent,1,134.57,CA
ORD-000086,2026/03/28,CUST-1086,Portable Power Bank,3,285.03,AU
ORD-000087,2026/03/29,CUST-1087,Bluetooth Speaker Mini,2,114.41,US
ORD-000088,2026/03/30,CUST-1088,Leather Wallet Classic,3,252.38,UK
ORD-000089,2026/03/31,CUST-1089,Wireless Charger Pad,2,61.78,JP
ORD-000090,2026/04/01,CUST-1090,Leather Wallet Classic,5,258.14,IN
ORD-000091,2026/04/02,CUST-1091,Mechanical Keyboard RGB,2,210.94,CA
ORD-000092,2026/04/03,CUST-1092,Noise Cancelling Earbuds,3,109.41,US
ORD-000093,2026/04/04,CUST-1093,Running Shoes Elite,5,225.16,JP
ORD-000094,2026/04/05,CUST-1094,Portable Power Bank,5,101.07,CA
ORD-000095,2026/04/06,CUST-1095,Stainless Steel Water Bottle,1,242.46,CA
ORD-000096,2026/04/07,CUST-1096,Portable Power Bank,2,231.76,BR
ORD-000097,2026/04/08,CUST-1097,Organic Cotton T-Shirt,2,262.19,AU
ORD-000098,2026/04/09,CUST-1098,Leather Wallet Classic,5,245.89,JP
ORD-000099,2026/04/10,CUST-1099,LED Desk Lamp,3,55.9,US
ORD-000100,2026/04/11,CUST-1100,Air Purifier Small,1,158.79,FR
ORD-000101,2026/04/12,CUST-1101,Wireless Charger Pad,5,181.2,IN
ORD-000102,2026/04/13,CUST-1102,Organic Cotton T-Shirt,2,239.68,DE
ORD-000103,2026/04/14,CUST-1103,Wireless Charger Pad,4,73.92,FR
ORD-000104,2026/04/15,CUST-1104,Noise Cancelling Earbuds,5,225.69,BR
ORD-000105,2026/04/16,CUST-1105,Leather Wallet Classic,5,248.1,UK
ORD-000106,2026/04/17,CUST-1106,Running Shoes Elite,5,98.89,BR
ORD-000107,2026/04/18,CUST-1107,Leather Wallet Classic,5,286.99,DE
ORD-000108,2026/04/19,CUST-1108,Wireless Charger Pad,5,71.02,CA
ORD-000109,2026/04/20,CUST-1109,Portable Power Bank,4,291.07,BR
ORD-000110,2026/04/21,CUST-1110,Noise Cancelling Earbuds,1,114.86,CN
ORD-000111,2026/04/22,CUST-1111,Yoga Mat Premium,1,284.77,US
ORD-000112,2026/04/23,CUST-1112,Portable Power Bank,4,108.6,CN
ORD-000113,2026/04/24,CUST-1113,Organic Cotton T-Shirt,1,116.08,AU
ORD-000114,2026/04/25,CUST-1114,Ergonomic Office Chair,3,265.44,FR
ORD-000115,2026/04/26,CUST-1115,Leather Wallet Classic,1,67.08,CA
ORD-000116,2026/04/27,CUST-1116,Bluetooth Speaker Mini,5,244.49,JP
ORD-000117,2026/04/28,CUST-1117,Wireless Headphones Pro,2,171.2,DE
ORD-000118,2026/04/29,CUST-1118,Mechanical Keyboard RGB,3,77.44,JP
ORD-000119,2026/04/30,CUST-1119,Bluetooth Speaker Mini,3,91.14,CA
ORD-000120,2026/05/01,CUST-1120,Standing Desk Converter,3,112.29,IN
ORD-000121,2026/05/02,CUST-1121,Noise Cancelling Earbuds,1,65.49,CA
ORD-000122,2026/05/03,CUST-1122,Wireless Charger Pad,2,152.09,DE
ORD-000123,2026/05/04,CUST-1123,Portable Power Bank,5,73.42,BR
ORD-000124,2026/05/05,CUST-1124,Organic Cotton T-Shirt,1,126.38,UK
ORD-000125,2026/05/06,CUST-1125,Air Purifier Small,1,199.37,CA
ORD-000126,2026/05/07,CUST-1126,Bluetooth Speaker Mini,5,209.65,AU
ORD-000127,2026/05/08,CUST-1127,Yoga Mat Premium,1,44.88,US
ORD-000128,2026/05/09,CUST-1128,Bluetooth Speaker Mini,3,46.31,BR
ORD-000129,2026/05/10,CUST-1129,Organic Cotton T-Shirt,4,280.11,FR
ORD-000130,2026/05/11,CUST-1130,Portable Power Bank,2,217.84,IN
ORD-000131,2026/05/12,CUST-1131,External SSD 1TB,4,97.44,FR
ORD-000132,2026/05/13,CUST-1132,Portable Power Bank,4,168.07,BR
ORD-000133,2026/05/14,CUST-1133,Running Shoes Elite,2,162.36,IN
ORD-000134,2026/05/15,CUST-1134,4K Webcam Pro,2,233.23,CN
ORD-000135,2026/05/16,CUST-1135,External SSD 1TB,4,51.51,AU
ORD-000136,2026/05/17,CUST-1136,LED Desk Lamp,3,56.3,CN
ORD-000137,2026/05/18,CUST-1137,Wireless Headphones Pro,5,251.09,IN
ORD-000138,2026/05/19,CUST-1138,Monitor Arm Dual,2,137.27,IN
ORD-000139,2026/05/20,CUST-1139,LED Desk Lamp,1,167.41,AU
ORD-000140,2026/05/21,CUST-1140,Monitor Arm Dual,4,36.89,US
ORD-000141,2026/05/22,CUST-1141,Air Purifier Small,4,94.65,BR
ORD-000142,2026/05/23,CUST-1142,Wireless Charger Pad,3,52.74,BR
ORD-000143,2026/05/24,CUST-1143,Running Shoes Elite,4,155.29,JP
ORD-000144,2026/05/25,CUST-1144,Standing Desk Converter,2,50.64,CA
ORD-000145,2026/05/26,CUST-1145,Noise Cancelling Earbuds,3,236.5,AU
ORD-000146,2026/05/27,CUST-1146,Monitor Arm Dual,3,187.95,IN
ORD-000147,2026/05/28,CUST-1147,Wireless Mouse Silent,1,31.37,IN
ORD-000148,2026/05/29,CUST-1148,Wireless Charger Pad,1,213.68,CA
ORD-000149,2026/05/30,CUST-1149,Wireless Charger Pad,3,229.64,CN
ORD-000150,2026/05/31,CUST-1150,Stainless Steel Water Bottle,5,209.46,BR
ORD-000151,2026/06/01,CUST-1151,Standing Desk Converter,4,283.51,UK
ORD-000152,2026/06/02,CUST-1152,Stainless Steel Water Bottle,5,87.56,JP
ORD-000153,2026/06/03,CUST-1153,Portable Power Bank,5,117.69,UK
ORD-000154,2026/06/04,CUST-1154,Stainless Steel Water Bottle,3,240.71,UK
ORD-000155,2026/06/05,CUST-1155,Wireless Mouse Silent,4,98.37,US
ORD-000156,2026/06/06,CUST-1156,Wireless Charger Pad,1,267.03,US
ORD-000157,2026/06/07,CUST-1157,Ergonomic Office Chair,5,75.87,BR
ORD-000158,2026/06/08,CUST-1158,Leather Wallet Classic,4,286.78,IN
ORD-000159,2026/06/09,CUST-1159,Smart Watch Series 5,3,76.58,UK
ORD-000160,2026/06/10,CUST-1160,Wireless Charger Pad,2,68.76,AU
ORD-000161,2026/06/11,CUST-1161,External SSD 1TB,5,217.95,DE
ORD-000162,2026/06/12,CUST-1162,Portable Power Bank,3,223.94,UK
ORD-000163,2026/06/13,CUST-1163,Air Purifier Small,3,89.42,US
ORD-000164,2026/06/14,CUST-1164,Noise Cancelling Earbuds,4,34.84,CN
ORD-000165,2026/06/15,CUST-1165,Standing Desk Converter,1,44.09,IN
ORD-000166,2026/06/16,CUST-1166,LED Desk Lamp,1,244.41,IN
ORD-000167,2026/06/17,CUST-1167,Standing Desk Converter,5,152.47,CA
ORD-000168,2026/06/18,CUST-1168,LED Desk Lamp,5,245.91,JP
ORD-000169,2026/06/19,CUST-1169,Wireless Mouse Silent,3,277.95,DE
ORD-000170,2026/06/20,CUST-1170,LED Desk Lamp,5,162.66,CN
ORD-000171,2026/06/21,CUST-1171,Standing Desk Converter,3,169.16,IN
ORD-000172,2026/06/22,CUST-1172,4K Webcam Pro,5,282.91,IN
ORD-000173,2026/06/23,CUST-1173,Standing Desk Converter,2,241.85,CN
ORD-000174,2026/06/24,CUST-1174,Smart Watch Series 5,5,33.94,UK
ORD-000175,2026/06/25,CUST-1175,Mechanical Keyboard RGB,4,38.45,CN
ORD-000176,2026/06/26,CUST-1176,Standing Desk Converter,5,192.01,CA
ORD-000177,2026/06/27,CUST-1177,Smart Watch Series 5,5,110.94,US
ORD-000178,2026/06/28,CUST-1178,Mechanical Keyboard RGB,1,279.63,CA
ORD-000179,2026/06/29,CUST-1179,Leather Wallet Classic,3,273.04,CA
ORD-000180,2026/01/01,CUST-1180,Smart Watch Series 5,5,32.1,CA
ORD-000181,2026/01/02,CUST-1181,External SSD 1TB,1,58.13,UK
ORD-000182,2026/01/03,CUST-1182,Noise Cancelling Earbuds,2,30.44,US
ORD-000183,2026/01/04,CUST-1183,External SSD 1TB,4,268.49,CN
ORD-000184,2026/01/05,CUST-1184,LED Desk Lamp,3,108.08,UK
ORD-000185,2026/01/06,CUST-1185,Leather Wallet Classic,1,148.11,UK
ORD-000186,2026/01/07,CUST-1186,Yoga Mat Premium,3,191.91,FR
ORD-000187,2026/01/08,CUST-1187,Organic Cotton T-Shirt,2,94.07,UK
ORD-000188,2026/01/09,CUST-1188,Portable Power Bank,2,195.27,UK
ORD-000189,2026/01/10,CUST-1189,Leather Wallet Classic,5,67.99,JP
ORD-000190,2026/01/11,CUST-1190,Mechanical Keyboard RGB,4,271.1,AU
ORD-000191,2026/01/12,CUST-1191,4K Webcam Pro,4,80.91,BR
ORD-000192,2026/01/13,CUST-1192,Portable Power Bank,4,46.94,IN
ORD-000193,2026/01/14,CUST-1193,Ergonomic Office Chair,4,108.04,CN
ORD-000194,2026/01/15,CUST-1194,Portable Power Bank,5,89.96,JP
ORD-000195,2026/01/16,CUST-1195,External SSD 1TB,4,258.0,CN
ORD-000196,2026/01/17,CUST-1196,Ergonomic Office Chair,1,72.91,BR
ORD-000197,2026/01/18,CUST-1197,Monitor Arm Dual,1,119.13,UK
ORD-000198,2026/01/19,CUST-1198,Ergonomic Office Chair,3,221.31,AU
ORD-000199,2026/01/20,CUST-1199,Portable Power Bank,1,158.77,CA
ORD-000200,2026/01/21,CUST-1000,Portable Power Bank,5,133.46,AU
ORD-000201,2026/01/22,CUST-1001,LED Desk Lamp,2,154.85,FR
ORD-000202,2026/01/23,CUST-1002,Smart Watch Series 5,2,293.89,FR
ORD-000203,2026/01/24,CUST-1003,Running Shoes Elite,1,238.02,US
ORD-000204,2026/01/25,CUST-1004,Smart Watch Series 5,4,212.46,AU
ORD-000205,2026/01/26,CUST-1005,Wireless Mouse Silent,1,54.02,CA
ORD-000206,2026/01/27,CUST-1006,Yoga Mat Premium,2,190.38,FR
ORD-000207,2026/01/28,CUST-1007,Portable Power Bank,5,175.02,UK
ORD-000208,2026/01/29,CUST-1008,Yoga Mat Premium,2,47.74,AU
ORD-000209,2026/01/30,CUST-1009,Yoga Mat Premium,3,266.17,FR
ORD-000210,2026/01/31,CUST-1010,4K Webcam Pro,3,231.88,US
ORD-000211,2026/02/01,CUST-1011,Air Purifier Small,4,86.97,BR
ORD-000212,2026/02/02,CUST-1012,External SSD 1TB,2,30.36,BR
ORD-000213,2026/02/03,CUST-1013,Ergonomic Office Chair,4,191.91,UK
ORD-000214,2026/02/04,CUST-1014,Smart Watch Series 5,4,117.94,CN
ORD-000215,2026/02/05,CUST-1015,Standing Desk Converter,2,49.83,IN
ORD-000216,2026/02/06,CUST-1016,Organic Cotton T-Shirt,2,170.25,US
ORD-000217,2026/02/07,CUST-1017,Organic Cotton T-Shirt,4,221.37,CA
ORD-000218,2026/02/08,CUST-1018,Monitor Arm Dual,4,203.92,UK
ORD-000219,2026/02/09,CUST-1019,Wireless Mouse Silent,1,124.26,DE
ORD-000220,2026/02/10,CUST-1020,Organic Cotton T-Shirt,1,270.43,CA
ORD-000221,2026/02/11,CUST-1021,LED Desk Lamp,3,213.59,US
ORD-000222,2026/02/12,CUST-1022,Portable Power Bank,2,88.04,US
ORD-000223,2026/02/13,CUST-1023,Yoga Mat Premium,4,54.85,US
ORD-000224,2026/02/14,CUST-1024,Monitor Arm Dual,5,146.77,CA
ORD-000225,2026/02/15,CUST-1025,LED Desk Lamp,5,220.54,CA
ORD-000226,2026/02/16,CUST-1026,Leather Wallet Classic,5,121.53,US
ORD-000227,2026/02/17,CUST-1027,External SSD 1TB,5,100.03,IN
ORD-000228,2026/02/18,CUST-1028,Portable Power Bank,2,122.74,US
ORD-000229,2026/02/19,CUST-1029,Standing Desk Converter,3,240.5,IN
ORD-000230,2026/02/20,CUST-1030,External SSD 1TB,2,96.27,JP
ORD-000231,2026/02/21,CUST-1031,4K Webcam Pro,1,87.06,CA
ORD-000232,2026/02/22,CUST-1032,Smart Watch Series 5,2,153.97,UK
ORD-000233,2026/02/23,CUST-1033,4K Webcam Pro,2,257.48,IN
ORD-000234,2026/02/24,CUST-1034,Running Shoes Elite,4,162.3,JP
ORD-000235,2026/02/25,CUST-1035,Wireless Headphones Pro,3,271.19,CA
ORD-000236,2026/02/26,CUST-1036,Yoga Mat Premium,2,32.6,FR
ORD-000237,2026/02/27,CUST-1037,Yoga Mat Premium,3,151.8,CN
ORD-000238,2026/02/28,CUST-1038,Wireless Headphones Pro,3,31.1,CA
ORD-000239,2026/03/01,CUST-1039,Yoga Mat Premium,4,65.69,DE
