order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,跑鞋精英版,2,199.29,CN
ORD-000002,2026/01/03,CUST-1002,智能手表5代,2,78.67,CN
ORD-000003,2026/01/04,CUST-1003,皮革钱包,3,163.56,CN
ORD-000004,2026/01/05,CUST-1004,不锈钢保温杯,2,189.83,CN
ORD-000005,2026/01/06,CUST-1005,智能手表5代,1,85.68,CN
ORD-000006,2026/01/07,CUST-1006,蓝牙音箱Mini,3,85.7,CN
ORD-000007,2026/01/08,CUST-1007,降噪耳机,1,124.28,CN
ORD-000008,2026/01/09,CUST-1008,无线耳机Pro,1,32.48,CN
ORD-000009,2026/01/10,CUST-1009,智能手表5代,1,190.95,CN
ORD-000010,2026/01/11,CUST-1010,智能手表5代,2,136.95,CN
ORD-000011,2026/01/12,CUST-1011,降噪耳机,1,144.01,CN
ORD-000012,2026/01/13,CUST-1012,智能手表5代,1,133.91,CN
ORD-000013,2026/01/14,CUST-1013,无线耳机Pro,3,188.74,CN
ORD-000014,2026/01/15,CUST-1014,瑜伽垫高级,1,61.78,CN
ORD-000015,2026/01/16,CUST-1015,瑜伽垫高级,1,39.77,CN
ORD-000016,2026/01/17,CUST-1016,有机棉T恤,3,110.66,CN
ORD-000017,2026/01/18,CUST-1017,不锈钢保温杯,2,162.37,CN
ORD-000018,2026/01/19,CUST-1018,有机棉T恤,3,57.56,CN
ORD-000019,2026/01/20,CUST-1019,跑鞋精英版,3,51.7,CN
ORD-000020,2026/01/21,CUST-1020,皮革钱包,3,142.91,CN
ORD-000021,2026/01/22,CUST-1021,瑜伽垫高级,2,194.76,CN
ORD-000022,2026/01/23,CUST-1022,皮革钱包,2,185.63,CN
ORD-000023,2026/01/24,CUST-1023,降噪耳机,1,128.11,CN
ORD-000024,2026/01/25,CUST-1024,跑鞋精英版,3,111.95,CN
ORD-000025,2026/01/26,CUST-1025,智能手表5代,1,195.89,CN
ORD-000026,2026/01/27,CUST-1026,无线充电器,3,156.58,CN
ORD-000027,2026/01/28,CUST-1027,不锈钢保温杯,2,137.05,CN
ORD-000028,2026/01/29,CUST-1028,无线耳机Pro,1,104.88,CN
ORD-000029,2026/01/30,CUST-1029,皮革钱包,1,132.4,CN
ORD-000030,2026/01/31,CUST-1030,无线耳机Pro,3,68.44,CN
ORD-000031,2026/02/01,CUST-1031,瑜伽垫高级,3,38.09,CN
