order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,无线耳机Pro,2,122.88,CN
ORD-000002,2026/01/03,CUST-1002,皮革钱包,3,56.29,CN
ORD-000003,2026/01/04,CUST-1003,不锈钢保温杯,1,183.18,CN
ORD-000004,2026/01/05,CUST-1004,不锈钢保温杯,1,174.28,CN
ORD-000005,2026/01/06,CUST-1005,智能手表5代,2,170.53,CN
ORD-000006,2026/01/07,CUST-1006,跑鞋精英版,2,177.36,CN
ORD-000007,2026/01/08,CUST-1007,跑鞋精英版,3,142.72,CN
ORD-000008,2026/01/09,CUST-1008,无线耳机Pro,1,31.22,CN
ORD-000009,2026/01/10,CUST-1009,蓝牙音箱Mini,3,162.32,CN
ORD-000010,2026/01/11,CUST-1010,瑜伽垫高级,3,108.2,CN
ORD-000011,2026/01/12,CUST-1011,蓝牙音箱Mini,2,161.73,CN
ORD-000012,2026/01/13,CUST-1012,皮革钱包,1,54.79,CN
ORD-000013,2026/01/14,CUST-1013,瑜伽垫高级,1,139.78,CN
ORD-000014,2026/01/15,CUST-1014,瑜伽垫高级,2,50.07,CN
ORD-000015,2026/01/16,CUST-1015,降噪耳机,2,195.28,CN
ORD-000016,2026/01/17,CUST-1016,蓝牙音箱Mini,2,184.55,CN
ORD-000017,2026/01/18,CUST-1017,有机棉T恤,1,193.96,CN
ORD-000018,2026/01/19,CUST-1018,不锈钢保温杯,3,185.01,CN
ORD-000019,2026/01/20,CUST-1019,皮革钱包,3,186.68,CN
ORD-000020,2026/01/21,CUST-1020,蓝牙音箱Mini,1,177.68,CN
ORD-000021,2026/01/22,CUST-1021,有机棉T恤,1,143.97,CN
ORD-000022,2026/01/23,CUST-1022,跑鞋精英版,2,75.07,CN
ORD-000023,2026/01/24,CUST-1023,无线充电器,2,111.63,CN
ORD-000024,2026/01/25,CUST-1024,瑜伽垫高级,1,97.09,CN
ORD-000025,2026/01/26,CUST-1025,不锈钢保温杯,3,113.24,CN
ORD-000026,2026/01/27,CUST-1026,皮革钱包,3,176.38,CN
ORD-000027,2026/01/28,CUST-1027,跑鞋精英版,3,173.7,CN
ORD-000028,2026/01/29,CUST-1028,智能手表5代,3,151.53,CN
ORD-000029,2026/01/30,CUST-1029,智能手表5代,1,163.57,CN
ORD-000030,2026/01/31,CUST-1030,皮革钱包,3,64.02,CN
ORD-000031,2026/02/01,CUST-1031,有机棉T恤,2,40.26,CN
ORD-000032,2026/02/02,CUST-1032,降噪耳机,2,59.16,CN
ORD-000033,2026/02/03,CUST-1033,瑜伽垫高级,3,93.43,CN
ORD-000034,2026/02/04,CUST-1034,蓝牙音箱Mini,2,147.31,CN
ORD-000035,2026/02/05,CUST-1035,降噪耳机,2,136.63,CN
ORD-000036,2026/02/06,CUST-1036,降噪耳机,3,185.54,CN
ORD-000037,2026/02/07,CUST-1037,不锈钢保温杯,1,151.34,CN
ORD-000038,2026/02/08,CUST-1038,皮革钱包,1,58.46,CN
ORD-000039,2026/02/09,CUST-1039,跑鞋精英版,1,132.67,CN
ORD-000040,2026/02/10,CUST-1040,不锈钢保温杯,1,95.21,CN
ORD-000041,2026/02/11,CUST-1041,智能手表5代,1,93.81,CN
ORD-000042,2026/02/12,CUST-1042,无线充电器,3,181.67,CN
ORD-000043,2026/02/13,CUST-1043,智能手表5代,3,105.09,CN
ORD-000044,2026/02/14,CUST-1044,瑜伽垫高级,3,92.45,CN
ORD-000045,2026/02/15,CUST-1045,不锈钢保温杯,3,99.19,CN
ORD-000046,2026/02/16,CUST-1046,无线充电器,3,141.92,CN
ORD-000047,2026/02/17,CUST-1047,降噪耳机,2,168.36,CN
ORD-000048,2026/02/18,CUST-1048,降噪耳机,1,125.75,CN
ORD-000049,2026/02/19,CUST-1049,降噪耳机,1,111.67,CN
ORD-000050,2026/02/20,CUST-1050,智能手表5代,2,100.24,CN
