order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,<p>Paragraph Product</p>,1,73.62,US
ORD-000002,2026/01/03,CUST-1002,<p>Paragraph Product</p>,1,64.71,US
ORD-000003,2026/01/04,CUST-1003,<b>Bold Product</b>,1,53.5,US
ORD-000004,2026/01/05,CUST-1004,<b>Bold Product</b>,1,64.61,US
ORD-000005,2026/01/06,CUST-1005,<p>Paragraph Product</p>,2,26.89,US
ORD-000006,2026/01/07,CUST-1006,Item <span>Tagged</span>,2,43.39,US
ORD-000007,2026/01/08,CUST-1007,<b>Bold Product</b>,2,55.87,US
ORD-000008,2026/01/09,CUST-1008,<i>Italic Item</i>,2,47.26,US
ORD-000009,2026/01/10,CUST-1009,<b>Bold Product</b>,2,50.42,US
ORD-000010,2026/01/11,CUST-1010,<p>Paragraph Product</p>,2,71.62,US
ORD-000011,2026/01/12,CUST-1011,<p>Paragraph Product</p>,1,44.4,US
ORD-000012,2026/01/13,CUST-1012,<p>Paragraph Product</p>,2,56.27,US
ORD-000013,2026/01/14,CUST-1013,<i>Italic Item</i>,2,30.97,US
ORD-000014,2026/01/15,CUST-1014,<i>Italic Item</i>,1,64.64,US
ORD-000015,2026/01/16,CUST-1015,<i>Italic Item</i>,1,39.17,US
ORD-000016,2026/01/17,CUST-1016,<p>Paragraph Product</p>,1,25.1,US
ORD-000017,2026/01/18,CUST-1017,<b>Bold Product</b>,1,79.94,US
ORD-000018,2026/01/19,CUST-1018,<p>Paragraph Product</p>,2,39.32,US
ORD-000019,2026/01/20,CUST-1019,Item <span>Tagged</span>,1,67.77,US
ORD-000020,2026/01/21,CUST-1020,Item <span>Tagged</span>,2,23.01,US
ORD-000021,2026/01/22,CUST-1021,Product<br>,2,30.46,US
ORD-000022,2026/01/23,CUST-1022,Product<br>,2,74.73,US
ORD-000023,2026/01/24,CUST-1023,Item <span>Tagged</span>,2,60.08,US
ORD-000024,2026/01/25,CUST-1024,<p>Paragraph Product</p>,2,52.11,US
ORD-000025,2026/01/26,CUST-1025,<i>Italic Item</i>,1,68.52,US
ORD-000026,2026/01/27,CUST-1026,<b>Bold Product</b>,2,71.84,US
ORD-000027,2026/01/28,CUST-1027,<p>Paragraph Product</p>,2,44.29,US
