order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,Monitor Arm Dual,1,74.11,US
ORD-000002,2026/06/17,CUST-1002,Stainless Steel Water Bottle,1,41.1,US
ORD-000003,2026/06/18,CUST-1003,Wireless Charger Pad,3,91.22,US
ORD-000004,2026/06/19,CUST-1004,Smart Watch Series 5,1,39.94,US
ORD-000005,2026/06/20,CUST-1005,Portable Power Bank,1,92.66,US
ORD-000006,2026/06/21,CUST-1006,Air Purifier Small,1,61.48,US
ORD-000007,2026/06/22,CUST-1007,4K Webcam Pro,3,63.11,US
ORD-000008,2026/06/23,CUST-1008,Air Purifier Small,2,33.01,US
ORD-000009,2026/06/24,CUST-1009,Mechanical Keyboard RGB,1,21.52,US
ORD-000010,2026/06/25,CUST-1010,Wireless Mouse Silent,2,62.29,US
ORD-000011,2026/06/26,CUST-1011,Portable Power Bank,2,45.2,US
ORD-000012,2026/06/27,CUST-1012,Wireless Charger Pad,2,95.61,US
ORD-000013,2026/06/28,CUST-1013,Air Purifier Small,2,79.3,US
