price,quantity,product_name,country,customer_id,date,order_id
93.25,1,Noise Cancelling Earbuds,BR,CUST-1001,2026/01/02,ORD-000001
80.38,1,Standing Desk Converter,US,CUST-1002,2026/01/03,ORD-000002
43.92,3,Noise Cancelling Earbuds,UK,CUST-1003,2026/01/04,ORD-000003
85.32,1,Ergonomic Office Chair,AU,CUST-1004,2026/01/05,ORD-000004
83.36,3,Yoga Mat Premium,CN,CUST-1005,2026/01/06,ORD-000005
46.03,2,Wireless Headphones Pro,DE,CUST-1006,2026/01/07,ORD-000006
93.26,1,Leather Wallet Classic,CN,CUST-1007,2026/01/08,ORD-000007
63.07,3,Wireless Mouse Silent,AU,CUST-1008,2026/01/09,ORD-000008
37.15,2,Wireless Mouse Silent,BR,CUST-1009,2026/01/10,ORD-000009
43.17,3,Wireless Charger Pad,UK,CUST-1010,2026/01/11,ORD-000010
37.35,1,Bluetooth Speaker Mini,CN,CUST-1011,2026/01/12,ORD-000011
51.35,2,Monitor Arm Dual,BR,CUST-1012,2026/01/13,ORD-000012
57.44,3,Wireless Charger Pad,FR,CUST-1013,2026/01/14,ORD-000013
32.34,3,LED Desk Lamp,UK,CUST-1014,2026/01/15,ORD-000014
76.44,3,Monitor Arm Dual,FR,CUST-1015,2026/01/16,ORD-000015
81.55,2,Smart Watch Series 5,JP,CUST-1016,2026/01/17,ORD-000016
67.04,1,Mechanical Keyboard RGB,DE,CUST-1017,2026/01/18,ORD-000017
96.55,3,Wireless Mouse Silent,FR,CUST-1018,2026/01/19,ORD-000018
54.13,2,Bluetooth Speaker Mini,UK,CUST-1019,2026/01/20,ORD-000019
24.85,2,Running Shoes Elite,UK,CUST-1020,2026/01/21,ORD-000020
22.83,2,Wireless Mouse Silent,CA,CUST-1021,2026/01/22,ORD-000021
61.58,3,Standing Desk Converter,CN,CUST-1022,2026/01/23,ORD-000022
58.5,3,Standing Desk Converter,CA,CUST-1023,2026/01/24,ORD-000023
93.18,2,Bluetooth Speaker Mini,FR,CUST-1024,2026/01/25,ORD-000024
33.47,2,LED Desk Lamp,JP,CUST-1025,2026/01/26,ORD-000025
61.03,2,Bluetooth Speaker Mini,CA,CUST-1026,2026/01/27,ORD-000026
87.19,1,Portable Power Bank,CN,CUST-1027,2026/01/28,ORD-000027
86.42,3,Noise Cancelling Earbuds,CN,CUST-1028,2026/01/29,ORD-000028
84.82,1,Portable Power Bank,JP,CUST-1029,2026/01/30,ORD-000029
26.33,3,Air Purifier Small,CN,CUST-1030,2026/01/31,ORD-000030
70.84,2,Bluetooth Speaker Mini,US,CUST-1031,2026/02/01,ORD-000031
58.49,1,Noise Cancelling Earbuds,BR,CUST-1032,2026/02/02,ORD-000032
90.39,2,Running Shoes Elite,JP,CUST-1033,2026/02/03,ORD-000033
71.64,3,LED Desk Lamp,AU,CUST-1034,2026/02/04,ORD-000034
83.31,2,Bluetooth Speaker Mini,BR,CUST-1035,2026/02/05,ORD-000035
94.66,2,Running Shoes Elite,IN,CUST-1036,2026/02/06,ORD-000036
89.16,1,Monitor Arm Dual,CA,CUST-1037,2026/02/07,ORD-000037
68.75,2,Mechanical Keyboard RGB,DE,CUST-1038,2026/02/08,ORD-000038
62.85,2,Air Purifier Small,CN,CUST-1039,2026/02/09,ORD-000039
47.11,3,Air Purifier Small,BR,CUST-1040,2026/02/10,ORD-000040
