order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Smart Watch Series 5,5,227.74,AU
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,4,55.2,FR
ORD-000003,2026/01/04,CUST-1003,Monitor Arm Dual,4,133.5,BR
ORD-000004,2026/01/05,CUST-1004,Wireless Headphones Pro,3,38.16,BR
ORD-000005,2026/01/06,CUST-1005,LED Desk Lamp,1,228.33,AU
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,3,75.09,CN
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,2,148.15,FR
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,4,76.78,FR
ORD-000009,2026/01/10,CUST-1009,Air Purifier Small,3,274.22,JP
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,3,246.17,DE
ORD-000011,2026/01/12,CUST-1011,LED Desk Lamp,5,50.88,BR
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,3,274.43,AU
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,5,180.8,BR
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,2,203.11,JP
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,4,167.76,UK
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,5,252.06,UK
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,3,170.23,DE
ORD-000018,2026/01/19,CUST-1018,Yoga Mat Premium,4,47.98,CN
ORD-000019,2026/01/20,CUST-1019,Monitor Arm Dual,5,249.34,DE
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,4,143.02,FR
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,3,163.75,CA
ORD-000022,2026/01/23,CUST-1022,Stainless Steel Water Bottle,2,75.3,AU
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,3,218.11,IN
ORD-000024,2026/01/25,CUST-1024,Monitor Arm Dual,1,204.27,JP
ORD-000025,2026/01/26,CUST-1025,Smart Watch Series 5,3,169.9,CN
ORD-000026,2026/01/27,CUST-1026,Yoga Mat Premium,4,216.13,CN
ORD-000027,2026/01/28,CUST-1027,Air Purifier Small,4,295.16,US
ORD-000028,2026/01/29,CUST-1028,LED Desk Lamp,1,56.69,BR
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,5,34.95,AU
ORD-000030,2026/01/31,CUST-1030,Portable Power Bank,2,92.34,DE
ORD-000031,2026/02/01,CUST-1031,Yoga Mat Premium,3,33.68,JP
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,4,110.0,UK
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,1,37.38,IN
ORD-000034,2026/02/04,CUST-1034,LED Desk Lamp,4,60.7,CN
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,2,122.76,US
ORD-000036,2026/02/06,CUST-1036,Bluetooth Speaker Mini,1,268.99,CN
ORD-000037,2026/02/07,CUST-1037,Bluetooth Speaker Mini,4,191.7,AU
ORD-000038,2026/02/08,CUST-1038,Yoga Mat Premium,5,297.51,US
ORD-000039,2026/02/09,CUST-1039,Wireless Mouse Silent,2,228.69,DE
ORD-000040,2026/02/10,CUST-1040,Stainless Steel Water Bottle,2,174.94,CN
ORD-000041,2026/02/11,CUST-1041,Wireless Charger Pad,1,98.87,AU
ORD-000042,2026/02/12,CUST-1042,Air Purifier Small,1,53.28,DE
ORD-000043,2026/02/13,CUST-1043,Leather Wallet Classic,4,115.11,JP
ORD-000044,2026/02/14,CUST-1044,Stainless Steel Water Bottle,2,254.99,IN
ORD-000045,2026/02/15,CUST-1045,Yoga Mat Premium,1,197.47,US
ORD-000046,2026/02/16,CUST-1046,Stainless Steel Water Bottle,4,178.45,IN
ORD-000047,2026/02/17,CUST-1047,Yoga Mat Premium,2,165.35,CA
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,4,146.58,JP
ORD-000049,2026/02/19,CUST-1049,Yoga Mat Premium,3,96.36,AU
