order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,1,141.52,UK
ORD-000002,2026/01/03,CUST-1002,Running Shoes Elite,1,142.94,US
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,3,48.08,AU
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,1,59.8,CA
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,3,66.28,US
ORD-000006,2026/01/07,CUST-1006,Portable Power Bank,1,136.33,CA
ORD-000007,2026/01/08,CUST-1007,LED Desk Lamp,1,83.71,UK
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,2,33.45,AU
ORD-000009,2026/01/10,CUST-1009,4K Webcam Pro,1,39.83,FR
ORD-000010,2026/01/11,CUST-1010,Noise Cancelling Earbuds,2,65.94,CA
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,3,70.72,IN
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,2,66.33,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,2,98.11,DE
ORD-000014,2026/01/15,CUST-1014,Stainless Steel Water Bottle,1,136.35,CN
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,3,94.88,AU
ORD-000016,2026/01/17,CUST-1016,4K Webcam Pro,3,79.75,CN
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,1,46.72,IN
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,2,77.88,FR
ORD-000019,2026/01/20,CUST-1019,Air Purifier Small,2,125.98,CN
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,2,137.25,FR
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,1,22.87,US
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,2,99.79,JP
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,1,58.48,UK
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,1,88.73,AU
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,1,109.69,DE
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,1,65.72,FR
ORD-000027,2026/01/28,CUST-1027,Running Shoes Elite,3,140.96,BR
