order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,1,28.77,UK
ORD-000002,2026/01/03,CUST-1002,LED Desk Lamp,2,36.88,BR
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,3,20.05,FR
ORD-000004,2026/01/05,CUST-1004,Wireless Mouse Silent,1,65.54,DE
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,2,114.29,UK
ORD-000006,2026/01/07,CUST-1006,External SSD 1TB,2,144.69,CA
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,2,79.87,DE
ORD-000008,2026/01/09,CUST-1008,Yoga Mat Premium,1,41.06,CN
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,1,71.28,CN
ORD-000010,2026/01/11,CUST-1010,Yoga Mat Premium,1,44.44,FR
ORD-000011,2026/01/12,CUST-1011,Bluetooth Speaker Mini,1,66.91,US
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,1,29.91,CN
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,3,57.42,CN
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,1,127.35,AU
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,2,44.14,UK
ORD-000016,2026/01/17,CUST-1016,Air Purifier Small,1,82.02,CA
ORD-000017,2026/01/18,CUST-1017,Monitor Arm Dual,1,95.64,CN
ORD-000018,2026/01/19,CUST-1018,Stainless Steel Water Bottle,3,33.59,JP
ORD-000019,2026/01/20,CUST-1019,Running Shoes Elite,1,35.08,DE
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,3,91.72,UK
ORD-000021,2026/01/22,CUST-1021,Bluetooth Speaker Mini,1,147.42,BR
ORD-000022,2026/01/23,CUST-1022,Smart Watch Series 5,3,140.97,FR
ORD-000023,2026/01/24,CUST-1023,Smart Watch Series 5,3,122.3,DE
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,2,76.94,US
ORD-000025,2026/01/26,CUST-1025,Wireless Charger Pad,2,84.77,FR
ORD-000026,2026/01/27,CUST-1026,External SSD 1TB,1,39.16,DE
ORD-000027,2026/01/28,CUST-1027,Leather Wallet Classic,3,46.89,IN
ORD-000028,2026/01/29,CUST-1028,Mechanical Keyboard RGB,2,127.88,JP
ORD-000029,2026/01/30,CUST-1029,Wireless Charger Pad,2,98.29,BR
ORD-000030,2026/01/31,CUST-1030,LED Desk Lamp,3,118.68,JP
ORD-000031,2026/02/01,CUST-1031,Organic Cotton T-Shirt,2,110.02,BR
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,3,90.57,CA
ORD-000033,2026/02/03,CUST-1033,Wireless Headphones Pro,1,100.66,IN
ORD-000034,2026/02/04,CUST-1034,Ergonomic Office Chair,2,33.7,AU
ORD-000035,2026/02/05,CUST-1035,Portable Power Bank,1,41.32,DE
ORD-000036,2026/02/06,CUST-1036,Wireless Charger Pad,1,117.66,FR
ORD-000037,2026/02/07,CUST-1037,Wireless Headphones Pro,3,113.99,CN
ORD-000038,2026/02/08,CUST-1038,LED Desk Lamp,1,146.85,DE
ORD-000039,2026/02/09,CUST-1039,Portable Power Bank,2,127.19,CA
ORD-000040,2026/02/10,CUST-1040,Leather Wallet Classic,2,68.49,DE
ORD-000041,2026/02/11,CUST-1041,LED Desk Lamp,2,59.18,CA
ORD-000042,2026/02/12,CUST-1042,Standing Desk Converter,2,131.35,CA
ORD-000043,2026/02/13,CUST-1043,Smart Watch Series 5,3,133.35,UK
ORD-000044,2026/02/14,CUST-1044,Running Shoes Elite,1,62.49,DE
ORD-000045,2026/02/15,CUST-1045,Portable Power Bank,2,81.06,UK
ORD-000046,2026/02/16,CUST-1046,Noise Cancelling Earbuds,1,76.24,US
ORD-000047,2026/02/17,CUST-1047,Ergonomic Office Chair,2,124.77,CN
ORD-000048,2026/02/18,CUST-1048,Portable Power Bank,3,147.83,CN
ORD-000049,2026/02/19,CUST-1049,Smart Watch Series 5,2,99.0,US
ORD-000050,2026/02/20,CUST-1050,LED Desk Lamp,2,141.19,AU
ORD-000051,2026/02/21,CUST-1051,Wireless Mouse Silent,1,93.1,CN
ORD-000052,2026/02/22,CUST-1052,Smart Watch Series 5,1,74.87,BR
ORD-000053,2026/02/23,CUST-1053,Stainless Steel Water Bottle,2,48.98,CA
ORD-000054,2026/02/24,CUST-1054,Mechanical Keyboard RGB,3,86.88,US
ORD-000055,2026/02/25,CUST-1055,Wireless Mouse Silent,3,70.4,CA
ORD-000056,2026/02/26,CUST-1056,Ergonomic Office Chair,1,70.29,UK
ORD-000057,2026/02/27,CUST-1057,Bluetooth Speaker Mini,2,72.97,AU
ORD-000058,2026/02/28,CUST-1058,Stainless Steel Water Bottle,2,132.86,DE
ORD-000059,2026/03/01,CUST-1059,Smart Watch Series 5,1,84.22,CN
ORD-000060,2026/03/02,CUST-1060,Wireless Mouse Silent,2,85.47,FR
ORD-000061,2026/03/03,CUST-1061,Ergonomic Office Chair,3,62.46,UK
ORD-000062,2026/03/04,CUST-1062,Stainless Steel Water Bottle,3,102.77,CA
ORD-000063,2026/03/05,CUST-1063,Wireless Charger Pad,3,118.4,DE
ORD-000064,2026/03/06,CUST-1064,Ergonomic Office Chair,1,149.62,CA
ORD-000065,2026/03/07,CUST-1065,External SSD 1TB,3,134.01,CN
ORD-000066,2026/03/08,CUST-1066,Wireless Charger Pad,2,25.31,IN
ORD-000067,2026/03/09,CUST-1067,Noise Cancelling Earbuds,2,93.07,UK
ORD-000068,2026/03/10,CUST-1068,Running Shoes Elite,1,69.95,US
ORD-000069,2026/03/11,CUST-1069,Stainless Steel Water Bottle,3,101.83,FR
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,3,64.18,FR
ORD-000071,2026/03/13,CUST-1071,4K Webcam Pro,1,140.38,IN
ORD-000072,2026/03/14,CUST-1072,Stainless Steel Water Bottle,3,146.98,JP
ORD-000073,2026/03/15,CUST-1073,Organic Cotton T-Shirt,1,132.89,IN
ORD-000074,2026/03/16,CUST-1074,Organic Cotton T-Shirt,1,116.04,AU
ORD-000075,2026/03/17,CUST-1075,Bluetooth Speaker Mini,2,109.34,DE
ORD-000076,2026/03/18,CUST-1076,4K Webcam Pro,2,89.33,AU
ORD-000077,2026/03/19,CUST-1077,Air Purifier Small,2,100.21,BR
ORD-000078,2026/03/20,CUST-1078,Bluetooth Speaker Mini,3,132.8,UK
ORD-000079,2026/03/21,CUST-1079,Wireless Charger Pad,2,44.96,FR
ORD-000080,2026/03/22,CUST-1080,Running Shoes Elite,2,144.43,AU
ORD-000081,2026/03/23,CUST-1081,Ergonomic Office Chair,1,58.89,DE
ORD-000082,2026/03/24,CUST-1082,Wireless Charger Pad,1,55.72,BR
ORD-000083,2026/03/25,CUST-1083,Air Purifier Small,1,24.74,UK
ORD-000084,2026/03/26,CUST-1084,Smart Watch Series 5,3,43.8,JP
ORD-000085,2026/03/27,CUST-1085,4K Webcam Pro,1,58.99,CN
ORD-000086,2026/03/28,CUST-1086,Organic Cotton T-Shirt,1,86.42,US
ORD-000087,2026/03/29,CUST-1087,Noise Cancelling Earbuds,3,28.17,CN
ORD-000088,2026/03/30,CUST-1088,4K Webcam Pro,2,111.11,FR
ORD-000089,2026/03/31,CUST-1089,4K Webcam Pro,2,72.42,FR
ORD-000090,2026/04/01,CUST-1090,Smart Watch Series 5,1,44.61,DE
ORD-000091,2026/04/02,CUST-1091,Leather Wallet Classic,1,79.55,FR
ORD-000092,2026/04/03,CUST-1092,LED Desk Lamp,2,78.95,BR
ORD-000093,2026/04/04,CUST-1093,4K Webcam Pro,2,72.79,BR
ORD-000094,2026/04/05,CUST-1094,Monitor Arm Dual,1,72.2,BR
ORD-000095,2026/04/06,CUST-1095,Air Purifier Small,2,103.37,CA
ORD-000096,2026/04/07,CUST-1096,Organic Cotton T-Shirt,1,74.73,CA
ORD-000097,2026/04/08,CUST-1097,Standing Desk Converter,2,102.89,IN
ORD-000098,2026/04/09,CUST-1098,4K Webcam Pro,3,43.94,CN
ORD-000099,2026/04/10,CUST-1099,Stainless Steel Water Bottle,1,28.66,FR
ORD-000100,2026/04/11,CUST-1100,Monitor Arm Dual,1,121.58,DE
ORD-000101,2026/04/12,CUST-1101,Wireless Headphones Pro,3,109.95,AU
ORD-000102,2026/04/13,CUST-1102,Stainless Steel Water Bottle,3,35.46,CN
ORD-000103,2026/04/14,CUST-1103,Organic Cotton T-Shirt,2,76.76,AU
ORD-000104,2026/04/15,CUST-1104,Air Purifier Small,1,102.59,US
ORD-000105,2026/04/16,CUST-1105,Yoga Mat Premium,2,126.97,IN
ORD-000106,2026/04/17,CUST-1106,Stainless Steel Water Bottle,3,93.48,AU
ORD-000107,2026/04/18,CUST-1107,Organic Cotton T-Shirt,1,104.89,US
ORD-000108,2026/04/19,CUST-1108,Wireless Charger Pad,3,32.1,CN
ORD-000109,2026/04/20,CUST-1109,Portable Power Bank,1,73.91,FR
ORD-000110,2026/04/21,CUST-1110,Yoga Mat Premium,2,43.53,UK
ORD-000111,2026/04/22,CUST-1111,Leather Wallet Classic,3,40.95,AU
ORD-000112,2026/04/23,CUST-1112,Noise Cancelling Earbuds,3,61.81,DE
ORD-000113,2026/04/24,CUST-1113,Stainless Steel Water Bottle,2,139.13,IN
ORD-000114,2026/04/25,CUST-1114,Portable Power Bank,1,140.54,AU
ORD-000115,2026/04/26,CUST-1115,Noise Cancelling Earbuds,1,133.72,FR
ORD-000116,2026/04/27,CUST-1116,LED Desk Lamp,2,45.69,DE
ORD-000117,2026/04/28,CUST-1117,Stainless Steel Water Bottle,1,124.14,AU
ORD-000118,2026/04/29,CUST-1118,Wireless Mouse Silent,1,112.48,DE
ORD-000119,2026/04/30,CUST-1119,LED Desk Lamp,1,26.39,FR
ORD-000120,2026/05/01,CUST-1120,Stainless Steel Water Bottle,1,43.96,BR
ORD-000121,2026/05/02,CUST-1121,Mechanical Keyboard RGB,3,89.39,AU
ORD-000122,2026/05/03,CUST-1122,Wireless Headphones Pro,1,89.89,AU
ORD-000123,2026/05/04,CUST-1123,External SSD 1TB,3,111.6,JP
ORD-000124,2026/05/05,CUST-1124,Leather Wallet Classic,1,106.11,CA
ORD-000125,2026/05/06,CUST-1125,LED Desk Lamp,2,120.71,CN
ORD-000126,2026/05/07,CUST-1126,Running Shoes Elite,1,25.25,CN
ORD-000127,2026/05/08,CUST-1127,LED Desk Lamp,2,57.9,IN
