order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,2,134.15,IN
ORD-000002,2026/01/03,CUST-1002,External SSD 1TB,2,212.71,DE
ORD-000003,2026/01/04,CUST-1003,Bluetooth Speaker Mini,5,43.29,CA
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,5,143.75,AU
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,1,76.18,DE
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,3,221.51,CN
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,2,257.54,FR
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,3,168.12,UK
ORD-000009,2026/01/10,CUST-1009,Smart Watch Series 5,3,206.33,FR
ORD-000010,2026/01/11,CUST-1010,Wireless Headphones Pro,2,108.78,IN
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,2,221.33,AU
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,3,242.52,AU
ORD-000013,2026/01/14,CUST-1013,Portable Power Bank,4,207.68,JP
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,3,221.97,CN
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,4,233.33,JP
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,1,235.49,BR
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,3,101.45,DE
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,5,75.78,UK
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,5,194.35,CN
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,4,157.07,IN
ORD-000021,2026/01/22,CUST-1021,Wireless Headphones Pro,5,112.12,BR
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,5,192.88,AU
ORD-000023,2026/01/24,CUST-1023,LED Desk Lamp,2,241.92,IN
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,3,63.52,UK
ORD-000025,2026/01/26,CUST-1025,Bluetooth Speaker Mini,3,153.48,CA
ORD-000026,2026/01/27,CUST-1026,Smart Watch Series 5,5,186.59,US
ORD-000027,2026/01/28,CUST-1027,Wireless Charger Pad,4,235.39,CA
ORD-000028,2026/01/29,CUST-1028,Running Shoes Elite,1,42.65,BR
ORD-000029,2026/01/30,CUST-1029,Mechanical Keyboard RGB,2,249.15,UK
ORD-000030,2026/01/31,CUST-1030,LED Desk Lamp,1,134.8,DE
ORD-000031,2026/02/01,CUST-1031,External SSD 1TB,5,170.91,FR
ORD-000032,2026/02/02,CUST-1032,Wireless Headphones Pro,1,290.88,CA
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,1,79.35,IN
ORD-000034,2026/02/04,CUST-1034,Standing Desk Converter,1,128.12,CA
ORD-000035,2026/02/05,CUST-1035,Wireless Charger Pad,4,204.31,IN
ORD-000036,2026/02/06,CUST-1036,Organic Cotton T-Shirt,2,155.21,FR
ORD-000037,2026/02/07,CUST-1037,Standing Desk Converter,1,284.45,CN
ORD-000038,2026/02/08,CUST-1038,Monitor Arm Dual,2,254.56,CN
ORD-000039,2026/02/09,CUST-1039,Leather Wallet Classic,1,198.7,IN
ORD-000040,2026/02/10,CUST-1040,Wireless Headphones Pro,1,127.96,FR
ORD-000041,2026/02/11,CUST-1041,LED Desk Lamp,3,174.58,AU
ORD-000042,2026/02/12,CUST-1042,Yoga Mat Premium,3,167.04,CN
ORD-000043,2026/02/13,CUST-1043,Air Purifier Small,2,273.83,UK
ORD-000044,2026/02/14,CUST-1044,Stainless Steel Water Bottle,2,148.34,CA
ORD-000045,2026/02/15,CUST-1045,Leather Wallet Classic,4,285.21,DE
ORD-000046,2026/02/16,CUST-1046,Leather Wallet Classic,3,275.61,BR
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,4,40.35,UK
ORD-000048,2026/02/18,CUST-1048,Smart Watch Series 5,4,122.06,IN
ORD-000049,2026/02/19,CUST-1049,Leather Wallet Classic,4,268.13,CA
ORD-000050,2026/02/20,CUST-1050,LED Desk Lamp,2,125.29,CA
ORD-000051,2026/02/21,CUST-1051,Organic Cotton T-Shirt,2,63.7,FR
ORD-000052,2026/02/22,CUST-1052,Wireless Charger Pad,1,30.37,BR
ORD-000053,2026/02/23,CUST-1053,Organic Cotton T-Shirt,5,284.21,FR
ORD-000054,2026/02/24,CUST-1054,Monitor Arm Dual,5,79.83,DE
ORD-000055,2026/02/25,CUST-1055,Monitor Arm Dual,3,183.33,FR
ORD-000056,2026/02/26,CUST-1056,Bluetooth Speaker Mini,2,263.72,JP
ORD-000057,2026/02/27,CUST-1057,Ergonomic Office Chair,4,57.18,BR
ORD-000058,2026/02/28,CUST-1058,Bluetooth Speaker Mini,2,72.59,BR
ORD-000059,2026/03/01,CUST-1059,Leather Wallet Classic,5,135.61,CN
ORD-000060,2026/03/02,CUST-1060,4K Webcam Pro,1,49.56,AU
ORD-000061,2026/03/03,CUST-1061,Stainless Steel Water Bottle,4,64.83,US
ORD-000062,2026/03/04,CUST-1062,Noise Cancelling Earbuds,2,200.15,DE
ORD-000063,2026/03/05,CUST-1063,Wireless Headphones Pro,1,102.55,AU
ORD-000064,2026/03/06,CUST-1064,Wireless Mouse Silent,4,169.88,CA
ORD-000065,2026/03/07,CUST-1065,External SSD 1TB,3,100.34,FR
ORD-000066,2026/03/08,CUST-1066,Stainless Steel Water Bottle,1,213.17,AU
ORD-000067,2026/03/09,CUST-1067,Portable Power Bank,3,290.01,UK
ORD-000068,2026/03/10,CUST-1068,Wireless Charger Pad,5,201.68,JP
ORD-000069,2026/03/11,CUST-1069,Air Purifier Small,3,267.69,CA
ORD-000070,2026/03/12,CUST-1070,Bluetooth Speaker Mini,2,103.5,FR
ORD-000071,2026/03/13,CUST-1071,4K Webcam Pro,2,100.05,FR
ORD-000072,2026/03/14,CUST-1072,Organic Cotton T-Shirt,2,281.87,IN
ORD-000073,2026/03/15,CUST-1073,Yoga Mat Premium,4,54.24,US
ORD-000074,2026/03/16,CUST-1074,Organic Cotton T-Shirt,3,40.32,IN
ORD-000075,2026/03/17,CUST-1075,Yoga Mat Premium,5,200.21,BR
ORD-000076,2026/03/18,CUST-1076,Monitor Arm Dual,4,57.79,AU
ORD-000077,2026/03/19,CUST-1077,4K Webcam Pro,2,157.05,CN
ORD-000078,2026/03/20,CUST-1078,Leather Wallet Classic,5,251.05,IN
ORD-000079,2026/03/21,CUST-1079,Stainless Steel Water Bottle,3,129.72,DE
ORD-000080,2026/03/22,CUST-1080,External SSD 1TB,3,132.97,FR
ORD-000081,2026/03/23,CUST-1081,Smart Watch Series 5,4,57.69,CN
ORD-000082,2026/03/24,CUST-1082,Running Shoes Elite,3,202.45,DE
ORD-000083,2026/03/25,CUST-1083,Portable Power Bank,4,116.25,IN
ORD-000084,2026/03/26,CUST-1084,Bluetooth Speaker Mini,4,208.28,CA
ORD-000085,2026/03/27,CUST-1085,Running Shoes Elite,1,40.29,DE
ORD-000086,2026/03/28,CUST-1086,Wireless Charger Pad,4,66.07,DE
ORD-000087,2026/03/29,CUST-1087,LED Desk Lamp,1,81.11,CN
ORD-000088,2026/03/30,CUST-1088,Wireless Headphones Pro,1,86.79,IN
ORD-000089,2026/03/31,CUST-1089,Wireless Headphones Pro,5,64.6,FR
ORD-000090,2026/04/01,CUST-1090,Air Purifier Small,4,228.77,US
ORD-000091,2026/04/02,CUST-1091,Portable Power Bank,3,60.98,JP
ORD-000092,2026/04/03,CUST-1092,Organic Cotton T-Shirt,2,169.82,JP
ORD-000093,2026/04/04,CUST-1093,Wireless Headphones Pro,4,47.22,UK
ORD-000094,2026/04/05,CUST-1094,Bluetooth Speaker Mini,2,50.8,IN
ORD-000095,2026/04/06,CUST-1095,Stainless Steel Water Bottle,3,275.5,CN
ORD-000096,2026/04/07,CUST-1096,LED Desk Lamp,5,272.61,CN
ORD-000097,2026/04/08,CUST-1097,Portable Power Bank,2,253.26,CN
ORD-000098,2026/04/09,CUST-1098,External SSD 1TB,3,271.78,UK
ORD-000099,2026/04/10,CUST-1099,Wireless Headphones Pro,5,106.49,FR
ORD-000100,2026/04/11,CUST-1100,Mechanical Keyboard RGB,1,33.52,CN
ORD-000101,2026/04/12,CUST-1101,Air Purifier Small,3,214.33,AU
ORD-000102,2026/04/13,CUST-1102,Wireless Mouse Silent,4,266.0,AU
ORD-000103,2026/04/14,CUST-1103,Ergonomic Office Chair,4,202.8,US
ORD-000104,2026/04/15,CUST-1104,Portable Power Bank,5,294.22,IN
ORD-000105,2026/04/16,CUST-1105,Leather Wallet Classic,5,69.54,DE
ORD-000106,2026/04/17,CUST-1106,Mechanical Keyboard RGB,3,84.77,CN
ORD-000107,2026/04/18,CUST-1107,Yoga Mat Premium,2,47.23,JP
ORD-000108,2026/04/19,CUST-1108,Standing Desk Converter,3,279.99,AU
ORD-000109,2026/04/20,CUST-1109,Air Purifier Small,5,94.76,UK
ORD-000110,2026/04/21,CUST-1110,Smart Watch Series 5,4,51.62,FR
ORD-000111,2026/04/22,CUST-1111,4K Webcam Pro,1,228.71,US
ORD-000112,2026/04/23,CUST-1112,Leather Wallet Classic,2,247.11,US
ORD-000113,2026/04/24,CUST-1113,Standing Desk Converter,1,191.64,US
ORD-000114,2026/04/25,CUST-1114,Organic Cotton T-Shirt,4,205.7,CN
ORD-000115,2026/04/26,CUST-1115,Smart Watch Series 5,3,169.93,CN
ORD-000116,2026/04/27,CUST-1116,External SSD 1TB,4,156.39,DE
ORD-000117,2026/04/28,CUST-1117,Smart Watch Series 5,5,73.71,UK
ORD-000118,2026/04/29,CUST-1118,Stainless Steel Water Bottle,1,78.38,UK
ORD-000119,2026/04/30,CUST-1119,Standing Desk Converter,5,122.05,CN
ORD-000120,2026/05/01,CUST-1120,Wireless Mouse Silent,4,218.09,BR
ORD-000121,2026/05/02,CUST-1121,Wireless Charger Pad,4,42.06,JP
ORD-000122,2026/05/03,CUST-1122,Smart Watch Series 5,4,116.58,JP
ORD-000123,2026/05/04,CUST-1123,Smart Watch Series 5,5,44.61,CN
ORD-000124,2026/05/05,CUST-1124,Wireless Charger Pad,2,69.46,DE
ORD-000125,2026/05/06,CUST-1125,Wireless Mouse Silent,5,156.6,AU
ORD-000126,2026/05/07,CUST-1126,External SSD 1TB,4,39.31,FR
ORD-000127,2026/05/08,CUST-1127,Wireless Mouse Silent,3,216.9,CA
ORD-000128,2026/05/09,CUST-1128,Wireless Headphones Pro,1,295.47,JP
ORD-000129,2026/05/10,CUST-1129,Bluetooth Speaker Mini,5,32.16,UK
ORD-000130,2026/05/11,CUST-1130,Noise Cancelling Earbuds,5,228.68,FR
ORD-000131,2026/05/12,CUST-1131,Wireless Mouse Silent,3,168.32,DE
ORD-000132,2026/05/13,CUST-1132,Monitor Arm Dual,5,159.37,AU
ORD-000133,2026/05/14,CUST-1133,Noise Cancelling Earbuds,3,134.24,UK
ORD-000134,2026/05/15,CUST-1134,Bluetooth Speaker Mini,5,244.23,BR
ORD-000135,2026/05/16,CUST-1135,Noise Cancelling Earbuds,3,239.16,IN
ORD-000136,2026/05/17,CUST-1136,Standing Desk Converter,3,51.29,CA
ORD-000137,2026/05/18,CUST-1137,Bluetooth Speaker Mini,5,259.02,AU
ORD-000138,2026/05/19,CUST-1138,Wireless Mouse Silent,5,226.5,US
ORD-000139,2026/05/20,CUST-1139,Bluetooth Speaker Mini,1,202.39,US
ORD-000140,2026/05/21,CUST-1140,Monitor Arm Dual,2,52.83,IN
ORD-000141,2026/05/22,CUST-1141,Wireless Charger Pad,3,53.82,JP
ORD-000142,2026/05/23,CUST-1142,4K Webcam Pro,5,248.71,DE
ORD-000143,2026/05/24,CUST-1143,LED Desk Lamp,3,235.77,UK
ORD-000144,2026/05/25,CUST-1144,Leather Wallet Classic,3,60.81,US
ORD-000145,2026/05/26,CUST-1145,Wireless Charger Pad,1,123.29,JP
ORD-000146,2026/05/27,CUST-1146,Yoga Mat Premium,5,117.62,US
ORD-000147,2026/05/28,CUST-1147,Air Purifier Small,2,248.01,DE
ORD-000148,2026/05/29,CUST-1148,Running Shoes Elite,2,196.58,FR
ORD-000149,2026/05/30,CUST-1149,Ergonomic Office Chair,1,264.94,DE
ORD-000150,2026/05/31,CUST-1150,Monitor Arm Dual,2,158.98,US
ORD-000151,2026/06/01,CUST-1151,Wireless Headphones Pro,5,178.58,CA
ORD-000152,2026/06/02,CUST-1152,Wireless Charger Pad,1,80.88,AU
ORD-000153,2026/06/03,CUST-1153,External SSD 1TB,3,140.8,US
ORD-000154,2026/06/04,CUST-1154,Monitor Arm Dual,1,58.39,BR
ORD-000155,2026/06/05,CUST-1155,Monitor Arm Dual,5,115.18,FR
ORD-000156,2026/06/06,CUST-1156,Leather Wallet Classic,3,141.63,AU
ORD-000157,2026/06/07,CUST-1157,Ergonomic Office Chair,1,282.62,JP
ORD-000158,2026/06/08,CUST-1158,Air Purifier Small,3,279.25,JP
ORD-000159,2026/06/09,CUST-1159,Standing Desk Converter,4,78.71,FR
ORD-000160,2026/06/10,CUST-1160,Standing Desk Converter,4,243.49,CN
ORD-000161,2026/06/11,CUST-1161,4K Webcam Pro,4,275.99,BR
ORD-000162,2026/06/12,CUST-1162,Mechanical Keyboard RGB,3,239.12,US
ORD-000163,2026/06/13,CUST-1163,Mechanical Keyboard RGB,5,229.29,JP
ORD-000164,2026/06/14,CUST-1164,Leather Wallet Classic,4,43.96,AU
ORD-000165,2026/06/15,CUST-1165,Wireless Charger Pad,3,253.23,BR
ORD-000166,2026/06/16,CUST-1166,External SSD 1TB,5,253.75,DE
ORD-000167,2026/06/17,CUST-1167,Organic Cotton T-Shirt,4,229.93,FR
ORD-000168,2026/06/18,CUST-1168,Standing Desk Converter,3,183.08,US
ORD-000169,2026/06/19,CUST-1169,Ergonomic Office Chair,4,60.25,JP
ORD-000170,2026/06/20,CUST-1170,Mechanical Keyboard RGB,1,272.79,AU
ORD-000171,2026/06/21,CUST-1171,Air Purifier Small,3,107.68,CA
ORD-000172,2026/06/22,CUST-1172,Noise Cancelling Earbuds,2,69.19,US
ORD-000173,2026/06/23,CUST-1173,Noise Cancelling Earbuds,3,154.76,FR
ORD-000174,2026/06/24,CUST-1174,Running Shoes Elite,5,216.15,BR
ORD-000175,2026/06/25,CUST-1175,Portable Power Bank,1,221.75,BR
ORD-000176,2026/06/26,CUST-1176,Stainless Steel Water Bottle,4,192.4,CN
ORD-000177,2026/06/27,CUST-1177,Bluetooth Speaker Mini,3,224.16,CN
ORD-000178,2026/06/28,CUST-1178,Monitor Arm Dual,3,80.23,BR
ORD-000179,2026/06/29,CUST-1179,Mechanical Keyboard RGB,4,231.23,BR
ORD-000180,2026/01/01,CUST-1180,Monitor Arm Dual,1,166.51,BR
ORD-000181,2026/01/02,CUST-1181,Leather Wallet Classic,4,34.95,AU
ORD-000182,2026/01/03,CUST-1182,LED Desk Lamp,2,172.7,DE
ORD-000183,2026/01/04,CUST-1183,Noise Cancelling Earbuds,3,249.62,UK
ORD-000184,2026/01/05,CUST-1184,Bluetooth Speaker Mini,2,183.71,FR
ORD-000185,2026/01/06,CUST-1185,Air Purifier Small,1,200.89,BR
ORD-000186,2026/01/07,CUST-1186,Organic Cotton T-Shirt,1,88.21,CN
ORD-000187,2026/01/08,CUST-1187,Leather Wallet Classic,3,240.23,CA
ORD-000188,2026/01/09,CUST-1188,Bluetooth Speaker Mini,3,238.09,DE
ORD-000189,2026/01/10,CUST-1189,4K Webcam Pro,2,80.99,IN
ORD-000190,2026/01/11,CUST-1190,Bluetooth Speaker Mini,5,68.42,JP
ORD-000191,2026/01/12,CUST-1191,LED Desk Lamp,1,131.5,JP
ORD-000192,2026/01/13,CUST-1192,Wireless Headphones Pro,5,188.79,JP
ORD-000193,2026/01/14,CUST-1193,External SSD 1TB,1,57.51,CN
ORD-000194,2026/01/15,CUST-1194,Leather Wallet Classic,3,202.85,UK
ORD-000195,2026/01/16,CUST-1195,Wireless Mouse Silent,1,54.65,CA
ORD-000196,2026/01/17,CUST-1196,Portable Power Bank,3,261.44,DE
ORD-000197,2026/01/18,CUST-1197,Wireless Mouse Silent,1,110.2,BR
ORD-000198,2026/01/19,CUST-1198,Running Shoes Elite,1,209.5,BR
ORD-000199,2026/01/20,CUST-1199,Standing Desk Converter,3,106.81,UK
ORD-000200,2026/01/21,CUST-1000,Air Purifier Small,2,171.61,DE
ORD-000201,2026/01/22,CUST-1001,Organic Cotton T-Shirt,2,229.97,AU
ORD-000202,2026/01/23,CUST-1002,LED Desk Lamp,1,46.25,CN
ORD-000203,2026/01/24,CUST-1003,Ergonomic Office Chair,3,68.87,CA
ORD-000204,2026/01/25,CUST-1004,External SSD 1TB,1,108.59,CA
ORD-000205,2026/01/26,CUST-1005,Yoga Mat Premium,1,200.89,FR
ORD-000206,2026/01/27,CUST-1006,Monitor Arm Dual,5,160.88,US
ORD-000207,2026/01/28,CUST-1007,Mechanical Keyboard RGB,5,213.11,US
ORD-000208,2026/01/29,CUST-1008,Ergonomic Office Chair,3,159.97,UK
ORD-000209,2026/01/30,CUST-1009,Running Shoes Elite,1,237.49,DE
ORD-000210,2026/01/31,CUST-1010,Leather Wallet Classic,1,138.65,FR
ORD-000211,2026/02/01,CUST-1011,Ergonomic Office Chair,1,264.19,IN
ORD-000212,2026/02/02,CUST-1012,Monitor Arm Dual,1,127.28,UK
ORD-000213,2026/02/03,CUST-1013,Bluetooth Speaker Mini,3,79.4,AU
ORD-000214,2026/02/04,CUST-1014,Ergonomic Office Chair,2,279.7,CA
ORD-000215,2026/02/05,CUST-1015,Air Purifier Small,2,242.79,CN
ORD-000216,2026/02/06,CUST-1016,Organic Cotton T-Shirt,2,137.84,UK
ORD-000217,2026/02/07,CUST-1017,Running Shoes Elite,4,272.34,AU
ORD-000218,2026/02/08,CUST-1018,Wireless Mouse Silent,3,187.14,UK
ORD-000219,2026/02/09,CUST-1019,4K Webcam Pro,4,168.86,JP
ORD-000220,2026/02/10,CUST-1020,Air Purifier Small,3,258.41,DE
ORD-000221,2026/02/11,CUST-1021,Ergonomic Office Chair,4,155.28,DE
ORD-000222,2026/02/12,CUST-1022,Wireless Mouse Silent,2,138.7,DE
ORD-000223,2026/02/13,CUST-1023,Leather Wallet Classic,4,260.14,CA
ORD-000224,2026/02/14,CUST-1024,Ergonomic Office Chair,2,128.3,BR
ORD-000225,2026/02/15,CUST-1025,Wireless Mouse Silent,1,72.46,JP
ORD-000226,2026/02/16,CUST-1026,Wireless Headphones Pro,2,128.08,DE
ORD-000227,2026/02/17,CUST-1027,Bluetooth Speaker Mini,4,173.35,US
ORD-000228,2026/02/18,CUST-1028,Stainless Steel Water Bottle,3,157.62,AU
ORD-000229,2026/02/19,CUST-1029,Mechanical Keyboard RGB,4,296.48,CA
ORD-000230,2026/02/20,CUST-1030,4K Webcam Pro,3,144.7,CA
ORD-000231,2026/02/21,CUST-1031,LED Desk Lamp,4,253.16,AU
ORD-000232,2026/02/22,CUST-1032,Leather Wallet Classic,4,176.81,IN
ORD-000233,2026/02/23,CUST-1033,Smart Watch Series 5,4,87.87,CN
ORD-000234,2026/02/24,CUST-1034,Leather Wallet Classic,3,73.19,UK
ORD-000235,2026/02/25,CUST-1035,Standing Desk Converter,4,146.88,BR
ORD-000236,2026/02/26,CUST-1036,Noise Cancelling Earbuds,2,169.06,AU
ORD-000237,2026/02/27,CUST-1037,Stainless Steel Water Bottle,4,84.39,FR
ORD-000238,2026/02/28,CUST-1038,Standing Desk Converter,4,151.59,CN
ORD-000239,2026/03/01,CUST-1039,Monitor Arm Dual,5,128.71,DE
ORD-000240,2026/03/02,CUST-1040,Wireless Charger Pad,3,52.01,CA
ORD-000241,2026/03/03,CUST-1041,Mechanical Keyboard RGB,2,90.23,AU
ORD-000242,2026/03/04,CUST-1042,Leather Wallet Classic,1,163.41,BR
ORD-000243,2026/03/05,CUST-1043,Organic Cotton T-Shirt,2,247.85,UK
ORD-000244,2026/03/06,CUST-1044,Yoga Mat Premium,5,107.51,IN
ORD-000245,2026/03/07,CUST-1045,Wireless Headphones Pro,1,93.61,FR
