order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,External SSD 1TB,1,85.92,US
ORD-000002,2026/01/03,CUST-1002,Yoga Mat Premium,2,25.2,US
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,2,44.08,US
ORD-000004,2026/01/05,CUST-1004,Noise Cancelling Earbuds,3,50.72,US
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,3,21.73,US
ORD-000006,2026/01/07,CUST-1006,External SSD 1TB,2,23.65,US
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,1,66.74,US
ORD-000008,2026/01/09,CUST-1008,External SSD 1TB,1,30.42,US
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,2,60.56,US
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,2,83.65,US
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,3,30.72,US
ORD-000012,2026/01/13,CUST-1012,Portable Power Bank,2,33.96,US
ORD-000013,2026/01/14,CUST-1013,External SSD 1TB,1,28.37,US
ORD-000014,2026/01/15,CUST-1014,External SSD 1TB,2,23.72,US
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,1,40.94,US
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,1,55.73,US
ORD-000017,2026/01/18,CUST-1017,External SSD 1TB,1,58.73,US
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,3,49.2,US
ORD-000019,2026/01/20,CUST-1019,Mechanical Keyboard RGB,3,64.05,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,2,32.71,US
ORD-000021,2026/01/22,CUST-1021,Air Purifier Small,3,37.08,US
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,2,72.9,US
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,1,81.52,US
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,3,63.15,US
ORD-000025,2026/01/26,CUST-1025,External SSD 1TB,1,23.37,US
ORD-000026,2026/01/27,CUST-1026,External SSD 1TB,2,23.18,US
ORD-000027,2026/01/28,CUST-1027,External SSD 1TB,1,30.56,US
