order_id,date,customer_id,product_name,quantity,price,country
ORD-0001,2026/01/01,CUST-1000,Desk Lamp,4,256.38,AU
ORD-0002,2026/01/02,CUST-1001,Smart Watch,4,207.84,DE
ORD-0003,2026/01/03,CUST-1002,Backpack,1,260.34,JP
ORD-0004,2026/01/04,CUST-1003,Backpack,3,72.53,UK
ORD-0005,2026/01/05,CUST-1004,Bluetooth Speaker,2,144.73,JP
ORD-0006,2026/01/06,CUST-1005,Coffee Maker,5,92.23,JP
ORD-0007,2026/01/07,CUST-1006,Laptop Stand,1,294.29,DE
ORD-0008,2026/01/08,CUST-1007,Yoga Mat,4,160.13,AU
ORD-0009,2026/01/09,CUST-1008,Desk Lamp,4,283.9,FR
ORD-0010,2026/01/10,CUST-1009,Desk Lamp,3,270.07,CA
ORD-0011,2026/01/11,CUST-1010,Laptop Stand,2,234.32,CA
ORD-0012,2026/01/12,CUST-1011,Wireless Headphones,2,80.17,DE
ORD-0013,2026/01/13,CUST-1012,Coffee Maker,3,242.28,US
ORD-0014,2026/01/14,CUST-1013,Yoga Mat,4,193.41,DE
ORD-0015,2026/01/15,CUST-1014,Yoga Mat,5,94.64,JP
ORD-0016,2026/01/16,CUST-1015,Smart Watch,3,179.98,JP
ORD-0017,2026/01/17,CUST-1016,Coffee Maker,4,139.97,JP
ORD-0018,2026/01/18,CUST-1017,Water Bottle,2,58.09,AU
ORD-0019,2026/01/19,CUST-1018,Wireless Headphones,1,35.33,UK
ORD-0020,2026/01/20,CUST-1019,Coffee Maker,2,237.44,AU
ORD-0021,2026/01/21,CUST-1020,Coffee Maker,1,258.4,DE
ORD-0022,2026/01/22,CUST-1021,Sunglasses,5,42.76,AU
ORD-0023,2026/01/23,CUST-1022,Bluetooth Speaker,3,245.32,JP
ORD-0024,2026/01/24,CUST-1023,Sunglasses,5,113.95,JP
ORD-0025,2026/01/25,CUST-1024,Phone Case,1,139.92,UK
ORD-0026,2026/01/26,CUST-1025,Sunglasses,1,170.5,AU
ORD-0027,2026/01/27,CUST-1026,Sunglasses,5,94.12,US
ORD-0028,2026/01/28,CUST-1027,Laptop Stand,3,238.76,DE
ORD-0029,2026/01/29,CUST-1028,Coffee Maker,3,150.18,JP
ORD-0030,2026/01/30,CUST-1029,Yoga Mat,4,154.66,US
ORD-0031,2026/01/31,CUST-1030,Coffee Maker,3,261.74,US
ORD-0032,2026/02/01,CUST-1031,Sunglasses,3,58.58,JP
ORD-0033,2026/02/02,CUST-1032,Water Bottle,4,37.99,DE
ORD-0034,2026/02/03,CUST-1033,Backpack,4,144.34,UK
ORD-0035,2026/02/04,CUST-1034,Phone Case,5,123.22,US
ORD-0036,2026/02/05,CUST-1035,Running Shoes,4,85.59,JP
ORD-0037,2026/02/06,CUST-1036,Running Shoes,4,106.31,AU
ORD-0038,2026/02/07,CUST-1037,Running Shoes,2,99.74,JP
ORD-0039,2026/02/08,CUST-1038,Sunglasses,5,99.96,JP
ORD-0040,2026/02/09,CUST-1039,Backpack,2,231.59,DE
ORD-0041,2026/02/10,CUST-1040,Yoga Mat,5,68.68,AU
ORD-0042,2026/02/11,CUST-1041,Sunglasses,3,134.7,CA
ORD-0043,2026/02/12,CUST-1042,Desk Lamp,5,147.98,UK
ORD-0044,2026/02/13,CUST-1043,Phone Case,5,96.78,DE
ORD-0045,2026/02/14,CUST-1044,Water Bottle,2,248.86,JP
ORD-0046,2026/02/15,CUST-1045,Backpack,1,105.09,DE
ORD-0047,2026/02/16,CUST-1046,Phone Case,1,252.29,DE
ORD-0048,2026/02/17,CUST-1047,Coffee Maker,5,286.91,DE
ORD-0049,2026/02/18,CUST-1048,Water Bottle,4,71.2,CA
ORD-0050,2026/02/19,CUST-1049,Yoga Mat,1,250.11,CA
ORD-0051,2026/02/20,CUST-1000,Bluetooth Speaker,1,114.57,DE
ORD-0052,2026/02/21,CUST-1001,Wireless Headphones,2,81.21,CA
