ORD-000001,2026/01/02,CUST-1001,Running Shoes Elite,2,0.0,US
ORD-000002,2026/01/03,CUST-1002,Standing Desk Converter,1,0.0,US
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,2,41.58,US
ORD-000004,2026/01/05,CUST-1004,Wireless Mouse Silent,1,47.82,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,1,45.43,US
ORD-000006,2026/01/07,CUST-1006,Ergonomic Office Chair,2,98.72,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,2,62.5,US
ORD-000008,2026/01/09,CUST-1008,Smart Watch Series 5,1,88.34,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,1,50.95,US
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,1,0.0,US
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,1,51.18,US
ORD-000012,2026/01/13,CUST-1012,LED Desk Lamp,2,46.0,US
ORD-000013,2026/01/14,CUST-1013,Smart Watch Series 5,2,92.85,US
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,1,52.81,US
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,2,86.14,US
ORD-000016,2026/01/17,CUST-1016,Portable Power Bank,1,76.49,US
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,1,50.79,US
ORD-000018,2026/01/19,CUST-1018,Stainless Steel Water Bottle,1,96.0,US
ORD-000019,2026/01/20,CUST-1019,Smart Watch Series 5,2,73.1,US
ORD-000020,2026/01/21,CUST-1020,Bluetooth Speaker Mini,1,93.95,US
ORD-000021,2026/01/22,CUST-1021,Smart Watch Series 5,1,54.28,US
ORD-000022,2026/01/23,CUST-1022,LED Desk Lamp,2,55.24,US
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones Pro,1,0.0,US
ORD-000024,2026/01/25,CUST-1024,Bluetooth Speaker Mini,2,94.97,US
ORD-000025,2026/01/26,CUST-1025,Wireless Charger Pad,1,99.99,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,1,95.31,US
ORD-000027,2026/01/28,CUST-1027,Leather Wallet Classic,1,82.25,US
ORD-000028,2026/01/29,CUST-1028,Smart Watch Series 5,2,50.77,US
ORD-000029,2026/01/30,CUST-1029,Air Purifier Small,2,98.4,US
ORD-000030,2026/01/31,CUST-1030,Wireless Mouse Silent,2,54.32,US
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,1,56.9,US
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,1,0.0,US
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,1,99.72,US
ORD-000034,2026/02/04,CUST-1034,Mechanical Keyboard RGB,1,59.17,US
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,1,37.82,US
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,1,0.0,US
ORD-000037,2026/02/07,CUST-1037,Yoga Mat Premium,2,66.08,US
ORD-000038,2026/02/08,CUST-1038,Portable Power Bank,1,55.07,US
ORD-000039,2026/02/09,CUST-1039,Stainless Steel Water Bottle,2,0.0,US
ORD-000040,2026/02/10,CUST-1040,4K Webcam Pro,2,0.0,US
ORD-000041,2026/02/11,CUST-1041,Smart Watch Series 5,1,0.0,US
ORD-000042,2026/02/12,CUST-1042,Bluetooth Speaker Mini,1,32.38,US
ORD-000043,2026/02/13,CUST-1043,Wireless Mouse Silent,1,62.2,US
ORD-000044,2026/02/14,CUST-1044,Monitor Arm Dual,2,57.37,US
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,2,38.45,US
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,2,0.0,US
ORD-000047,2026/02/17,CUST-1047,Yoga Mat Premium,2,41.41,US
ORD-000048,2026/02/18,CUST-1048,Noise Cancelling Earbuds,1,65.31,US
ORD-000049,2026/02/19,CUST-1049,Bluetooth Speaker Mini,1,87.4,US
ORD-000050,2026/02/20,CUST-1050,Mechanical Keyboard RGB,1,97.56,US
ORD-000051,2026/02/21,CUST-1051,4K Webcam Pro,1,90.56,US
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,2,36.74,US
ORD-000053,2026/02/23,CUST-1053,Monitor Arm Dual,2,95.4,US
ORD-000054,2026/02/24,CUST-1054,External SSD 1TB,2,69.53,US
ORD-000055,2026/02/25,CUST-1055,Wireless Mouse Silent,1,66.27,US
ORD-000056,2026/02/26,CUST-1056,Smart Watch Series 5,1,71.37,US
ORD-000057,2026/02/27,CUST-1057,External SSD 1TB,2,65.74,US
ORD-000058,2026/02/28,CUST-1058,Ergonomic Office Chair,2,82.7,US
ORD-000059,2026/03/01,CUST-1059,4K Webcam Pro,2,98.33,US
ORD-000060,2026/03/02,CUST-1060,Bluetooth Speaker Mini,1,53.54,US
ORD-000061,2026/03/03,CUST-1061,Wireless Charger Pad,1,88.92,US
